Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
10/07/2023 9:31:03,1,Gary Smart,421,Laurie Cohen,379
10/07/2023 9:48:11,1,John Karris,428,Becky Dyer,420
10/07/2023 10:06:39,2,Laurie Cohen,500,Gary Smart,292
10/07/2023 10:30:10,2,Yukiko Loritz,448,Terry Kang,392
10/07/2023 10:36:18,2,Becky Dyer,510,John Karris,441
10/07/2023 11:17:07,3,Laurie Cohen,440,Yukiko Loritz,395
10/07/2023 11:21:46,3,Joel Wapnick,556,John Karris,368
10/07/2023 11:24:52,3,Terry Kang,478,Becky Dyer,412
10/07/2023 11:35:14,1,Joel Wapnick,50,Bye,0
10/07/2023 11:35:40,2,Joel Wapnick,50,Bye,0
10/07/2023 11:36:28,3,Gary Smart,50,Bye,0
10/07/2023 11:42:00,1,Terry Kang,469,Yukiko Loritz,464
10/07/2023 12:36:00,4,Becky Dyer,484,Terry Kang,355
10/07/2023 12:44:59,4,Laurie Cohen,535,Yukiko Loritz,349
10/07/2023 12:55:24,4,John Karris,471,Joel Wapnick,423
10/07/2023 13:35:47,5,Becky Dyer,436,Laurie Cohen,433
10/07/2023 13:45:23,5,Terry Kang,422,John Karris,311
10/07/2023 13:47:54,5,Joel Wapnick,430,Gary Smart,417
10/07/2023 14:20:37,6,Becky Dyer,444,Laurie Cohen,388
10/07/2023 14:24:14,5,Yukiko Loritz,50,Bye,0
10/07/2023 14:24:48,7,Becky Dyer,50,Bye,0
10/07/2023 14:24:48,6,Yukiko Loritz,50,Bye,0
10/07/2023 14:25:27,8,Becky Dyer,50,Bye,0
10/07/2023 14:29:17,6,John Karris,438,Terry Kang,341
10/07/2023 14:37:05,6,Joel Wapnick,448,Gary Smart,392
10/07/2023 15:17:40,7,John Karris,457,Laurie Cohen,355
10/07/2023 15:22:15,7,Yukiko Loritz,491,Gary Smart,382
10/07/23 03:25 PM,7,Joel Wapnick,455,Terry Kang,320
10/07/23 03:57 PM,8,John Karris,445,Laurie Cohen,423
10/07/23 04:15 PM,8,Terry Kang,413,Joel Wapnick,395
10/07/23 04:18 PM,8,Gary Smart,390,Yukiko Loritz,385
10/07/23 04:29 PM,4,Gary Smart,50,Bye,0
10/08/23 08:52 AM,9,John Karris,50,Bye,0
10/08/23 08:52 AM,10,John Karris,50,Bye,0
10/08/23 09:16 AM,9,Joel Wapnick,497,Yukiko Loritz,351
10/08/23 09:16 AM,9,Becky Dyer,438,Gary Smart,401
10/08/23 09:26 AM,9,Laurie Cohen,413,Terry Kang,405
10/08/23 09:48 AM,10,Becky Dyer,399,Gary Smart,312
10/08/23 10:03 AM,10,Joel Wapnick,459,Yukiko Loritz,412
10/08/23 10:17 AM,10,Laurie Cohen,498,Terry Kang,320
10/08/23 10:33 AM,11,John Karris,412,Gary Smart,347
10/08/23 10:57 AM,11,Yukiko Loritz,504,Becky Dyer,474
10/08/23 11:03 AM,11,Terry Kang,50,Bye,0
10/08/23 11:04 AM,12,Terry Kang,50,Bye,0
10/08/23 11:06 AM,11,Joel Wapnick,446,Laurie Cohen,355
10/08/23 12:23 PM,12,John Karris,394,Gary Smart,330
10/08/23 12:25 PM,12,Becky Dyer,460,Yukiko Loritz,376
10/08/23 12:25 PM,12,Laurie Cohen,502,Joel Wapnick,400
10/08/23 12:28 PM,13,Laurie Cohen,50,Bye,0
10/08/23 12:28 PM,14,Laurie Cohen,50,Bye,0
10/08/23 01:03 PM,13,Terry Kang,416,Gary Smart,346
10/08/23 01:23 PM,13,Becky Dyer,427,Joel Wapnick,353
10/08/23 01:24 PM,13,Yukiko Loritz,454,John Karris,380
10/08/23 01:49 PM,14,Gary Smart,364,Terry Kang,317
10/08/23 02:17 PM,14,Yukiko Loritz,443,John Karris,352
10/08/23 02:20 PM,14,Becky Dyer,467,Joel Wapnick,443
10/08/23 03:02 PM,15,Gary Smart,429,Yukiko Loritz,357
10/08/23 03:12 PM,15,Joel Wapnick,460,John Karris,421
10/08/23 03:18 PM,15,Becky Dyer,433,Laurie Cohen,416
