Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45017.33137,1,Dave Wiegand,454,Ben Weaver,338
45017.33253,1,Rasheed Balogun,545,Winter,393
45017.33454,1,Sandy Nang,504,David Whitley,335
45017.33575,1,Evans Clinchy,507,James Curley,437
45017.34137,1,Jesse Day,611,Prashant Murti,343
45017.34162,1,Chris Lipe,426,Randi Goldberg,396
45017.37005,2,Dave Wiegand,430,Prashant Murti,397
45017.37623,2,James Curley,468,David Whitley,417
45017.37653,2,Jesse Day,564,Randi Goldberg,391
45017.37838,2,Evans Clinchy,469,Rasheed Balogun,335
45017.38025,2,Winter,496,Chris Lipe,414
45017.38117,2,Ben Weaver,406,Sandy Nang,389
45017.41256,3,David Whitley,469,Rasheed Balogun,448
45017.41666,3,Dave Wiegand,449,Sandy Nang,384
45017.41685,3,Evans Clinchy,448,Chris Lipe,357
45017.41819,3,Randi Goldberg,442,Prashant Murti,315
45017.41844,3,Ben Weaver,465,James Curley,390
45017.42141,3,Jesse Day,423,Winter,415
45017.45017,4,Chris Lipe,528,David Whitley,307
45017.45039,4,Rasheed Balogun,414,Ben Weaver,334
45017.4512,4,James Curley,427,Sandy Nang,352
45017.45321,4,Dave Wiegand,513,Randi Goldberg,267
45017.45714,4,Winter,444,Prashant Murti,382
45017.45922,4,Jesse Day,485,Evans Clinchy,479
45017.52853,5,Rasheed Balogun,566,Sandy Nang,365
45017.54106,5,David Whitley,450,Jesse Day,419
45017.55035,5,Dave Wiegand,439,James Curley,366
45017.5536,5,Evans Clinchy,431,Prashant Murti,382
45017.55677,5,Chris Lipe,523,Ben Weaver,300
45017.55696,5,Randi Goldberg,462,Winter,453
45017.5865,6,Rasheed Balogun,503,James Curley,441
45017.587,6,Dave Wiegand,492,Winter,338
45017.58734,6,David Whitley,435,Prashant Murti,326
45017.58951,6,Chris Lipe,528,Sandy Nang,309
45017.59527,6,Jesse Day,488,Ben Weaver,326
45017.5974,6,Evans Clinchy,489,Randi Goldberg,350
45017.62126,7,Dave Wiegand,576,Rasheed Balogun,331
45017.62931,7,Jesse Day,577,Sandy Nang,291
45017.63102,7,Winter,546,Evans Clinchy,417
45017.63172,7,Chris Lipe,467,James Curley,405
45017.63281,7,Ben Weaver,396,Prashant Murti,375
45017.63973,7,David Whitley,435,Randi Goldberg,410
45017.66134,8,Sandy Nang,449,Prashant Murti,364
45017.66288,8,Rasheed Balogun,488,Chris Lipe,365
45017.66692,8,Evans Clinchy,471,Dave Wiegand,390
45017.66955,8,James Curley,456,Jesse Day,307
45017.66987,8,Winter,506,David Whitley,401
45017.67787,8,Randi Goldberg,427,Ben Weaver,348
45018.32476,9,Jesse Day,502,Rasheed Balogun,363
45018.32769,9,James Curley,614,Prashant Murti,257
45018.32804,9,Dave Wiegand,595,Chris Lipe,300
45018.3317,9,Winter,376,Ben Weaver,332
45018.33257,9,David Whitley,561,Evans Clinchy,385
45018.33453,9,Sandy Nang,443,Randi Goldberg,440
45018.35175,10,Rasheed Balogun,486,Prashant Murti,336
45018.36709,10,Sandy Nang,447,Winter,408
45018.3708,10,Dave Wiegand,469,David Whitley,341
45018.37367,10,Evans Clinchy,475,Ben Weaver,405
45018.37411,10,Chris Lipe,555,Jesse Day,426
45018.37666,10,Randi Goldberg,449,James Curley,389
45018.40887,11,Evans Clinchy,425,Sandy Nang,314
45018.41051,11,David Whitley,506,Ben Weaver,337
45018.41073,11,Rasheed Balogun,458,Randi Goldberg,414
45018.41089,11,Chris Lipe,469,Prashant Murti,284
45018.41358,11,Winter,400,James Curley,339
45018.4144,11,Jesse Day,530,Dave Wiegand,499
45018.4899,12,Chris Lipe,651,Jesse Day,374
45018.49015,12,Rasheed Balogun,477,David Whitley,411
45018.49029,12,Sandy Nang,392,Prashant Murti,345
45018.49127,12,Randi Goldberg,504,Ben Weaver,267
45018.49281,12,James Curley,432,Winter,428
45018.49722,12,Dave Wiegand,423,Evans Clinchy,366
45018.52878,13,David Whitley,474,James Curley,340
45018.53163,13,Ben Weaver,464,Prashant Murti,410
45018.53289,13,Chris Lipe,436,Dave Wiegand,407
45018.53501,13,Winter,416,Rasheed Balogun,406
45018.53501,13,Sandy Nang,436,Randi Goldberg,355
45018.53785,13,Jesse Day,496,Evans Clinchy,383
45018.56984,14,David Whitley,490,Sandy Nang,366
45018.57009,14,Jesse Day,471,Rasheed Balogun,383
45018.57212,14,Chris Lipe,433,Dave Wiegand,380
45018.57301,14,Evans Clinchy,425,Winter,412
45018.57389,14,Ben Weaver,441,Prashant Murti,415
45018.57652,14,Randi Goldberg,424,James Curley,383
