Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45150.3552,1,Jesse Day,482,Michael Donegan,296
45150.35998,1,Becky Dyer,495,James Curley,362
45150.36578,1,Chris Canik,446,Anuj Shetty,376
45150.40164,2,James Curley,408,Michael Donegan,300
45150.40361,2,Becky Dyer,492,Chris Canik,408
45150.40737,2,Jesse Day,547,Anuj Shetty,362
45150.44873,3,Michael Donegan,418,Chris Canik,412
45150.44876,3,Becky Dyer,485,Anuj Shetty,372
45150.44975,3,Jesse Day,395,James Curley,359
45150.54744,4,James Curley,421,Chris Canik,306
45150.55253,4,Anuj Shetty,411,Michael Donegan,303
45150.58821,5,Becky Dyer,482,Michael Donegan,402
45150.5891,5,Anuj Shetty,429,James Curley,387
45150.5956,5,Chris Canik,437,Jesse Day,374
45150.59752,4,Jesse Day,514,Becky Dyer,452
45150.63413,6,Anuj Shetty,473,Michael Donegan,396
45150.63596,6,Jesse Day,497,Becky Dyer,423
45150.63729,6,James Curley,360,Chris Canik,281
