Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
05/06/2023 8:24:11,1,Matt Canik,468,Ben Weaver,413
05/06/2023 8:29:43,1,Jesse Day,471,Chris Canik,429
05/06/2023 8:41:32,1,James Curley,388,Becky Dyer,376
05/06/2023 9:36:42,2,Jesse Day,615,Ben Weaver,338
05/06/2023 9:38:13,2,Matt Canik,405,Becky Dyer,375
05/06/2023 9:41:39,2,Chris Canik,428,James Curley,391
05/06/2023 10:23:18,3,Matt Canik,573,Chris Canik,363
05/06/2023 10:50:17,3,Becky Dyer,374,Ben Weaver,351
05/06/2023 10:51:06,3,Jesse Day,603,James Curley,326
05/06/2023 12:11:09,4,James Curley,481,Matt Canik,425
05/06/2023 12:22:38,4,Ben Weaver,432,Chris Canik,387
05/06/2023 12:26:39,4,Jesse Day,445,Becky Dyer,402
05/06/2023 13:12:12,5,Chris Canik,534,Becky Dyer,330
05/06/2023 13:17:20,5,Jesse Day,510,Matt Canik,392
05/06/2023 13:21:08,5,James Curley,495,Ben Weaver,355
05/06/2023 14:11:36,6,James Curley,524,Matt Canik,396
05/06/2023 14:22:53,6,Chris Canik,496,Ben Weaver,316
05/06/2023 14:29:44,6,Jesse Day,544,Becky Dyer,275
