Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
09/16/23 08:54 AM,1,Matt Canik,503,Michael Donegan,388
09/16/23 08:56 AM,1,Jesse Day,425,Chris Canik,381
09/16/23 09:00 AM,1,Becky Dyer,533,Ben Weaver,452
09/16/23 09:02 AM,1,Prashant Murti,423,Emmanuel King,360
09/16/23 09:44 AM,2,Emmanuel King,497,Becky Dyer,475
09/16/23 09:49 AM,2,Matt Canik,421,Prashant Murti,327
09/16/23 09:50 AM,2,Chris Canik,402,Michael Donegan,362
09/16/23 10:02 AM,1,James Curley,50,Bye,0
09/16/23 10:03 AM,3,Michael Donegan,50,Bye,0
09/16/23 10:03 AM,2,Jesse Day,50,Bye,0
09/16/23 10:06 AM,2,James Curley,489,Ben Weaver,336
09/16/23 10:38 AM,3,Becky Dyer,561,Matt Canik,390
09/16/23 10:50 AM,3,Chris Canik,376,Prashant Murti,348
09/16/23 10:57 AM,3,James Curley,424,Emmanuel King,414
09/16/23 11:00 AM,3,Jesse Day,473,Ben Weaver,360
09/16/23 11:59 AM,4,Prashant Murti,350,Michael Donegan,314
09/16/23 12:02 PM,4,Emmanuel King,550,Matt Canik,449
09/16/23 12:04 PM,4,Becky Dyer,477,Chris Canik,372
09/16/23 12:08 PM,4,Jesse Day,553,James Curley,396
09/16/23 12:10 PM,4,Ben Weaver,50,Bye,0
09/16/23 12:55 PM,5,Emmanuel King,512,Michael Donegan,337
09/16/23 12:58 PM,5,Jesse Day,469,Becky Dyer,346
09/16/23 01:00 PM,5,Chris Canik,50,Bye,0
09/16/23 01:00 PM,5,James Curley,425,Prashant Murti,396
09/16/23 01:01 PM,5,Ben Weaver,418,Matt Canik,396
09/16/23 01:43 PM,6,Chris Canik,429,Prashant Murti,358
09/16/23 01:46 PM,6,James Curley,406,Becky Dyer,365
09/16/23 01:53 PM,6,Michael Donegan,361,Ben Weaver,339
09/16/23 02:01 PM,6,Jesse Day,533,Emmanuel King,408
09/16/23 02:02 PM,6,Matt Canik,50,Bye,0
09/16/23 02:47 PM,7,Emmanuel King,490,Ben Weaver,352
09/16/23 02:54 PM,7,Prashant Murti,50,Bye,0
09/16/23 02:54 PM,7,James Curley,500,Jesse Day,411
09/16/23 02:57 PM,7,Becky Dyer,429,Michael Donegan,295
09/16/23 03:04 PM,7,Matt Canik,404,Chris Canik,391
