Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
10/1/2022 7:08,1,Matthew O'Connor,538,Rachel Grubb,454
10/1/2022 7:27,1,Ben Schoenbrun,561,Niel Gan,265
10/1/2022 7:28,1,Mark Francillon,413,Richard Buck,395
10/1/2022 7:31,1,Christopher Grubb,546,Iliana Filby,345
10/1/2022 7:33,1,Tim Weiss,445,BJ Premore,350
10/1/2022 7:36,1,Becky Dyer,433,Carl Durdan,371
10/1/2022 8:09,2,Ben Schoenbrun,574,Iliana Filby,286
10/1/2022 8:16,2,Rachel Grubb,432,Niel Gan,397
10/1/2022 8:20,2,Christopher Grubb,471,BJ Premore,336
10/1/2022 8:25,2,Tim Weiss,422,Mark Francillon,350
10/1/2022 8:27,2,Matthew O'Connor,393,Carl Durdan,369
10/1/2022 8:28,2,Becky Dyer,470,Richard Buck,435
10/1/2022 9:06,3,Ben Schoenbrun,441,Rachel Grubb,374
10/1/2022 9:13,3,Iliana Filby,459,BJ Premore,453
10/1/2022 9:21,3,Matthew O'Connor,453,Richard Buck,356
10/1/2022 9:21,3,Mark Francillon,446,Christopher Grubb,375
10/1/2022 9:24,3,Carl Durdan,451,Niel Gan,312
10/1/2022 9:26,3,Tim Weiss,502,Becky Dyer,373
10/1/2022 9:57,4,Ben Schoenbrun,523,BJ Premore,354
10/1/2022 10:10,4,Carl Durdan,460,Rachel Grubb,291
10/1/2022 10:10,4,Matthew O'Connor,409,Tim Weiss,381
10/1/2022 10:13,4,Richard Buck,549,Niel Gan,402
10/1/2022 10:18,4,Becky Dyer,512,Christopher Grubb,377
10/1/2022 10:25,4,Mark Francillon,454,Iliana Filby,444
10/1/2022 11:44,5,Richard Buck,389,Rachel Grubb,320
10/1/2022 11:44,5,Matthew O'Connor,542,Christopher Grubb,500
10/1/2022 11:47,5,Tim Weiss,434,Niel Gan,288
10/1/2022 11:50,5,Mark Francillon,447,BJ Premore,385
10/1/2022 11:51,5,Becky Dyer,516,Iliana Filby,401
10/1/2022 11:52,5,Carl Durdan,415,Ben Schoenbrun,391
10/1/2022 12:34,6,Matthew O'Connor,516,Iliana Filby,340
10/1/2022 12:36,6,Tim Weiss,503,Rachel Grubb,434
10/1/2022 12:39,6,Ben Schoenbrun,400,Mark Francillon,400
10/1/2022 12:40,6,Christopher Grubb,490,Niel Gan,301
10/1/2022 12:44,6,Carl Durdan,449,Richard Buck,417
10/1/2022 12:50,6,Becky Dyer,438,BJ Premore,319
10/1/2022 13:19,7,Christopher Grubb,528,Rachel Grubb,363
10/1/2022 13:29,7,Matthew O'Connor,436,BJ Premore,267
10/1/2022 13:33,7,Ben Schoenbrun,492,Richard Buck,385
10/1/2022 13:41,7,Tim Weiss,458,Carl Durdan,408
10/1/2022 13:44,7,Mark Francillon,551,Becky Dyer,322
10/1/2022 13:46,6,Niel Gan,389,Iliana Filby,342
10/1/2022 14:21,8,Ben Schoenbrun,505,Becky Dyer,480
10/1/2022 14:28,8,Mark Francillon,439,Matthew O'Connor,428
10/1/2022 14:40,8,BJ Premore,462,Niel Gan,389
10/1/2022 14:41,8,Rachel Grubb,452,Iliana Filby,385
10/1/2022 14:43,8,Carl Durdan,374,Christopher Grubb,369
10/1/2022 14:44,8,Richard Buck,463,Tim Weiss,461
10/1/2022 15:06,9,Matthew O'Connor,491,Becky Dyer,373
10/1/2022 15:25,9,Carl Durdan,538,Iliana Filby,311
10/1/2022 15:30,9,Tim Weiss,468,Ben Schoenbrun,424
10/1/2022 15:33,9,Mark Francillon,463,Niel Gan,351
10/1/2022 15:33,9,Richard Buck,495,Christopher Grubb,396
10/1/2022 15:36,9,BJ Premore,471,Rachel Grubb,458
10/2/2022 7:20,10,Mark Francillon,454,Rachel Grubb,330
10/2/2022 7:20,10,Richard Buck,487,Iliana Filby,332
10/2/2022 7:23,10,Ben Schoenbrun,445,Matthew O'Connor,371
10/2/2022 7:28,10,Becky Dyer,507,Niel Gan,332
10/2/2022 7:31,10,Tim Weiss,558,Christopher Grubb,465
10/2/2022 8:14,11,Mark Francillon,442,Carl Durdan,418
10/2/2022 8:22,11,Becky Dyer,470,Rachel Grubb,394
10/2/2022 8:23,10,Carl Durdan,424,BJ Premore,281
10/2/2022 8:23,11,Matthew O'Connor,443,Niel Gan,404
10/2/2022 8:27,11,Christopher Grubb,393,Ben Schoenbrun,391
10/2/2022 8:27,11,Iliana Filby,414,Tim Weiss,397
10/2/2022 8:28,11,Richard Buck,366,BJ Premore,366
10/2/2022 9:03,12,Matthew O'Connor,583,Tim Weiss,356
10/2/2022 9:12,12,Ben Schoenbrun,528,Mark Francillon,442
10/2/2022 9:20,12,Richard Buck,502,Becky Dyer,353
10/2/2022 9:26,12,BJ Premore,461,Niel Gan,419
10/2/2022 9:27,12,Rachel Grubb,486,Iliana Filby,402
10/2/2022 9:29,13,Christopher Grubb,442,Carl Durdan,380
10/2/2022 9:59,13,Matthew O'Connor,409,Ben Schoenbrun,338
10/2/2022 10:09,13,Mark Francillon,429,Tim Weiss,405
10/2/2022 10:13,13,Richard Buck,396,Carl Durdan,327
10/2/2022 10:13,13,Niel Gan,440,Rachel Grubb,412
10/2/2022 10:18,13,BJ Premore,399,Iliana Filby,319
10/2/2022 10:20,13,Christopher Grubb,489,Becky Dyer,328
10/2/2022 11:51,14,Becky Dyer,446,Carl Durdan,336
10/2/2022 11:54,14,Ben Schoenbrun,380,Matthew O'Connor,361
10/2/2022 11:54,14,BJ Premore,400,Rachel Grubb,354
10/2/2022 11:56,14,Christopher Grubb,428,Richard Buck,399
10/2/2022 11:56,14,Mark Francillon,399,Tim Weiss,386
10/2/2022 12:00,14,Niel Gan,458,Iliana Filby,331
10/2/2022 12:42,15,Carl Durdan,505,Rachel Grubb,343
