Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
11/02/24 07:07 AM,1,Wellington Jighere,423,Robert Linn,347
11/02/24 07:10 AM,1,Dennis Ikekeregor,442,Wale Fashina,393
11/02/24 07:10 AM,1,Joshua Castellano,527,Sammy Okosagah,330
11/02/24 07:11 AM,1,Nsikak Etim,452,Rob Robinsky,366
11/02/24 07:51 AM,2,Wellington Jighere,500,Sammy Okosagah,466
11/02/24 07:59 AM,2,Dennis Ikekeregor,464,Robert Linn,396
11/02/24 08:02 AM,2,Nsikak Etim,486,Wale Fashina,317
11/02/24 08:02 AM,2,Joshua Castellano,534,Rob Robinsky,344
11/02/24 08:46 AM,3,Wale Fashina,433,Joshua Castellano,349
11/02/24 09:04 AM,3,Sammy Okosagah,448,Rob Robinsky,371
11/02/24 09:05 AM,3,Dennis Ikekeregor,407,Wellington Jighere,402
11/02/24 09:06 AM,3,Nsikak Etim,392,Robert Linn,380
11/02/24 09:47 AM,4,Wellington Jighere,423,Rob Robinsky,418
11/02/24 09:56 AM,4,Wale Fashina,485,Sammy Okosagah,436
11/02/24 09:56 AM,4,Nsikak Etim,474,Dennis Ikekeregor,399
11/02/24 10:03 AM,4,Joshua Castellano,430,Robert Linn,297
11/02/24 11:22 AM,5,Dennis Ikekeregor,440,Joshua Castellano,429
11/02/24 11:29 AM,5,Wale Fashina,524,Rob Robinsky,430
11/02/24 11:30 AM,5,Nsikak Etim,522,Wellington Jighere,444
11/02/24 11:34 AM,5,Sammy Okosagah,523,Robert Linn,359
11/02/24 12:06 PM,6,Wellington Jighere,538,Wale Fashina,486
11/02/24 12:20 PM,6,Joshua Castellano,460,Nsikak Etim,419
11/02/24 12:23 PM,6,Dennis Ikekeregor,453,Sammy Okosagah,451
11/02/24 12:27 PM,6,Robert Linn,524,Rob Robinsky,460
11/02/24 01:10 PM,7,Wellington Jighere,464,Joshua Castellano,368
11/02/24 01:13 PM,7,Robert Linn,431,Wale Fashina,337
11/02/24 01:15 PM,7,Sammy Okosagah,464,Nsikak Etim,411
11/02/24 01:17 PM,7,Dennis Ikekeregor,454,Rob Robinsky,428
11/02/24 02:02 PM,8,Robert Linn,509,Sammy Okosagah,490
11/02/24 02:05 PM,8,Wale Fashina,442,Rob Robinsky,421
11/02/24 02:08 PM,8,Wellington Jighere,462,Dennis Ikekeregor,432
11/02/24 02:25 PM,8,Joshua Castellano,481,Nsikak Etim,359
11/02/24 02:52 PM,9,Wellington Jighere,501,Dennis Ikekeregor,375
11/02/24 03:14 PM,9,Rob Robinsky,482,Robert Linn,367
11/02/24 03:18 PM,9,Joshua Castellano,391,Nsikak Etim,336
11/02/24 03:19 PM,9,Sammy Okosagah,379,Wale Fashina,379
