Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45504.8159,1,Test Player,50,Bye,0
45506.48456,1,Travis Chaney,480,David Whitley,442
45506.48788,1,Dave Wiegand,729,Gary Smart,277
45506.51007,1,Ethan Joseph,453,David Brown,355
45506.51659,2,Dave Wiegand,431,Gary Smart,276
45506.51872,2,David Whitley,498,Travis Chaney,343
45506.54738,2,David Brown,523,Ethan Joseph,301
45506.59289,3,David Whitley,478,Gary Smart,413
45506.59356,3,Dave Wiegand,513,Ethan Joseph,404
45506.5958,3,Travis Chaney,531,David Brown,370
45506.61756,4,Travis Chaney,486,David Brown,366
45506.61791,4,Dave Wiegand,527,Ethan Joseph,347
45506.62295,4,David Whitley,542,Gary Smart,426
45506.648,5,Gary Smart,402,Travis Chaney,350
45506.65493,5,Dave Wiegand,532,David Brown,426
45506.66083,5,Ethan Joseph,476,David Whitley,341
45506.67006,6,Travis Chaney,474,Gary Smart,340
45506.68681,6,Dave Wiegand,513,David Brown,302
45506.69549,6,Ethan Joseph,473,David Whitley,397
45506.71791,7,Dave Wiegand,443,Travis Chaney,432
45506.72906,7,Gary Smart,421,Ethan Joseph,359
45506.73096,7,David Whitley,467,David Brown,390
45506.7455,8,Dave Wiegand,437,Travis Chaney,429
45506.7639,8,Ethan Joseph,393,Gary Smart,372
45506.76443,8,David Whitley,387,David Brown,367
45507.35655,9,Travis Chaney,525,Ethan Joseph,346
45507.35726,9,David Brown,545,Gary Smart,353
45507.35998,9,Dave Wiegand,538,David Whitley,361
45507.3848,10,Travis Chaney,478,Ethan Joseph,452
45507.38818,10,Dave Wiegand,484,David Whitley,294
45507.39128,10,David Brown,408,Gary Smart,293
45507.41684,11,Travis Chaney,442,Ethan Joseph,341
45507.42139,11,David Whitley,480,Gary Smart,346
45507.42703,11,Dave Wiegand,466,David Brown,421
45507.45023,12,David Whitley,528,Travis Chaney,358
45507.4516,12,Dave Wiegand,421,Gary Smart,320
45507.45477,12,David Brown,518,Ethan Joseph,287
45507.48523,13,Dave Wiegand,475,Ethan Joseph,461
45507.49221,13,Gary Smart,380,Travis Chaney,367
45507.49865,13,David Brown,384,David Whitley,371
45507.57189,14,Ethan Joseph,485,David Whitley,362
45507.57507,14,Dave Wiegand,463,Travis Chaney,462
45507.57574,14,David Brown,453,Gary Smart,301
45507.60472,15,Gary Smart,437,Ethan Joseph,421
45507.60581,15,David Brown,425,Travis Chaney,368
45507.60623,15,David Whitley,505,Dave Wiegand,319
45507.63432,16,Dave Wiegand,550,Gary Smart,364
45507.64288,16,David Brown,429,Travis Chaney,417
45507.64742,16,Ethan Joseph,458,David Whitley,405
45507.67275,17,David Whitley,493,Travis Chaney,462
45507.67576,17,Ethan Joseph,405,Gary Smart,326
45507.67995,17,Dave Wiegand,514,David Brown,359
45508.36029,18,Gary Smart,449,Travis Chaney,435
45508.36824,18,Dave Wiegand,414,Ethan Joseph,384
45508.37332,18,David Whitley,507,David Brown,360
45508.40426,19,Travis Chaney,421,Ethan Joseph,344
45508.40455,19,Dave Wiegand,525,David Whitley,356
45508.40508,19,Gary Smart,450,David Brown,396
45508.43502,20,Dave Wiegand,439,Travis Chaney,359
45508.44586,20,Ethan Joseph,478,David Brown,385
45508.4505,20,David Whitley,428,Gary Smart,339
45508.50542,21,Dave Wiegand,515,David Whitley,381
45508.52859,22,Dave Wiegand,587,David Whitley,431
