Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
02/15/25 10:06 AM,1,Dave Wiegand,621,Betty Cornelison,364
02/15/25 10:10 AM,1,Alec Sjöholm,424,Joe Roberdeau,376
02/15/25 10:13 AM,1,Bharath Balakrishnan,461,Travis Chaney,452
02/15/25 10:21 AM,1,David Whitley,418,Terry Kang,402
02/15/25 10:24 AM,1,Christopher Grubb,617,Walker Willingham,356
02/15/25 10:24 AM,1,Kolton Koehler,440,Lola McKissen,342
02/15/25 10:25 AM,1,Puneet Sharma,406,Mark Francillon,404
02/15/25 10:25 AM,1,Chris Lipe,546,Randi Goldberg,256
02/15/25 10:27 AM,1,Conrad Bassett-Bouchard,556,Nitya Chagti,272
02/15/25 10:36 AM,1,Peter Armstrong,533,Eric Fox,323
02/15/25 11:04 AM,2,Joe Roberdeau,411,Betty Cornelison,387
02/15/25 11:11 AM,2,Travis Chaney,493,Mark Francillon,401
02/15/25 11:17 AM,2,Conrad Bassett-Bouchard,480,Terry Kang,423
02/15/25 11:18 AM,2,Dave Wiegand,412,Walker Willingham,320
02/15/25 11:21 AM,2,Randi Goldberg,361,Alec Sjöholm,338
02/15/25 11:23 AM,2,Kolton Koehler,424,Nitya Chagti,287
02/15/25 11:25 AM,2,Lola McKissen,425,Christopher Grubb,421
02/15/25 11:33 AM,2,Eric Fox,441,Chris Lipe,429
02/15/25 11:35 AM,2,Bharath Balakrishnan,506,Peter Armstrong,481
02/15/25 12:09 PM,3,Kolton Koehler,387,Terry Kang,355
02/15/25 12:11 PM,3,Travis Chaney,548,David Whitley,400
02/15/25 12:12 PM,3,Joe Roberdeau,428,Dave Wiegand,388
02/15/25 12:13 PM,3,Randi Goldberg,429,Betty Cornelison,351
02/15/25 12:15 PM,3,Alec Sjöholm,510,Eric Fox,386
02/15/25 12:18 PM,2,David Whitley,399,Puneet Sharma,387
02/15/25 12:22 PM,3,Walker Willingham,407,Lola McKissen,326
02/15/25 12:22 PM,3,Conrad Bassett-Bouchard,515,Puneet Sharma,447
02/15/25 12:22 PM,3,Peter Armstrong,564,Mark Francillon,354
02/15/25 12:29 PM,3,Bharath Balakrishnan,468,Chris Lipe,410
02/15/25 12:32 PM,3,Nitya Chagti,365,Christopher Grubb,365
02/15/25 01:02 PM,4,Betty Cornelison,408,Eric Fox,365
02/15/25 01:03 PM,4,Dave Wiegand,598,Lola McKissen,270
02/15/25 01:05 PM,4,Conrad Bassett-Bouchard,489,Travis Chaney,482
02/15/25 01:08 PM,4,Randi Goldberg,458,Joe Roberdeau,365
02/15/25 01:11 PM,4,Kolton Koehler,495,Puneet Sharma,434
02/15/25 01:12 PM,4,Peter Armstrong,492,David Whitley,446
02/15/25 01:15 PM,4,Alec Sjöholm,460,Bharath Balakrishnan,323
02/15/25 01:21 PM,4,Christopher Grubb,465,Terry Kang,439
02/15/25 01:26 PM,4,Chris Lipe,518,Mark Francillon,373
02/15/25 01:26 PM,4,Nitya Chagti,468,Walker Willingham,425
02/15/25 02:42 PM,5,Kolton Koehler,529,Travis Chaney,316
02/15/25 02:53 PM,5,Alec Sjöholm,471,Mark Francillon,281
02/15/25 02:55 PM,5,Dave Wiegand,505,Randi Goldberg,373
02/15/25 02:56 PM,5,David Whitley,451,Chris Lipe,425
02/15/25 02:59 PM,5,Terry Kang,483,Walker Willingham,410
02/15/25 03:00 PM,5,Christopher Grubb,546,Puneet Sharma,375
02/15/25 03:01 PM,5,Peter Armstrong,510,Conrad Bassett-Bouchard,454
02/15/25 03:01 PM,5,Eric Fox,492,Joe Roberdeau,387
02/15/25 03:02 PM,5,Bharath Balakrishnan,533,Betty Cornelison,351
02/15/25 03:03 PM,5,Nitya Chagti,548,Lola McKissen,277
02/15/25 03:42 PM,6,Alec Sjöholm,531,David Whitley,417
02/15/25 03:45 PM,6,Peter Armstrong,530,Kolton Koehler,320
02/15/25 03:46 PM,6,Lola McKissen,452,Terry Kang,369
02/15/25 03:50 PM,6,Randi Goldberg,397,Eric Fox,370
02/15/25 03:51 PM,6,Betty Cornelison,499,Mark Francillon,446
02/15/25 03:53 PM,6,Conrad Bassett-Bouchard,439,Chris Lipe,426
02/15/25 03:55 PM,6,Dave Wiegand,555,Nitya Chagti,268
02/15/25 04:01 PM,6,Bharath Balakrishnan,485,Joe Roberdeau,478
02/15/25 04:08 PM,6,Christopher Grubb,429,Travis Chaney,355
02/15/25 04:29 PM,7,Alec Sjöholm,506,Conrad Bassett-Bouchard,427
02/15/25 04:38 PM,7,Dave Wiegand,484,Eric Fox,368
02/15/25 04:39 PM,7,Kolton Koehler,451,Chris Lipe,387
02/15/25 04:41 PM,7,David Whitley,442,Betty Cornelison,378
