"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
02/14/26 10:19 AM,1,"Chris Lipe",446,"Travis Chaney",362
02/14/26 10:22 AM,1,"Dave Wiegand",502,"Randi Goldberg",449
02/14/26 10:33 AM,1,"Peter Armstrong",579,"Gunther Jacobi",406
02/14/26 10:33 AM,1,"Alec Sjöholm",511,"Evans Clinchy",441
02/14/26 10:33 AM,1,"Carson Ip",430,"Kolton Koehler",387
02/14/26 10:34 AM,1,"John O'Laughlin",417,"Bharath Balakrishnan",400
02/14/26 10:37 AM,1,"Conrad Bassett-Bouchard",448,"Eric Fox",399
02/14/26 10:39 AM,1,"Erickson Smith",409,"Zachary Dang",402
02/14/26 10:40 AM,1,"Puneet Sharma",420,"David Whitley",383
02/14/26 10:43 AM,1,"Chris Cheng",449,"Christopher Grubb",401
02/14/26 11:20 AM,2,"Alec Sjöholm",557,"Randi Goldberg",372
02/14/26 11:24 AM,2,"Kolton Koehler",508,"Gunther Jacobi",306
02/14/26 11:27 AM,2,"Evans Clinchy",579,"Carson Ip",428
02/14/26 11:29 AM,2,"David Whitley",468,"Bharath Balakrishnan",437
02/14/26 11:30 AM,2,"Dave Wiegand",504,"Chris Cheng",400
02/14/26 11:37 AM,2,"Travis Chaney",401,"Peter Armstrong",369
02/14/26 11:37 AM,2,"Zachary Dang",451,"Conrad Bassett-Bouchard",403
02/14/26 11:39 AM,2,"Chris Lipe",545,"Puneet Sharma",379
02/14/26 11:40 AM,2,"John O'Laughlin",407,"Erickson Smith",306
02/14/26 11:44 AM,2,"Christopher Grubb",414,"Eric Fox",403
02/14/26 12:16 PM,3,"Evans Clinchy",484,"Gunther Jacobi",391
02/14/26 12:20 PM,3,"Alec Sjöholm",483,"Carson Ip",404
02/14/26 12:21 PM,3,"Travis Chaney",458,"Kolton Koehler",443
02/14/26 12:25 PM,3,"David Whitley",573,"Erickson Smith",377
02/14/26 12:28 PM,3,"Dave Wiegand",529,"Eric Fox",402
02/14/26 12:29 PM,3,"Chris Lipe",519,"Bharath Balakrishnan",365
02/14/26 12:35 PM,3,"Randi Goldberg",423,"Chris Cheng",365
02/14/26 12:36 PM,3,"Puneet Sharma",513,"Peter Armstrong",422
02/14/26 12:40 PM,3,"Zachary Dang",391,"Christopher Grubb",377
02/14/26 12:46 PM,3,"Conrad Bassett-Bouchard",483,"John O'Laughlin",389
02/14/26 01:01 PM,4,"Evans Clinchy",491,"Travis Chaney",344
02/14/26 01:21 PM,4,"Carson Ip",457,"Gunther Jacobi",343
02/14/26 01:27 PM,4,"Erickson Smith",563,"Chris Lipe",370
02/14/26 01:31 PM,4,"Dave Wiegand",488,"Zachary Dang",425
02/14/26 01:36 PM,4,"Chris Cheng",470,"Alec Sjöholm",436
02/14/26 01:37 PM,4,"Kolton Koehler",444,"Puneet Sharma",331
