Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
12/31/2022 10:08:48,1,David Whitley,391,Mark Milan,381
12/31/2022 9:54:29,1,Kolton Koehler,459,Becky Dyer,315
12/31/2022 10:06:08,1,Peter Armstrong,452,Yukiko Loritz,429
12/31/2022 10:09:58,1,Zachary Ansell,453,Conrad Bassett-Bouchard,435
12/31/2022 11:00:32,2,Conrad Bassett-Bouchard,451,Zachary Ansell,386
12/31/2022 10:42:25,2,Kolton Koehler,506,Becky Dyer,389
12/31/2022 11:01:45,2,Mark Milan,436,David Whitley,424
12/31/2022 13:20:32,2,Peter Armstrong,431,Yukiko Loritz,405
12/31/2022 11:59:16,3,Becky Dyer,541,David Whitley,351
12/31/2022 12:01:18,3,Conrad Bassett-Bouchard,484,Mark Milan,442
12/31/2022 11:54:08,3,Kolton Koehler,446,Peter Armstrong,403
12/31/2022 11:56:48,3,Zachary Ansell,409,Yukiko Loritz,392
12/31/2022 12:57:22,4,Becky Dyer,419,David Whitley,412
12/31/2022 12:53:11,4,Conrad Bassett-Bouchard,491,Mark Milan,383
12/31/2022 12:45:46,4,Peter Armstrong,462,Kolton Koehler,311
12/31/2022 12:47:36,4,Zachary Ansell,550,Yukiko Loritz,236
12/31/2022 14:28:25,5,Conrad Bassett-Bouchard,458,Yukiko Loritz,361
12/31/2022 14:36:13,5,David Whitley,414,Peter Armstrong,402
12/31/2022 14:28:48,5,Kolton Koehler,398,Zachary Ansell,388
12/31/2022 14:31:16,5,Mark Milan,413,Becky Dyer,388
12/31/2022 15:13:37,6,Conrad Bassett-Bouchard,523,Yukiko Loritz,497
12/31/2022 15:18:39,6,David Whitley,476,Peter Armstrong,431
12/31/2022 15:24:28,6,Mark Milan,397,Becky Dyer,391
12/31/2022 15:12:19,6,Zachary Ansell,440,Kolton Koehler,400
12/31/2022 16:09:38,7,Conrad Bassett-Bouchard,530,Becky Dyer,336
12/31/2022 16:11:24,7,Kolton Koehler,517,Yukiko Loritz,272
12/31/2022 16:27:17,7,Peter Armstrong,477,Mark Milan,387
12/31/2022 16:12:31,7,Zachary Ansell,447,David Whitley,401
12/31/2022 17:02:33,8,Becky Dyer,515,Conrad Bassett-Bouchard,435
12/31/2022 16:55:33,8,David Whitley,531,Zachary Ansell,348
12/31/2022 17:21:15,8,Peter Armstrong,452,Mark Milan,368
12/31/2022 16:57:16,8,Yukiko Loritz,431,Kolton Koehler,401
01/01/2023 11:02:54,9,David Whitley,441,Yukiko Loritz,438
01/01/2023 10:53:33,9,Kolton Koehler,423,Conrad Bassett-Bouchard,395
01/01/2023 10:58:57,9,Peter Armstrong,489,Becky Dyer,381
01/01/2023 11:03:39,9,Zachary Ansell,419,Mark Milan,368
01/01/2023 11:52:36,10,David Whitley,445,Yukiko Loritz,441
01/01/2023 11:51:31,10,Kolton Koehler,443,Conrad Bassett-Bouchard,384
01/01/2023 11:55:39,10,Peter Armstrong,566,Becky Dyer,296
01/01/2023 11:55:12,10,Zachary Ansell,549,Mark Milan,360
01/01/2023 12:43:45,11,Becky Dyer,478,Zachary Ansell,339
01/01/2023 12:52:20,11,Kolton Koehler,392,David Whitley,389
01/01/2023 12:35:18,11,Peter Armstrong,519,Conrad Bassett-Bouchard,429
01/01/2023 12:49:43,11,Yukiko Loritz,448,Mark Milan,403
01/01/2023 13:23:44,12,Conrad Bassett-Bouchard,544,Peter Armstrong,393
01/01/2023 13:33:50,12,Kolton Koehler,481,David Whitley,456
01/01/2023 13:43:49,12,Mark Milan,415,Yukiko Loritz,410
01/01/2023 13:36:10,12,Zachary Ansell,463,Becky Dyer,330
01/01/2023 14:56:36,13,Conrad Bassett-Bouchard,452,David Whitley,394
01/01/2023 16:06:17,13,Kolton Koehler,515,Mark Milan,249
01/01/2023 15:00:26,13,Peter Armstrong,512,Zachary Ansell,422
01/01/2023 15:04:06,13,Yukiko Loritz,428,Becky Dyer,415
01/01/2023 15:36:05,14,Conrad Bassett-Bouchard,555,David Whitley,450
01/01/2023 15:43:12,14,Mark Milan,501,Kolton Koehler,284
01/01/2023 15:53:09,14,Peter Armstrong,545,Zachary Ansell,428
01/01/2023 15:57:35,14,Yukiko Loritz,434,Becky Dyer,405
