Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45535.2981,1,Ben Schoenbrun,534,Kaia,301
45535.30968,1,Erickson Smith,509,Becky Dyer,368
45535.31145,1,Matthew O'Connor,523,Nitya Chagti,296
45535.31529,1,Robert Linn,432,Tim Weiss,405
45535.319,1,Joshua Castellano,476,Niel Gan,306
45535.34263,2,Ben Schoenbrun,504,Becky Dyer,342
45535.34603,2,Matthew O'Connor,608,Robert Linn,320
45535.3495,2,Joshua Castellano,490,Kaia,431
45535.35103,2,Tim Weiss,465,Erickson Smith,335
45535.44608,2,Niel Gan,527,Nitya Chagti,405
45535.37854,3,Ben Schoenbrun,447,Tim Weiss,306
45535.379,3,Becky Dyer,405,Kaia,324
45535.38485,3,Matthew O'Connor,479,Erickson Smith,404
45535.39419,3,Niel Gan,505,Robert Linn,426
45535.39809,3,Nitya Chagti,460,Joshua Castellano,401
45535.40819,4,Ben Schoenbrun,556,Matthew O'Connor,372
45535.41884,4,Tim Weiss,474,Kaia,351
45535.4292,4,Erickson Smith,460,Niel Gan,327
45535.43333,4,Robert Linn,561,Nitya Chagti,321
45535.43593,4,Joshua Castellano,460,Becky Dyer,365
45535.50171,5,Matthew O'Connor,529,Kaia,379
45535.50944,5,Ben Schoenbrun,428,Niel Gan,370
45535.51227,5,Becky Dyer,455,Tim Weiss,396
45535.51509,5,Nitya Chagti,401,Erickson Smith,385
45535.51551,5,Robert Linn,429,Joshua Castellano,401
45535.54491,6,Niel Gan,530,Kaia,348
45535.54036,6,Becky Dyer,482,Matthew O'Connor,476
45535.54828,6,Ben Schoenbrun,485,Nitya Chagti,390
45535.55875,6,Joshua Castellano,444,Tim Weiss,406
45535.55891,6,Robert Linn,560,Erickson Smith,508
45535.58066,7,Nitya Chagti,394,Kaia,335
45535.58397,7,Becky Dyer,466,Niel Gan,378
45535.58957,7,Matthew O'Connor,496,Tim Weiss,416
45535.5942,7,Ben Schoenbrun,444,Robert Linn,421
45535.59736,7,Joshua Castellano,420,Erickson Smith,397
45536.30322,8,Ben Schoenbrun,494,Erickson Smith,354
45536.3037,8,Becky Dyer,489,Nitya Chagti,367
45536.30527,8,Joshua Castellano,409,Matthew O'Connor,332
45536.31124,8,Tim Weiss,522,Niel Gan,286
45536.45831,8,Robert Linn,459,Kaia,392
45536.33263,9,Erickson Smith,490,Kaia,465
45536.33479,9,Ben Schoenbrun,472,Joshua Castellano,456
45536.34157,9,Matthew O'Connor,544,Niel Gan,393
45536.34795,9,Robert Linn,405,Becky Dyer,347
45536.35664,9,Nitya Chagti,418,Tim Weiss,344
45536.36587,10,Ben Schoenbrun,453,Kaia,359
45536.38043,10,Joshua Castellano,449,Niel Gan,395
45536.38347,10,Becky Dyer,430,Erickson Smith,405
45536.38459,10,Matthew O'Connor,500,Nitya Chagti,409
45536.39387,10,Tim Weiss,446,Robert Linn,393
45536.41918,11,Joshua Castellano,537,Kaia,461
45536.41928,11,Ben Schoenbrun,405,Becky Dyer,396
45536.42589,11,Matthew O'Connor,495,Robert Linn,458
45536.428,11,Niel Gan,462,Nitya Chagti,426
45536.43066,11,Erickson Smith,452,Tim Weiss,415
45536.50502,12,Becky Dyer,436,Kaia,398
45536.50679,12,Matthew O'Connor,532,Erickson Smith,361
45536.51273,12,Tim Weiss,435,Ben Schoenbrun,400
45536.51288,12,Robert Linn,432,Niel Gan,384
45536.51501,12,Joshua Castellano,433,Nitya Chagti,397
45536.52856,13,Ben Schoenbrun,574,Matthew O'Connor,357
45536.55142,13,Erickson Smith,528,Niel Gan,360
45536.55163,13,Tim Weiss,484,Kaia,375
45536.55189,13,Becky Dyer,430,Joshua Castellano,391
45536.55759,13,Robert Linn,501,Nitya Chagti,387
45536.58188,14,Matthew O'Connor,404,Kaia,395
45536.58188,14,Ben Schoenbrun,390,Niel Gan,344
45536.58493,14,Tim Weiss,479,Becky Dyer,451
45536.59883,14,Robert Linn,414,Joshua Castellano,379
45536.76459,14,Erickson Smith,382,Nitya Chagti,354
45537.30188,15,Matthew O'Connor,517,Becky Dyer,427
45537.3049,15,Kaia,417,Niel Gan,408
45537.30528,15,Nitya Chagti,433,Ben Schoenbrun,382
45537.30659,15,Tim Weiss,439,Joshua Castellano,387
45537.31009,15,Erickson Smith,401,Robert Linn,394
45537.33735,16,Tim Weiss,474,Matthew O'Connor,365
45537.34263,16,Kaia,425,Nitya Chagti,421
45537.34369,16,Niel Gan,450,Becky Dyer,375
45537.34688,16,Robert Linn,480,Ben Schoenbrun,437
45537.35201,16,Erickson Smith,501,Joshua Castellano,412
45537.37834,17,Ben Schoenbrun,508,Erickson Smith,371
45537.38256,17,Nitya Chagti,397,Becky Dyer,390
45537.38355,17,Kaia,475,Robert Linn,388
45537.38586,17,Joshua Castellano,454,Matthew O'Connor,428
45537.38818,17,Tim Weiss,419,Niel Gan,377
45537.40756,18,Ben Schoenbrun,496,Joshua Castellano,392
45537.41218,18,Erickson Smith,501,Kaia,391
45537.41383,18,Matthew O'Connor,483,Niel Gan,350
45537.41744,18,Becky Dyer,491,Robert Linn,407
45537.42378,18,Tim Weiss,521,Nitya Chagti,400
