Submitted On	Round	Winner	Winners Score	Opponent	Opponents Score
44443.43275	1	Dave Wiegand	549	Conrad Bassett-Bouchard	370
44443.43318	1	Betty Cornelison	511	Evans Clinchy	347
44443.43726	1	Jennifer Clinchy	502	David Whitley	459
44443.43744	1	Becky Dyer	442	Ruth Hamilton	378
44443.43944	1	Kolton Koehler	458	Lola McKissen	369
44443.44169	1	Peter Armstrong	355	Rachel Grubb	353
44443.44282	1	Mark Francillon	417	Puneet Sharma	334
44443.44771	1	Christopher Grubb	475	Judy Romann	320
44443.46519	2	Conrad Bassett-Bouchard	450	Kolton Koehler	303
44443.46782	2	Dave Wiegand	466	Evans Clinchy	424
44443.47288	2	Puneet Sharma	423	Ruth Hamilton	374
44443.48052	2	Rachel Grubb	501	Becky Dyer	321
44443.48324	2	Jennifer Clinchy	436	Mark Francillon	374
44443.48567	2	Christopher Grubb	546	Betty Cornelison	359
44443.48676	2	Peter Armstrong	443	Lola McKissen	422
44443.48743	2	David Whitley	563	Judy Romann	217
44443.51481	3	Christopher Grubb	482	Dave Wiegand	433
44443.51902	3	Jennifer Clinchy	419	Ruth Hamilton	406
44443.51907	3	Evans Clinchy	552	Conrad Bassett-Bouchard	378
44443.5202	3	Peter Armstrong	469	Kolton Koehler	348
44443.52382	3	Puneet Sharma	416	Rachel Grubb	295
44443.52532	3	Becky Dyer	433	Lola McKissen	382
44443.52586	3	David Whitley	448	Betty Cornelison	365
44443.528	3	Judy Romann	455	Mark Francillon	429
44443.55169	4	Evans Clinchy	483	Christopher Grubb	436
44443.55396	4	Becky Dyer	551	Kolton Koehler	373
44443.55554	4	David Whitley	514	Dave Wiegand	410
44443.56044	4	Conrad Bassett-Bouchard	444	Peter Armstrong	418
44443.56176	4	Ruth Hamilton	378	Judy Romann	342
44443.56264	4	Mark Francillon	516	Betty Cornelison	326
44443.56375	4	Jennifer Clinchy	474	Rachel Grubb	402
44443.56828	4	Puneet Sharma	411	Lola McKissen	355
44443.61052	5	Lola McKissen	451	Jennifer Clinchy	334
44443.61064	5	Dave Wiegand	644	Mark Francillon	377
