Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
44807.42531,1,Alec Sjöholm,529,Ruth Hamilton,329
44807.4347,1,Dave Wiegand,604,Lola McKissen,315
44807.43558,1,Conrad Bassett-Bouchard,528,Betty Cornelison,260
44807.43579,1,Kolton Koehler,490,Jesse Matthews,397
44807.43716,1,John O'Laughlin,541,Evans Clinchy,445
44807.43944,1,Rob Robinsky,457,Terry Kang,332
44807.44394,1,Jennifer Clinchy,406,David Whitley,385
44807.44413,1,Peter Armstrong,444,Mark Francillon,437
44807.46488,2,Conrad Bassett-Bouchard,533,Ruth Hamilton,352
44807.46817,2,Terry Kang,432,Lola McKissen,332
44807.46852,2,Dave Wiegand,475,Betty Cornelison,294
44807.47435,2,Alec Sjöholm,655,Mark Francillon,365
44807.47475,2,Evans Clinchy,546,Kolton Koehler,454
44807.48157,2,Peter Armstrong,540,John O'Laughlin,490
44807.48288,2,Jesse Matthews,413,David Whitley,370
44807.48388,2,Rob Robinsky,520,Jennifer Clinchy,403
44807.49485,3,Dave Wiegand,560,Terry Kang,251
44807.50111,3,Betty Cornelison,410,Ruth Hamilton,392
44807.50324,3,Mark Francillon,599,Conrad Bassett-Bouchard,421
44807.51235,3,Alec Sjöholm,514,John O'Laughlin,499
44807.51991,3,Evans Clinchy,497,David Whitley,467
44807.52293,3,Rob Robinsky,460,Jesse Matthews,426
44807.52448,3,Peter Armstrong,535,Kolton Koehler,506
44807.5248,3,Jennifer Clinchy,438,Lola McKissen,392
44807.5295,4,Dave Wiegand,501,Ruth Hamilton,454
44807.53792,4,Mark Francillon,462,Betty Cornelison,332
44807.54795,4,John O'Laughlin,469,Conrad Bassett-Bouchard,405
44807.55859,4,Kolton Koehler,445,Alec Sjöholm,438
44807.55962,4,Lola McKissen,512,Jesse Matthews,490
44807.56505,4,David Whitley,533,Peter Armstrong,399
44807.56566,4,Jennifer Clinchy,372,Terry Kang,349
44807.56747,4,Rob Robinsky,524,Evans Clinchy,433
44807.63282,5,Evans Clinchy,525,Lola McKissen,405
44807.63681,5,John O'Laughlin,525,Betty Cornelison,335
44807.63815,5,Conrad Bassett-Bouchard,713,Kolton Koehler,253
44807.64076,5,Ruth Hamilton,472,Mark Francillon,457
44807.64149,5,Jesse Matthews,441,Terry Kang,286
44807.64293,5,Dave Wiegand,473,Jennifer Clinchy,439
44807.64344,5,David Whitley,466,Alec Sjöholm,384
44807.64725,5,Peter Armstrong,465,Rob Robinsky,368
44807.67223,6,Kolton Koehler,444,Betty Cornelison,396
44807.67527,6,Dave Wiegand,526,Mark Francillon,411
44807.67655,6,John O'Laughlin,372,Ruth Hamilton,369
44807.68,6,Conrad Bassett-Bouchard,471,David Whitley,446
44807.68072,6,Alec Sjöholm,548,Rob Robinsky,392
44807.68169,6,Jesse Matthews,527,Jennifer Clinchy,283
