Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
11/13/23 09:56 AM,1,Travis Chaney,405,Ruth Hamilton,354
11/13/23 09:56 AM,1,Chris Lipe,560,Chris Sjöholm,344
11/13/23 10:07 AM,1,Alec Sjöholm,490,Betty Cornelison,287
11/13/23 10:10 AM,1,Joel Wapnick,445,Gary Smart,343
11/13/23 10:13 AM,1,Rob Robinsky,445,Andrea Hatch,353
11/13/23 10:13 AM,1,John Karris,522,Eric Fox,357
11/13/23 10:13 AM,1,Rasheed Balogun,443,Randi Goldberg,347
11/13/23 10:20 AM,1,Christopher Grubb,442,Peter Armstrong,365
11/13/23 10:22 AM,1,Noel Livermore,442,Walker Willingham,348
11/13/23 10:46 AM,2,Chris Sjöholm,442,Travis Chaney,403
11/13/23 10:54 AM,2,Rasheed Balogun,454,Betty Cornelison,323
11/13/23 10:56 AM,2,Chris Lipe,516,Ruth Hamilton,399
11/13/23 10:59 AM,2,Gary Smart,516,Rob Robinsky,385
11/13/23 11:00 AM,2,Christopher Grubb,473,Walker Willingham,339
11/13/23 11:03 AM,2,Alec Sjöholm,511,Randi Goldberg,424
11/13/23 11:11 AM,2,Joel Wapnick,541,Andrea Hatch,256
11/13/23 11:13 AM,2,Peter Armstrong,504,Eric Fox,357
11/13/23 11:20 AM,2,Noel Livermore,484,John Karris,391
11/13/23 11:45 AM,3,Alec Sjöholm,526,Rasheed Balogun,359
11/13/23 11:47 AM,3,Chris Sjöholm,364,Ruth Hamilton,322
11/13/23 11:50 AM,3,Chris Lipe,464,Travis Chaney,365
11/13/23 11:57 AM,3,Andrea Hatch,436,Gary Smart,404
11/13/23 12:01 PM,3,Randi Goldberg,520,Betty Cornelison,353
11/13/23 12:09 PM,3,Eric Fox,464,Walker Willingham,371
11/13/23 12:10 PM,3,Rob Robinsky,528,Joel Wapnick,460
11/13/23 12:14 PM,3,John Karris,469,Peter Armstrong,393
11/13/23 12:15 PM,3,Christopher Grubb,453,Noel Livermore,429
11/13/23 01:50 PM,4,Travis Chaney,499,Eric Fox,350
11/13/23 01:56 PM,4,Chris Lipe,460,Alec Sjöholm,438
11/13/23 02:00 PM,4,Rob Robinsky,528,Noel Livermore,363
11/13/23 02:05 PM,4,Walker Willingham,442,Betty Cornelison,379
11/13/23 02:05 PM,4,Rasheed Balogun,632,John Karris,505
11/13/23 02:08 PM,4,Christopher Grubb,533,Joel Wapnick,384
11/13/23 02:08 PM,4,Ruth Hamilton,431,Andrea Hatch,390
11/13/23 02:10 PM,4,Chris Sjöholm,399,Gary Smart,327
11/13/23 02:11 PM,4,Peter Armstrong,489,Randi Goldberg,480
11/13/23 02:52 PM,5,Rob Robinsky,416,Chris Sjöholm,357
11/13/23 02:54 PM,5,Ruth Hamilton,453,Betty Cornelison,272
11/13/23 02:57 PM,5,Rasheed Balogun,443,Noel Livermore,348
11/13/23 02:58 PM,5,John Karris,392,Gary Smart,380
11/13/23 02:59 PM,5,Travis Chaney,351,Peter Armstrong,302
11/13/23 03:00 PM,5,Walker Willingham,379,Andrea Hatch,355
11/13/23 03:05 PM,5,Chris Lipe,499,Christopher Grubb,480
11/13/23 03:09 PM,5,Joel Wapnick,392,Alec Sjöholm,377
11/13/23 03:13 PM,5,Eric Fox,489,Randi Goldberg,371
11/13/23 03:39 PM,6,Rasheed Balogun,530,Chris Sjöholm,314
11/13/23 03:45 PM,6,Alec Sjöholm,539,Christopher Grubb,382
11/13/23 03:52 PM,6,Gary Smart,453,Eric Fox,362
11/13/23 03:56 PM,6,Noel Livermore,492,Peter Armstrong,393
11/13/23 03:58 PM,6,Betty Cornelison,391,Andrea Hatch,358
11/13/23 03:58 PM,6,Joel Wapnick,492,Travis Chaney,398
11/13/23 04:01 PM,6,Walker Willingham,411,Ruth Hamilton,383
11/13/23 04:06 PM,6,John Karris,434,Randi Goldberg,430
11/13/23 04:07 PM,6,Chris Lipe,434,Rob Robinsky,373
