Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
11/13/23 09:45 AM,Semifinal,Kevin Schutz,401,Vera Bigall,400
11/13/23 09:52 AM,Semifinal,Lindsay Shin,483,Ayotunde Adeyeri,407
11/13/23 09:52 AM,Semifinal,Kevin Fraley,460,Austin Shin,453
11/13/23 10:26 AM,Semifinal,Vera Bigall,401,Kevin Schutz,266
11/13/23 10:40 AM,Semifinal,Ayotunde Adeyeri,356,Lindsay Shin,348
11/13/23 11:09 AM,Semifinal,Kevin Schutz,445,Vera Bigall,339
11/13/23 11:30 AM,Semifinal,Ayotunde Adeyeri,428,Lindsay Shin,395
,Semifinal,Kevin Fraley,458,Austin Shin,373
,Semifinal,Kolton Koehler,450,Dave Wiegand,416
,Semifinal,Dave Wiegand,549,Kolton Koehler,477
,Semifinal,Dave Wiegand,536,Kolton Koehler,331
11/13/23 02:00 PM,Final,Ayotunde Adeyeri,384,Kevin Schutz,328
11/13/23 02:04 PM,Third Place Match,Lindsay Shin,400,Vera Bigall,369
11/13/23 02:00 PM,Final,Kevin Fraley,453,Dave Wiegand,389
11/13/23 02:43 PM,Third Place Match,Lindsay Shin,495,Vera Bigall,373
11/13/23 02:50 PM,Final,Kevin Schutz,459,Ayotunde Adeyeri,451
11/13/23 02:50 PM,Third Place Match,Kolton Koehler,449,Austin Shin,401
11/13/23 02:43 PM,Third Place Match,Austin Shin,504,Kolton Koehler,386
11/13/23 03:22 PM,Final,Kevin Schutz,502,Ayotunde Adeyeri,311
11/13/23 03:22 PM,Third Place Match,Kolton Koehler,547,Austin Shin,446
