Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
11/13/2023 9:56:07,1,Travis Chaney,405,Ruth Hamilton,354
11/13/2023 9:56:47,1,Chris Lipe,560,Chris Sjöholm,344
11/13/2023 10:07:51,1,Alec Sjöholm,490,Betty Cornelison,287
11/13/2023 10:10:46,1,Joel Wapnick,445,Gary Smart,343
11/13/2023 10:13:21,1,Rob Robinsky,445,Andrea Hatch,353
11/13/2023 10:13:48,1,John Karris,522,Eric Fox,357
11/13/2023 10:13:51,1,Rasheed Balogun,443,Randi Goldberg,347
11/13/2023 10:20:36,1,Christopher Grubb,442,Peter Armstrong,365
11/13/2023 10:22:27,1,Noel Livermore,442,Walker Willingham,348
11/13/2023 10:46:36,2,Chris Sjöholm,442,Travis Chaney,403
11/13/2023 10:54:45,2,Rasheed Balogun,454,Betty Cornelison,323
11/13/2023 10:56:08,2,Chris Lipe,516,Ruth Hamilton,399
11/13/2023 10:59:03,2,Gary Smart,516,Rob Robinsky,385
11/13/2023 11:00:45,2,Christopher Grubb,473,Walker Willingham,339
11/13/2023 11:03:18,2,Alec Sjöholm,511,Randi Goldberg,424
11/13/2023 11:11:53,2,Joel Wapnick,541,Andrea Hatch,256
11/13/2023 11:13:30,2,Peter Armstrong,504,Eric Fox,357
11/13/2023 11:20:01,2,Noel Livermore,484,John Karris,391
11/13/2023 11:45:36,3,Alec Sjöholm,526,Rasheed Balogun,359
11/13/2023 11:47:06,3,Chris Sjöholm,364,Ruth Hamilton,322
11/13/2023 11:50:41,3,Chris Lipe,464,Travis Chaney,365
11/13/2023 11:57:42,3,Andrea Hatch,436,Gary Smart,404
11/13/2023 12:01:01,3,Randi Goldberg,520,Betty Cornelison,353
11/13/2023 12:09:31,3,Eric Fox,464,Walker Willingham,371
11/13/2023 12:10:26,3,Rob Robinsky,528,Joel Wapnick,460
11/13/2023 12:14:31,3,John Karris,469,Peter Armstrong,393
11/13/2023 12:15:01,3,Christopher Grubb,453,Noel Livermore,429
11/13/2023 13:50:31,4,Travis Chaney,499,Eric Fox,350
11/13/2023 13:56:44,4,Chris Lipe,460,Alec Sjöholm,438
11/13/2023 14:00:56,4,Rob Robinsky,528,Noel Livermore,363
11/13/2023 14:05:31,4,Walker Willingham,442,Betty Cornelison,379
11/13/2023 14:05:40,4,Rasheed Balogun,632,John Karris,505
11/13/2023 14:08:27,4,Christopher Grubb,533,Joel Wapnick,384
11/13/2023 14:08:53,4,Ruth Hamilton,431,Andrea Hatch,390
11/13/2023 14:10:04,4,Chris Sjöholm,399,Gary Smart,327
11/13/2023 14:11:07,4,Peter Armstrong,489,Randi Goldberg,480
11/13/2023 14:52:03,5,Rob Robinsky,416,Chris Sjöholm,357
11/13/2023 14:54:53,5,Ruth Hamilton,453,Betty Cornelison,272
11/13/2023 14:57:04,5,Rasheed Balogun,443,Noel Livermore,348
11/13/2023 14:58:44,5,John Karris,392,Gary Smart,380
11/13/2023 14:59:38,5,Travis Chaney,351,Peter Armstrong,302
11/13/2023 15:00:39,5,Walker Willingham,379,Andrea Hatch,355
11/13/2023 15:05:14,5,Chris Lipe,499,Christopher Grubb,480
11/13/2023 15:09:19,5,Joel Wapnick,392,Alec Sjöholm,377
11/13/2023 15:13:08,5,Eric Fox,489,Randi Goldberg,371
11/13/2023 15:39:27,6,Rasheed Balogun,530,Chris Sjöholm,314
11/13/2023 15:45:30,6,Alec Sjöholm,539,Christopher Grubb,382
11/13/2023 15:52:12,6,Gary Smart,453,Eric Fox,362
11/13/2023 15:56:32,6,Noel Livermore,492,Peter Armstrong,393
11/13/2023 15:58:24,6,Betty Cornelison,391,Andrea Hatch,358
11/13/2023 15:58:52,6,Joel Wapnick,492,Travis Chaney,398
11/13/2023 16:01:20,6,Walker Willingham,411,Ruth Hamilton,383
11/13/2023 16:06:43,6,John Karris,434,Randi Goldberg,430
11/13/2023 16:07:48,6,Chris Lipe,434,Rob Robinsky,373
