Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
11/10/2023 9:37:11,1,Alec Sjöholm,450,Travis Chaney,420
11/10/2023 9:45:04,1,Christopher Grubb,470,Mohammad Sulaiman,426
11/10/2023 9:51:07,1,Austin Shin,458,Sandy Nang,420
11/10/2023 9:53:09,1,Dave Wiegand,499,Puneet Sharma,409
11/10/2023 9:53:22,1,Peter Armstrong,507,Becky Dyer,408
11/10/2023 9:53:31,1,David Whitley,480,John O'Laughlin,336
11/10/2023 9:56:49,1,Kolton Koehler,433,Scott Jackson,355
11/10/2023 10:01:18,1,Joel Wapnick,394,Chris Lipe,374
11/10/2023 10:01:43,1,Kevin Fraley,485,Rob Robinsky,428
11/10/2023 10:03:38,1,Quinn James,422,Randi Goldberg,361
11/10/2023 10:39:48,2,David Whitley,451,Travis Chaney,403
11/10/2023 10:46:00,2,Rasheed Balogun,547,Christopher Grubb,286
11/10/2023 10:51:35,2,Sandy Nang,417,Peter Armstrong,408
11/10/2023 10:53:17,2,Alec Sjöholm,474,John O'Laughlin,469
11/10/2023 10:53:54,2,Dave Wiegand,472,Scott Jackson,376
11/10/2023 10:55:07,2,Austin Shin,451,Becky Dyer,427
11/10/2023 10:56:46,2,Joel Wapnick,431,Quinn James,426
11/10/2023 10:57:44,2,Kolton Koehler,393,Puneet Sharma,386
11/10/2023 10:58:55,2,Rob Robinsky,590,Mohammad Sulaiman,307
11/10/2023 10:59:52,2,Kevin Fraley,446,Brad Whitmarsh,419
11/10/2023 11:03:09,2,Chris Lipe,517,Randi Goldberg,308
11/10/2023 11:34:27,3,John O'Laughlin,516,Travis Chaney,382
11/10/2023 11:38:59,3,Dave Wiegand,494,Kolton Koehler,329
11/10/2023 11:48:34,3,Becky Dyer,427,Sandy Nang,408
11/10/2023 11:56:10,3,Alec Sjöholm,457,David Whitley,456
11/10/2023 11:57:33,3,Rasheed Balogun,456,Kevin Fraley,416
11/10/2023 11:57:48,3,Chris Lipe,433,Quinn James,361
11/10/2023 11:58:13,3,Scott Jackson,509,Puneet Sharma,420
11/10/2023 12:00:21,3,Peter Armstrong,524,Austin Shin,417
11/10/2023 12:01:47,3,Joel Wapnick,586,Randi Goldberg,395
11/10/2023 12:05:53,3,Rob Robinsky,501,Christopher Grubb,380
11/10/2023 12:08:58,3,Brad Whitmarsh,455,Mohammad Sulaiman,384
11/10/2023 12:46:30,4,Dave Wiegand,509,David Whitley,341
11/10/2023 12:48:43,4,Kolton Koehler,530,Kevin Fraley,368
11/10/2023 12:51:40,4,Travis Chaney,455,Christopher Grubb,338
11/10/2023 12:52:20,4,Austin Shin,519,Alec Sjöholm,417
11/10/2023 12:55:14,4,Brad Whitmarsh,436,Sandy Nang,379
11/10/2023 12:55:48,4,Puneet Sharma,472,Becky Dyer,355
11/10/2023 12:56:33,4,Peter Armstrong,512,Quinn James,410
11/10/2023 12:57:06,4,Rasheed Balogun,456,Chris Lipe,429
11/10/2023 13:03:36,4,Rob Robinsky,483,Joel Wapnick,395
11/10/2023 13:06:32,4,John O'Laughlin,516,Scott Jackson,355
11/10/2023 13:13:03,4,Mohammad Sulaiman,389,Randi Goldberg,377
11/10/2023 13:43:01,1,Brad Whitmarsh,569,Rasheed Balogun,412
11/10/2023 15:03:32,5,Sandy Nang,579,Travis Chaney,291
11/10/2023 15:15:08,5,Joel Wapnick,514,Rasheed Balogun,434
11/10/2023 15:16:04,5,Alec Sjöholm,462,Chris Lipe,369
11/10/2023 15:26:00,5,Kevin Fraley,534,David Whitley,336
11/10/2023 15:27:08,5,Christopher Grubb,447,Randi Goldberg,249
11/10/2023 15:27:48,5,Austin Shin,435,Kolton Koehler,381
11/10/2023 15:28:07,5,Quinn James,425,Becky Dyer,397
11/10/2023 15:28:41,5,Rob Robinsky,453,Dave Wiegand,443
11/10/2023 15:29:18,5,Brad Whitmarsh,463,Peter Armstrong,399
11/10/2023 15:29:42,5,Scott Jackson,501,Mohammad Sulaiman,355
11/10/2023 15:32:50,5,Puneet Sharma,528,John O'Laughlin,431
11/10/2023 16:06:48,6,Christopher Grubb,603,Sandy Nang,199
