Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
11/13/2023 9:45:19,Semifinal,Kevin Schutz,401,Vera Bigall,400
11/13/2023 9:52:11,Semifinal,Lindsay Shin,483,Ayotunde Adeyeri,407
11/13/2023 10:26:13,Semifinal,Vera Bigall,401,Kevin Schutz,266
11/13/2023 10:40:50,Semifinal,Ayotunde Adeyeri,356,Lindsay Shin,348
11/13/2023 11:09:31,Semifinal,Kevin Schutz,445,Vera Bigall,339
11/13/2023 11:30:25,Semifinal,Ayotunde Adeyeri,428,Lindsay Shin,395
11/13/2023 14:00:50,Final,Ayotunde Adeyeri,384,Kevin Schutz,328
11/13/2023 14:04:28,Third Place Match,Lindsay Shin,400,Vera Bigall,369
11/13/2023 14:43:02,Third Place Match,Lindsay Shin,495,Vera Bigall,373
11/13/2023 14:50:26,Final,Kevin Schutz,459,Ayotunde Adeyeri,451
11/13/2023 15:22:40,Final,Kevin Schutz,502,Ayotunde Adeyeri,311
