Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
44940.35177,1,Kaia,422,Jeremy Jeffers,330
44940.35188,1,Emily Brodeur,460,Lila Crotty,421
44940.35334,1,Jeannie Wilson,418,Wajid Iqbal,328
44940.35436,1,Ruth Hamilton,490,Cheryl Melvin,347
44940.35655,1,Guy Ingram,368,Paula Catanese,337
44940.35677,1,Lola McKissen,441,Nitya Chagti,322
44940.36285,1,Andrea Hatch,479,Ayotunde Adeyeri,403
44940.38431,2,Lola McKissen,432,Emily Brodeur,357
44940.38841,2,Wajid Iqbal,420,Jeremy Jeffers,379
44940.39472,2,Nitya Chagti,432,Kaia,417
44940.40021,2,Ayotunde Adeyeri,427,Cheryl Melvin,366
44940.40317,2,Guy Ingram,441,Ruth Hamilton,363
44940.40368,2,Andrea Hatch,443,Jeannie Wilson,323
44940.4052,2,Paula Catanese,410,Lila Crotty,384
44940.42985,3,Kaia,398,Emily Brodeur,380
44940.43491,3,Wajid Iqbal,432,Nitya Chagti,326
44940.4391,3,Lila Crotty,460,Ruth Hamilton,381
44940.44385,3,Jeremy Jeffers,435,Andrea Hatch,354
44940.44397,3,Lola McKissen,468,Paula Catanese,368
44940.44708,3,Guy Ingram,424,Cheryl Melvin,417
44940.44872,3,Ayotunde Adeyeri,347,Jeannie Wilson,338
44940.46434,4,Wajid Iqbal,466,Emily Brodeur,356
44940.47597,4,Lola McKissen,501,Ruth Hamilton,348
44940.47803,4,Kaia,435,Paula Catanese,376
44940.48524,4,Lila Crotty,390,Cheryl Melvin,372
44940.48747,4,Ayotunde Adeyeri,420,Guy Ingram,390
44940.48807,4,Jeremy Jeffers,466,Jeannie Wilson,368
44940.49,4,Nitya Chagti,459,Andrea Hatch,433
44940.57115,5,Emily Brodeur,391,Andrea Hatch,326
44940.57272,5,Guy Ingram,453,Lila Crotty,345
44940.57623,5,Ruth Hamilton,425,Kaia,382
44940.57731,5,Lola McKissen,374,Cheryl Melvin,368
44940.57837,5,Wajid Iqbal,453,Paula Catanese,334
44940.5834,5,Jeremy Jeffers,352,Ayotunde Adeyeri,351
