Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
01/18/25 08:15 AM,1,Terry Kang,510,Carolyn Atchison,275
01/18/25 08:24 AM,1,Jeremy Jeffers,421,Cornelia Guest,392
01/18/25 08:26 AM,1,Eric Fox,485,Nancy Bowen,397
01/18/25 08:27 AM,1,Paula Catanese,429,Gerianne Abriano,384
01/18/25 08:27 AM,1,Gary Smart,427,Guy Ingram,382
01/18/25 08:29 AM,1,Wajid Iqbal,456,Betsey Wood,283
01/18/25 08:29 AM,1,Lila Crotty,418,Emily Brodeur,285
01/18/25 08:29 AM,1,Ayotunde Adeyeri,446,Beth Leech,356
01/18/25 08:30 AM,1,Cheryl Melvin,439,Jane Geary,271
01/18/25 08:32 AM,1,Carson Ip,551,Mary Pastore,349
01/18/25 08:34 AM,1,Jeannie Wilson,400,Jennifer Clinchy,381
01/18/25 08:35 AM,1,Ethan Joseph,432,Andrea Hatch,375
01/18/25 08:39 AM,1,Elise Bickford,574,Julia Swaney,274
01/18/25 08:43 AM,1,Emmanuel Egbele,447,Ather Sharif,384
01/18/25 09:11 AM,2,Gerianne Abriano,447,Carolyn Atchison,328
01/18/25 09:20 AM,2,Ayotunde Adeyeri,571,Cornelia Guest,387
01/18/25 09:20 AM,2,Wajid Iqbal,473,Cheryl Melvin,307
01/18/25 09:25 AM,2,Terry Kang,418,Paula Catanese,410
01/18/25 09:25 AM,2,Beth Leech,394,Jeremy Jeffers,333
01/18/25 09:25 AM,2,Emily Brodeur,397,Julia Swaney,340
01/18/25 09:33 AM,2,Jeannie Wilson,474,Carson Ip,373
01/18/25 09:34 AM,2,Nancy Bowen,617,Ethan Joseph,381
01/18/25 09:34 AM,2,Jane Geary,417,Betsey Wood,282
01/18/25 09:37 AM,2,Gary Smart,463,Ather Sharif,414
01/18/25 09:37 AM,2,Andrea Hatch,424,Eric Fox,417
01/18/25 09:37 AM,2,Jennifer Clinchy,453,Mary Pastore,366
01/18/25 09:43 AM,2,Guy Ingram,368,Emmanuel Egbele,339
01/18/25 09:44 AM,2,Elise Bickford,479,Lila Crotty,330
01/18/25 10:10 AM,3,Terry Kang,384,Gerianne Abriano,304
01/18/25 10:11 AM,3,Paula Catanese,408,Carolyn Atchison,352
01/18/25 10:16 AM,3,Beth Leech,421,Cornelia Guest,340
01/18/25 10:26 AM,3,Wajid Iqbal,476,Jane Geary,365
01/18/25 10:27 AM,3,Ethan Joseph,481,Eric Fox,359
01/18/25 10:32 AM,3,Emmanuel Egbele,470,Gary Smart,339
01/18/25 10:32 AM,3,Betsey Wood,434,Cheryl Melvin,343
