"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
"01/17/26 08:16 AM",1,"Adebola Sanya",486,"Jemmy Pierre-Louis",330
"01/17/26 08:19 AM",1,"Nitya Chagti",605,"Jane Geary",283
"01/17/26 08:26 AM",1,"Nancy Bowen",477,"Carolyn Atchison",319
"01/17/26 08:28 AM",1,"Melissa Routzahn",557,"Jeannie Wilson",283
"01/17/26 08:28 AM",1,"Walker Willingham",450,"Joe Roberdeau",303
"01/17/26 08:29 AM",1,"Jeremy Jeffers",357,"Pamina Deutsch",320
"01/17/26 08:33 AM",1,"Jennifer Clinchy",445,"Mary Stevens",364
"01/17/26 08:37 AM",1,"Paula Catanese",446,"Ayodele Odekunle",425
"01/17/26 08:38 AM",1,"Andrea Hatch",381,"Lila Crotty",355
"01/17/26 09:19 AM",2,"Adebola Sanya",565,"Mary Stevens",393
"01/17/26 09:24 AM",2,"Nancy Bowen",479,"Jane Geary",308
"01/17/26 09:26 AM",2,"Jeannie Wilson",479,"Jemmy Pierre-Louis",276
"01/17/26 09:27 AM",2,"Nitya Chagti",490,"Pamina Deutsch",406
"01/17/26 09:30 AM",2,"Lila Crotty",448,"Joe Roberdeau",445
"01/17/26 09:30 AM",2,"Jennifer Clinchy",441,"Carolyn Atchison",411
"01/17/26 09:33 AM",2,"Melissa Routzahn",489,"Andrea Hatch",306
"01/17/26 09:33 AM",2,"Jeremy Jeffers",341,"Ayodele Odekunle",305
"01/17/26 09:34 AM",2,"Walker Willingham",429,"Paula Catanese",341
"01/17/26 10:19 AM",3,"Adebola Sanya",541,"Jeannie Wilson",353
"01/17/26 10:24 AM",3,"Joe Roberdeau",457,"Melissa Routzahn",390
"01/17/26 10:26 AM",3,"Andrea Hatch",390,"Jemmy Pierre-Louis",352
"01/17/26 10:32 AM",3,"Pamina Deutsch",462,"Nancy Bowen",303
"01/17/26 10:32 AM",3,"Jane Geary",509,"Jennifer Clinchy",423
"01/17/26 10:33 AM",3,"Nitya Chagti",528,"Ayodele Odekunle",333
"01/17/26 10:36 AM",3,"Lila Crotty",413,"Paula Catanese",329
"01/17/26 10:40 AM",3,"Carolyn Atchison",417,"Mary Stevens",412
"01/17/26 10:42 AM",3,"Walker Willingham",510,"Jeremy Jeffers",322
"01/17/26 11:17 AM",4,"Joe Roberdeau",527,"Jemmy Pierre-Louis",313
"01/17/26 11:22 AM",4,"Adebola Sanya",480,"Carolyn Atchison",340
"01/17/26 11:27 AM",4,"Jeannie Wilson",398,"Andrea Hatch",345
"01/17/26 11:32 AM",4,"Jennifer Clinchy",409,"Pamina Deutsch",386
"01/17/26 11:34 AM",4,"Nitya Chagti",523,"Walker Willingham",254
"01/17/26 11:34 AM",4,"Melissa Routzahn",454,"Paula Catanese",320
"01/17/26 11:35 AM",4,"Jane Geary",407,"Mary Stevens",375
"01/17/26 11:37 AM",4,"Ayodele Odekunle",425,"Nancy Bowen",423
"01/17/26 11:40 AM",4,"Jeremy Jeffers",393,"Lila Crotty",379
"01/17/26 01:33 PM",5,"Adebola Sanya",513,"Andrea Hatch",305
"01/17/26 01:45 PM",5,"Nitya Chagti",541,"Lila Crotty",311
"01/17/26 01:46 PM",5,"Jeannie Wilson",458,"Joe Roberdeau",349
"01/17/26 01:48 PM",5,"Pamina Deutsch",394,"Mary Stevens",315
"01/17/26 01:49 PM",5,"Melissa Routzahn",432,"Jeremy Jeffers",277
"01/17/26 01:50 PM",5,"Paula Catanese",454,"Jemmy Pierre-Louis",346
"01/17/26 01:53 PM",5,"Ayodele Odekunle",394,"Jennifer Clinchy",367
"01/17/26 01:54 PM",5,"Jane Geary",444,"Carolyn Atchison",331
"01/17/26 02:04 PM",5,"Walker Willingham",426,"Nancy Bowen",425
"01/17/26 02:35 PM",6,"Joe Roberdeau",420,"Andrea Hatch",352
"01/17/26 02:41 PM",6,"Jeremy Jeffers",413,"Jemmy Pierre-Louis",291
"01/17/26 02:42 PM",6,"Ayodele Odekunle",521,"Mary Stevens",342
"01/17/26 02:44 PM",6,"Pamina Deutsch",431,"Carolyn Atchison",366
"01/17/26 02:44 PM",6,"Adebola Sanya",436,"Jane Geary",407
"01/17/26 02:49 PM",6,"Nitya Chagti",469,"Melissa Routzahn",352
"01/17/26 02:51 PM",6,"Paula Catanese",501,"Jeannie Wilson",338
"01/17/26 02:54 PM",6,"Walker Willingham",432,"Jennifer Clinchy",380
"01/17/26 02:57 PM",6,"Nancy Bowen",410,"Lila Crotty",311
"01/17/26 03:22 PM",7,"Adebola Sanya",450,"Joe Roberdeau",296
"01/17/26 03:33 PM",7,"Ayodele Odekunle",511,"Carolyn Atchison",241
"01/17/26 03:44 PM",7,"Pamina Deutsch",387,"Jane Geary",348
"01/17/26 03:44 PM",7,"Jeremy Jeffers",492,"Jeannie Wilson",318
"01/17/26 03:47 PM",7,"Jennifer Clinchy",424,"Lila Crotty",339
"01/17/26 03:49 PM",7,"Mary Stevens",412,"Walker Willingham",410
"01/17/26 03:50 PM",7,"Melissa Routzahn",492,"Nancy Bowen",342
"01/17/26 03:51 PM",7,"Paula Catanese",398,"Andrea Hatch",357
"01/17/26 03:52 PM",7,"Nitya Chagti",555,"Jemmy Pierre-Louis",254
"01/17/26 04:27 PM",8,"Adebola Sanya",611,"Pamina Deutsch",226
"01/17/26 04:27 PM",8,"Ayodele Odekunle",396,"Jane Geary",347
"01/17/26 04:38 PM",8,"Walker Willingham",531,"Carolyn Atchison",413
"01/17/26 04:43 PM",8,"Jeremy Jeffers",480,"Andrea Hatch",358
"01/17/26 04:45 PM",8,"Nancy Bowen",427,"Jemmy Pierre-Louis",322
"01/17/26 04:46 PM",8,"Joe Roberdeau",496,"Paula Catanese",437
"01/17/26 04:47 PM",8,"Melissa Routzahn",433,"Jennifer Clinchy",351
"01/17/26 04:47 PM",8,"Mary Stevens",394,"Lila Crotty",379
"01/17/26 04:48 PM",8,"Nitya Chagti",509,"Jeannie Wilson",331
"01/18/26 08:16 AM",9,"Joe Roberdeau",393,"Jeremy Jeffers",366
"01/18/26 08:18 AM",9,"Nancy Bowen",482,"Jeannie Wilson",355
"01/18/26 08:18 AM",9,"Lila Crotty",515,"Carolyn Atchison",337
"01/18/26 08:19 AM",9,"Paula Catanese",448,"Adebola Sanya",381
"01/18/26 08:20 AM",9,"Ayodele Odekunle",465,"Pamina Deutsch",417
"01/18/26 08:26 AM",9,"Walker Willingham",374,"Jane Geary",341
"01/18/26 08:27 AM",9,"Nitya Chagti",446,"Andrea Hatch",377
"01/18/26 08:27 AM",9,"Melissa Routzahn",428,"Mary Stevens",317
