Name,Rating
Dave Wiegand,2055
Joshua Castellano,2030
Ben Schoenbrun,1995
Evans Clinchy,1916
Rob Robinsky,1893
Kevin Fraley,1877
Peter Armstrong,1875
Joel Wapnick,1872
Austin Shin,1867
Brad Whitmarsh,1851
Josh Sokol,1825
Rasheed Balogun,1808
Sammy Okosagah,1808
Chris Lipe,1799
Tim Weiss,1797
Dean Saldanha,1732
Mohammad Sulaiman,1730
Winter,1728
Robert Linn,1705
Becky Dyer,1634
Chris Cheng,1602
Yukiko Loritz,1601
Puneet Sharma,1595
Kyle Fellahi,1590
Jason Ubeika,1568
Randi Goldberg,1470
Niel Gan,1383
Cooper Komatsu,0
