Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
01/18/25 08:21 AM,1,Ben Schoenbrun,568,Kyle Fellahi,405
01/18/25 08:30 AM,1,Brad Whitmarsh,480,Mohammad Sulaiman,378
01/18/25 08:30 AM,1,Rasheed Balogun,504,Robert Linn,457
01/18/25 08:31 AM,1,Becky Dyer,392,Sammy Okosagah,376
01/18/25 08:36 AM,1,Chris Lipe,525,Chris Cheng,360
01/18/25 08:37 AM,1,Cooper Komatsu,447,Peter Armstrong,414
01/18/25 08:37 AM,1,Dave Wiegand,475,Yukiko Loritz,397
01/18/25 08:38 AM,1,Randi Goldberg,503,Rob Robinsky,432
01/18/25 08:38 AM,1,Austin Shin,620,Dean Saldanha,362
01/18/25 08:41 AM,1,Evans Clinchy,474,Jason Ubeika,396
01/18/25 08:42 AM,1,Kevin Fraley,507,Niel Gan,500
01/18/25 08:42 AM,1,Winter,457,Josh Sokol,399
01/18/25 08:44 AM,1,Tim Weiss,513,Joel Wapnick,396
01/18/25 08:45 AM,1,Joshua Castellano,520,Puneet Sharma,395
01/18/25 09:23 AM,2,Ben Schoenbrun,505,Mohammad Sulaiman,402
01/18/25 09:26 AM,2,Rasheed Balogun,546,Randi Goldberg,314
01/18/25 09:26 AM,2,Brad Whitmarsh,494,Kyle Fellahi,304
01/18/25 09:30 AM,2,Niel Gan,471,Sammy Okosagah,348
01/18/25 09:30 AM,2,Kevin Fraley,436,Becky Dyer,425
01/18/25 09:32 AM,2,Chris Lipe,597,Cooper Komatsu,366
01/18/25 09:33 AM,2,Rob Robinsky,530,Robert Linn,340
01/18/25 09:36 AM,2,Evans Clinchy,417,Winter,293
01/18/25 09:37 AM,2,Peter Armstrong,488,Chris Cheng,424
01/18/25 09:38 AM,2,Josh Sokol,469,Jason Ubeika,342
01/18/25 09:39 AM,2,Dave Wiegand,437,Tim Weiss,423
01/18/25 09:40 AM,2,Joel Wapnick,458,Yukiko Loritz,354
01/18/25 09:50 AM,2,Joshua Castellano,432,Dean Saldanha,346
01/18/25 09:51 AM,2,Puneet Sharma,479,Austin Shin,439
01/18/25 10:15 AM,3,Mohammad Sulaiman,420,Kyle Fellahi,347
01/18/25 10:15 AM,3,Kevin Fraley,565,Sammy Okosagah,431
01/18/25 10:19 AM,3,Robert Linn,556,Randi Goldberg,282
01/18/25 10:24 AM,3,Niel Gan,438,Becky Dyer,419
01/18/25 10:29 AM,3,Josh Sokol,587,Evans Clinchy,429
01/18/25 10:30 AM,3,Rob Robinsky,426,Rasheed Balogun,419
01/18/25 10:32 AM,3,Ben Schoenbrun,482,Brad Whitmarsh,427
01/18/25 10:33 AM,3,Jason Ubeika,585,Winter,387
01/18/25 10:34 AM,3,Cooper Komatsu,546,Chris Cheng,326
01/18/25 10:35 AM,3,Peter Armstrong,481,Chris Lipe,470
01/18/25 10:37 AM,3,Yukiko Loritz,444,Tim Weiss,358
01/18/25 10:42 AM,3,Dave Wiegand,521,Joel Wapnick,439
01/18/25 10:50 AM,3,Joshua Castellano,452,Austin Shin,387
01/18/25 10:59 AM,3,Dean Saldanha,485,Puneet Sharma,283
01/18/25 11:24 AM,4,Jason Ubeika,502,Mohammad Sulaiman,482
01/18/25 11:31 AM,4,Niel Gan,418,Tim Weiss,344
01/18/25 11:33 AM,4,Rasheed Balogun,430,Ben Schoenbrun,402
01/18/25 11:36 AM,4,Sammy Okosagah,496,Yukiko Loritz,401
01/18/25 11:38 AM,4,Brad Whitmarsh,460,Chris Lipe,386
01/18/25 11:39 AM,4,Kevin Fraley,453,Dave Wiegand,440
01/18/25 11:39 AM,4,Cooper Komatsu,443,Randi Goldberg,425
01/18/25 11:40 AM,4,Josh Sokol,496,Peter Armstrong,343
