"Name","Rating"
"Dave Wiegand",2058
"Thomas Reinke",2053
"Austin Shin",2028
"Joshua Castellano",2004
"Eta Karo",1988
"Matthew O'Connor",1955
"Ben Schoenbrun",1954
"Evans Clinchy",1916
"Geoff Thevenot",1902
"Josh Sokol",1885
"Charles Reinke",1873
"Erickson Smith",1831
"Chris Lipe",1829
"Kevin Fraley",1769
"Scott Jackson",1764
"Rob Robinsky",1731
"Puneet Sharma",1716
"Tim Weiss",1706
"Ekansh Arora",1681
"Mohammad Sulaiman",1680
"Jason Ubeika",1600
"Sandy Nang",1557
"Greg Harper",1430
"Randi Goldberg",1372
