"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
04/11/26 07:48 AM,1,"Sam Rosin",512,"Jean-Louis Guill",330
04/11/26 07:59 AM,1,"Rob Robinsky",544,"Kaia",427
04/11/26 07:59 AM,1,"Sammy Okosagah",443,"Joshua Castellano",418
04/11/26 08:02 AM,1,"Carson Ip",408,"Nitya Chagti",361
04/11/26 08:02 AM,1,"Osikhena Ojior",405,"Barry Keith",397
04/11/26 08:07 AM,1,"Tim Weiss",432,"Zachary Dang",428
04/11/26 08:50 AM,2,"Joshua Castellano",399,"Jean-Louis Guill",321
04/11/26 08:52 AM,2,"Sammy Okosagah",579,"Kaia",370
04/11/26 08:55 AM,2,"Carson Ip",408,"Tim Weiss",354
04/11/26 08:59 AM,2,"Nitya Chagti",581,"Osikhena Ojior",372
04/11/26 08:59 AM,2,"Rob Robinsky",409,"Barry Keith",391
04/11/26 09:00 AM,2,"Sam Rosin",527,"Zachary Dang",483
04/11/26 09:26 AM,3,"Jean-Louis Guill",472,"Kaia",437
04/11/26 09:42 AM,3,"Tim Weiss",563,"Osikhena Ojior",356
04/11/26 09:48 AM,3,"Sam Rosin",492,"Carson Ip",366
04/11/26 09:50 AM,3,"Barry Keith",418,"Sammy Okosagah",373
04/11/26 09:55 AM,3,"Nitya Chagti",462,"Rob Robinsky",432
04/11/26 10:05 AM,3,"Joshua Castellano",482,"Zachary Dang",414
04/11/26 11:13 AM,4,"Sam Rosin",571,"Osikhena Ojior",278
04/11/26 11:13 AM,4,"Barry Keith",428,"Jean-Louis Guill",425
04/11/26 11:21 AM,4,"Zachary Dang",444,"Kaia",434
04/11/26 11:24 AM,4,"Nitya Chagti",523,"Sammy Okosagah",380
04/11/26 11:29 AM,4,"Tim Weiss",466,"Rob Robinsky",436
04/11/26 11:31 AM,4,"Joshua Castellano",493,"Carson Ip",366
04/11/26 12:11 PM,5,"Kaia",455,"Carson Ip",363
04/11/26 12:16 PM,5,"Rob Robinsky",500,"Sam Rosin",397
04/11/26 12:17 PM,5,"Joshua Castellano",533,"Osikhena Ojior",436
04/11/26 12:18 PM,5,"Nitya Chagti",441,"Jean-Louis Guill",371
04/11/26 12:22 PM,5,"Sammy Okosagah",425,"Tim Weiss",404
04/11/26 12:25 PM,5,"Zachary Dang",558,"Barry Keith",327
04/11/26 01:00 PM,6,"Osikhena Ojior",448,"Kaia",417
04/11/26 01:13 PM,6,"Carson Ip",446,"Barry Keith",408
04/11/26 01:16 PM,6,"Tim Weiss",463,"Jean-Louis Guill",335
04/11/26 01:20 PM,6,"Sam Rosin",488,"Sammy Okosagah",443
04/11/26 01:22 PM,6,"Joshua Castellano",444,"Rob Robinsky",438
04/11/26 01:27 PM,6,"Zachary Dang",496,"Nitya Chagti",355
04/11/26 02:10 PM,7,"Barry Keith",439,"Kaia",359
04/11/26 02:14 PM,7,"Tim Weiss",500,"Sam Rosin",389
04/11/26 02:16 PM,7,"Osikhena Ojior",469,"Jean-Louis Guill",327
04/11/26 02:16 PM,7,"Carson Ip",456,"Rob Robinsky",386
04/11/26 02:19 PM,7,"Zachary Dang",489,"Sammy Okosagah",463
04/11/26 02:27 PM,7,"Joshua Castellano",565,"Nitya Chagti",323
04/11/26 03:16 PM,8,"Rob Robinsky",430,"Sammy Okosagah",430
04/11/26 03:18 PM,8,"Joshua Castellano",512,"Sam Rosin",468
04/11/26 03:19 PM,8,"Barry Keith",457,"Osikhena Ojior",328
04/11/26 03:20 PM,8,"Kaia",431,"Jean-Louis Guill",381
04/11/26 03:23 PM,8,"Carson Ip",416,"Nitya Chagti",332
04/11/26 03:25 PM,8,"Tim Weiss",476,"Zachary Dang",388
