"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
02/07/26 08:28 AM,1,"Joshua Castellano",443,"Jean-Louis Guill",434
02/07/26 08:39 AM,1,"Zachary Dang",503,"Marty Gold",380
02/07/26 08:46 AM,1,"Rob Robinsky",508,"Ather Sharif",286
02/07/26 09:44 AM,2,"Marty Gold",452,"Jean-Louis Guill",405
02/07/26 09:49 AM,2,"Rob Robinsky",529,"Zachary Dang",401
02/07/26 09:58 AM,2,"Joshua Castellano",456,"Ather Sharif",414
02/07/26 11:05 AM,3,"Rob Robinsky",512,"Jean-Louis Guill",324
02/07/26 11:12 AM,3,"Joshua Castellano",458,"Marty Gold",351
02/07/26 11:36 AM,3,"Zachary Dang",397,"Ather Sharif",393
02/07/26 12:01 PM,4,"Rob Robinsky",404,"Marty Gold",386
02/07/26 12:30 PM,4,"Ather Sharif",479,"Jean-Louis Guill",419
02/07/26 12:34 PM,4,"Zachary Dang",423,"Joshua Castellano",360
02/07/26 01:23 PM,5,"Joshua Castellano",453,"Rob Robinsky",387
02/07/26 01:30 PM,5,"Zachary Dang",484,"Jean-Louis Guill",326
02/07/26 01:34 PM,5,"Ather Sharif",389,"Marty Gold",373
02/07/26 02:24 PM,6,"Jean-Louis Guill",496,"Marty Gold",442
02/07/26 02:28 PM,6,"Zachary Dang",527,"Rob Robinsky",354
02/07/26 02:45 PM,6,"Ather Sharif",482,"Joshua Castellano",449
02/07/26 03:34 PM,7,"Jean-Louis Guill",530,"Marty Gold",430
02/07/26 03:52 PM,7,"Rob Robinsky",530,"Ather Sharif",405
02/07/26 03:57 PM,7,"Joshua Castellano",481,"Zachary Dang",391
02/07/26 04:50 PM,8,"Jean-Louis Guill",472,"Ather Sharif",327
02/07/26 04:54 PM,8,"Marty Gold",419,"Joshua Castellano",332
02/07/26 04:55 PM,8,"Rob Robinsky",500,"Zachary Dang",409
