"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
06/22/25 09:03 AM,1,"Joshua Castellano",495,"Sam Rosin",435
06/22/25 09:07 AM,1,"Rob Robinsky",459,"Jean-Louis Guill",341
06/22/25 09:10 AM,1,"Zachary Dang",508,"Nitya Chagti",369
06/22/25 09:15 AM,1,"Robert Linn",507,"Ather Sharif",307
06/22/25 10:05 AM,2,"Sam Rosin",581,"Jean-Louis Guill",311
06/22/25 10:07 AM,2,"Robert Linn",516,"Zachary Dang",332
06/22/25 10:11 AM,2,"Rob Robinsky",534,"Nitya Chagti",450
06/22/25 10:33 AM,2,"Joshua Castellano",418,"Ather Sharif",316
06/22/25 11:06 AM,3,"Sam Rosin",418,"Nitya Chagti",365
06/22/25 11:09 AM,3,"Rob Robinsky",482,"Robert Linn",479
06/22/25 11:26 AM,3,"Joshua Castellano",649,"Zachary Dang",281
06/22/25 11:46 AM,3,"Ather Sharif",488,"Jean-Louis Guill",331
06/22/25 12:36 PM,4,"Zachary Dang",504,"Jean-Louis Guill",348
06/22/25 12:37 PM,4,"Rob Robinsky",496,"Joshua Castellano",446
06/22/25 12:42 PM,4,"Robert Linn",486,"Sam Rosin",381
06/22/25 01:01 PM,4,"Nitya Chagti",449,"Ather Sharif",443
06/22/25 01:46 PM,5,"Nitya Chagti",401,"Jean-Louis Guill",327
06/22/25 01:57 PM,5,"Joshua Castellano",463,"Robert Linn",411
06/22/25 01:59 PM,5,"Rob Robinsky",432,"Sam Rosin",415
06/22/25 02:08 PM,5,"Zachary Dang",486,"Ather Sharif",339
06/22/25 02:57 PM,6,"Joshua Castellano",532,"Rob Robinsky",343
06/22/25 02:59 PM,6,"Sam Rosin",526,"Nitya Chagti",310
06/22/25 03:03 PM,6,"Zachary Dang",448,"Robert Linn",441
06/22/25 03:12 PM,6,"Ather Sharif",438,"Jean-Louis Guill",376
