"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
03/07/26 07:50 AM,1,"Rob Robinsky",429,"Zachary Dang",310
03/07/26 08:03 AM,1,"Joshua Castellano",591,"Ather Sharif",407
03/07/26 08:44 AM,2,"Rob Robinsky",515,"Zachary Dang",419
03/07/26 09:06 AM,2,"Joshua Castellano",394,"Ather Sharif",361
03/07/26 09:51 AM,3,"Rob Robinsky",481,"Zachary Dang",324
03/07/26 10:19 AM,3,"Joshua Castellano",476,"Ather Sharif",379
03/07/26 11:50 AM,4,"Rob Robinsky",549,"Ather Sharif",380
03/07/26 11:52 AM,4,"Joshua Castellano",522,"Zachary Dang",410
03/07/26 12:57 PM,5,"Joshua Castellano",484,"Zachary Dang",392
03/07/26 01:01 PM,5,"Rob Robinsky",533,"Ather Sharif",299
03/07/26 02:03 PM,6,"Rob Robinsky",477,"Ather Sharif",357
03/07/26 02:10 PM,6,"Joshua Castellano",488,"Zachary Dang",442
03/07/26 03:25 PM,7,"Joshua Castellano",465,"Rob Robinsky",421
03/07/26 03:36 PM,7,"Zachary Dang",349,"Ather Sharif",335
03/07/26 04:38 PM,8,"Rob Robinsky",469,"Joshua Castellano",361
03/07/26 04:43 PM,8,"Zachary Dang",499,"Ather Sharif",396
03/07/26 05:48 PM,9,"Joshua Castellano",446,"Rob Robinsky",418
03/07/26 05:55 PM,9,"Ather Sharif",491,"Zachary Dang",454
