Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
44688.40839,1,Alec Sjöholm,498,Lola McKissen,351
44688.41235,1,Evans Clinchy,436,Ruth Hamilton,416
44688.41334,1,Dave Wiegand,415,Betty Cornelison,350
44688.41752,1,KC Frodyma,410,David Whitley,396
44688.41992,1,Peter Armstrong,458,Puneet Sharma,406
44688.43964,2,Dave Wiegand,621,Lola McKissen,353
44688.44602,2,Ruth Hamilton,429,Alec Sjöholm,387
44688.45368,2,Puneet Sharma,505,David Whitley,502
44688.45484,2,Peter Armstrong,478,Evans Clinchy,392
44688.45534,2,KC Frodyma,456,Betty Cornelison,383
44688.48271,3,Dave Wiegand,620,KC Frodyma,263
44688.48718,3,Ruth Hamilton,472,Lola McKissen,386
44688.49328,3,David Whitley,480,Evans Clinchy,354
44688.49532,3,Peter Armstrong,534,Alec Sjöholm,361
44688.50182,3,Puneet Sharma,486,Betty Cornelison,355
44688.51127,4,Dave Wiegand,594,Ruth Hamilton,312
44688.52392,4,Evans Clinchy,500,Betty Cornelison,433
44688.52828,4,Alec Sjöholm,490,David Whitley,384
44688.53339,4,Peter Armstrong,434,Lola McKissen,340
44688.53775,4,Puneet Sharma,443,KC Frodyma,355
44688.62336,5,Alec Sjöholm,477,Betty Cornelison,341
44688.62369,5,David Whitley,562,Lola McKissen,287
44688.62543,5,Dave Wiegand,528,Puneet Sharma,307
44688.62806,5,Evans Clinchy,443,KC Frodyma,386
44688.63753,5,Peter Armstrong,493,Ruth Hamilton,352
44688.65906,6,Betty Cornelison,442,Lola McKissen,354
44688.66628,6,Alec Sjöholm,549,KC Frodyma,256
44688.6678,6,Evans Clinchy,524,Puneet Sharma,361
44688.66806,6,Dave Wiegand,551,Peter Armstrong,333
44688.66847,6,David Whitley,454,Ruth Hamilton,397
44688.69615,7,Dave Wiegand,570,Evans Clinchy,242
44688.69885,7,Ruth Hamilton,422,Betty Cornelison,381
44688.70346,7,Alec Sjöholm,469,Puneet Sharma,411
44688.70613,7,Lola McKissen,389,KC Frodyma,349
44688.70865,7,Peter Armstrong,457,David Whitley,418
44688.7297,8,Alec Sjöholm,379,Evans Clinchy,330
44688.73664,8,David Whitley,608,Dave Wiegand,401
44688.73696,8,KC Frodyma,465,Ruth Hamilton,364
44688.74286,8,Puneet Sharma,528,Lola McKissen,301
44688.74336,8,Peter Armstrong,550,Betty Cornelison,292
44689.40398,9,Alec Sjöholm,471,Dave Wiegand,416
44689.41105,9,Evans Clinchy,485,Lola McKissen,267
44689.41161,9,Peter Armstrong,449,KC Frodyma,403
44689.41369,9,Puneet Sharma,445,Ruth Hamilton,360
44689.41524,9,David Whitley,414,Betty Cornelison,350
44689.45028,10,Dave Wiegand,460,Ruth Hamilton,388
44689.4505,10,Betty Cornelison,394,Lola McKissen,393
44689.45211,10,David Whitley,604,Alec Sjöholm,405
44689.45324,10,KC Frodyma,402,Chris Patrick Morgan,315
44689.45705,10,Evans Clinchy,485,Puneet Sharma,433
44689.48083,11,Lola McKissen,482,Chris Patrick Morgan,388
44689.4858,11,Betty Cornelison,407,KC Frodyma,383
44689.48824,11,Alec Sjöholm,420,Dave Wiegand,413
44689.49191,11,Evans Clinchy,453,Ruth Hamilton,310
44689.51703,12,Chris Patrick Morgan,395,Betty Cornelison,342
44689.52096,11,David Whitley,443,Puneet Sharma,415
44689.52477,12,Alec Sjöholm,425,Evans Clinchy,410
44689.52544,12,Dave Wiegand,515,Puneet Sharma,436
44689.52637,12,KC Frodyma,328,Lola McKissen,309
44689.53134,12,David Whitley,396,Ruth Hamilton,393
44689.60256,13,KC Frodyma,513,Lola McKissen,483
44689.6045,13,Ruth Hamilton,408,Chris Patrick Morgan,355
44689.60647,13,Evans Clinchy,451,Alec Sjöholm,437
44689.61053,13,Puneet Sharma,462,Betty Cornelison,337
44689.61093,13,David Whitley,426,Dave Wiegand,409
44689.63947,14,Alec Sjöholm,560,Dave Wiegand,468
44689.64503,14,Lola McKissen,435,Ruth Hamilton,411
44689.64532,14,Chris Patrick Morgan,366,Betty Cornelison,354
44689.64671,14,David Whitley,547,Evans Clinchy,430
44689.65318,14,KC Frodyma,442,Puneet Sharma,395
44689.67495,15,Chris Patrick Morgan,437,Lola McKissen,359
44689.67885,15,Ruth Hamilton,408,Betty Cornelison,373
44689.67972,15,Alec Sjöholm,534,David Whitley,407
44689.68859,15,Puneet Sharma,517,KC Frodyma,328
44689.69137,15,Dave Wiegand,396,Evans Clinchy,395
