Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
10/8/2022 12:18,1,David Whitley,568,Sandy Nang,233
10/8/2022 12:19,1,Evans Clinchy,473,Jennifer Clinchy,328
10/8/2022 12:24,1,Betty Cornelison,453,Alec Sjöholm,453
10/8/2022 12:24,1,Conrad Bassett-Bouchard,466,Gary Smart,361
10/8/2022 12:25,1,Dave Wiegand,563,Gunther Jacobi,428
10/8/2022 12:27,1,Kolton Koehler,423,Stefan Kac,417
10/8/2022 12:27,1,Peter Armstrong,468,Ruth Hamilton,458
10/8/2022 13:05,2,Conrad Bassett-Bouchard,470,Ruth Hamilton,380
10/8/2022 13:14,2,Jennifer Clinchy,508,David Whitley,339
10/8/2022 13:14,2,Dave Wiegand,526,Betty Cornelison,299
10/8/2022 13:16,2,Kolton Koehler,467,Evans Clinchy,459
10/8/2022 13:17,2,Alec Sjöholm,500,Sandy Nang,380
10/8/2022 13:22,2,Gunther Jacobi,360,Gary Smart,327
10/8/2022 13:26,2,Stefan Kac,452,Peter Armstrong,404
10/8/2022 13:58,3,Betty Cornelison,453,Sandy Nang,386
10/8/2022 13:59,3,Dave Wiegand,432,Gary Smart,418
10/8/2022 14:05,3,David Whitley,537,Kolton Koehler,428
10/8/2022 14:09,3,Alec Sjöholm,404,Jennifer Clinchy,398
10/8/2022 14:11,3,Ruth Hamilton,412,Gunther Jacobi,358
10/8/2022 14:21,3,Stefan Kac,481,Conrad Bassett-Bouchard,460
10/8/2022 14:24,3,Evans Clinchy,464,Peter Armstrong,405
10/8/2022 14:41,4,Dave Wiegand,490,Sandy Nang,304
10/8/2022 14:50,4,Ruth Hamilton,471,Gary Smart,352
10/8/2022 14:50,4,Alec Sjöholm,519,Kolton Koehler,385
10/8/2022 14:58,4,Jennifer Clinchy,407,Betty Cornelison,398
10/8/2022 15:04,4,Conrad Bassett-Bouchard,518,Evans Clinchy,453
10/8/2022 15:20,4,Gunther Jacobi,504,Stefan Kac,382
10/8/2022 15:23,4,Peter Armstrong,519,David Whitley,385
10/8/2022 17:14,5,Kolton Koehler,508,Betty Cornelison,331
10/8/2022 17:16,5,Alec Sjöholm,495,Peter Armstrong,354
10/8/2022 17:18,5,Dave Wiegand,471,Ruth Hamilton,384
10/8/2022 17:25,5,Gunther Jacobi,538,Evans Clinchy,449
10/8/2022 17:27,5,Stefan Kac,415,Gary Smart,303
10/8/2022 17:29,5,Sandy Nang,440,Jennifer Clinchy,244
10/8/2022 17:34,5,David Whitley,390,Conrad Bassett-Bouchard,352
10/8/2022 18:06,6,Peter Armstrong,480,Betty Cornelison,271
10/8/2022 18:13,6,Dave Wiegand,519,Jennifer Clinchy,385
10/8/2022 18:14,6,Kolton Koehler,478,Sandy Nang,408
10/8/2022 18:20,6,Stefan Kac,410,Ruth Hamilton,378
10/8/2022 18:20,6,Evans Clinchy,521,Gary Smart,363
10/8/2022 18:22,6,Conrad Bassett-Bouchard,517,Alec Sjöholm,388
10/8/2022 18:33,6,Gunther Jacobi,431,David Whitley,391
10/8/2022 19:01,7,Evans Clinchy,469,Ruth Hamilton,428
10/8/2022 19:01,7,Conrad Bassett-Bouchard,587,Betty Cornelison,314
10/8/2022 19:06,7,Sandy Nang,579,Peter Armstrong,414
10/8/2022 19:08,7,Kolton Koehler,466,Jennifer Clinchy,462
10/8/2022 19:15,7,Stefan Kac,496,Dave Wiegand,445
10/8/2022 19:18,7,Gary Smart,470,David Whitley,366
10/8/2022 19:21,7,Alec Sjöholm,431,Gunther Jacobi,310
10/8/2022 19:54,8,Conrad Bassett-Bouchard,416,Sandy Nang,354
10/8/2022 19:54,8,Kolton Koehler,556,Dave Wiegand,518
10/8/2022 20:01,8,David Whitley,428,Ruth Hamilton,375
10/8/2022 20:01,8,Alec Sjöholm,454,Gary Smart,313
10/8/2022 20:03,8,Evans Clinchy,538,Stefan Kac,415
10/8/2022 20:08,8,Jennifer Clinchy,383,Peter Armstrong,336
10/8/2022 20:09,8,Gunther Jacobi,413,Betty Cornelison,311
10/9/2022 12:14,9,Alec Sjöholm,427,Ruth Hamilton,361
10/9/2022 12:19,9,Gary Smart,386,Betty Cornelison,325
10/9/2022 12:24,9,Kolton Koehler,511,Peter Armstrong,372
10/9/2022 12:25,9,Conrad Bassett-Bouchard,513,Jennifer Clinchy,345
10/9/2022 12:25,9,Evans Clinchy,486,Dave Wiegand,438
10/9/2022 12:26,9,David Whitley,530,Stefan Kac,373
10/9/2022 13:04,10,Betty Cornelison,506,Ruth Hamilton,234
10/9/2022 13:13,10,Dave Wiegand,604,Peter Armstrong,351
10/9/2022 13:15,10,Kolton Koehler,429,Conrad Bassett-Bouchard,403
10/9/2022 13:16,10,Alec Sjöholm,475,Stefan Kac,402
10/9/2022 13:20,10,Gary Smart,412,Sandy Nang,336
10/9/2022 13:25,10,Evans Clinchy,473,David Whitley,460
10/9/2022 13:33,10,Jennifer Clinchy,421,Gunther Jacobi,368
10/9/2022 14:00,11,David Whitley,507,Dave Wiegand,360
10/9/2022 14:02,11,Stefan Kac,490,Betty Cornelison,366
10/9/2022 14:03,11,Sandy Nang,389,Ruth Hamilton,320
10/9/2022 14:06,11,Conrad Bassett-Bouchard,476,Peter Armstrong,352
10/9/2022 14:11,9,Gunther Jacobi,417,Sandy Nang,398
10/9/2022 14:13,11,Alec Sjöholm,468,Evans Clinchy,441
10/9/2022 14:17,11,Gary Smart,388,Jennifer Clinchy,346
10/9/2022 14:27,11,Kolton Koehler,364,Gunther Jacobi,335
10/9/2022 14:40,12,Dave Wiegand,436,Conrad Bassett-Bouchard,409
10/9/2022 14:50,12,Evans Clinchy,635,Betty Cornelison,333
10/9/2022 15:01,12,Alec Sjöholm,472,David Whitley,382
10/9/2022 15:02,12,Gary Smart,366,Kolton Koehler,308
10/9/2022 15:08,12,Stefan Kac,401,Sandy Nang,354
10/9/2022 15:10,12,Jennifer Clinchy,455,Ruth Hamilton,359
10/9/2022 15:19,12,Gunther Jacobi,491,Peter Armstrong,472
10/9/2022 17:07,13,Peter Armstrong,468,Gary Smart,431
10/9/2022 17:09,13,Dave Wiegand,484,Alec Sjöholm,448
10/9/2022 17:10,13,Kolton Koehler,436,Ruth Hamilton,393
10/9/2022 17:17,13,Evans Clinchy,444,Sandy Nang,323
10/9/2022 17:18,13,David Whitley,429,Betty Cornelison,405
10/9/2022 17:27,13,Conrad Bassett-Bouchard,438,Gunther Jacobi,419
10/9/2022 17:30,13,Stefan Kac,414,Jennifer Clinchy,387
10/9/2022 18:14,14,Gary Smart,481,Jennifer Clinchy,327
10/9/2022 18:16,14,Ruth Hamilton,459,Betty Cornelison,354
10/9/2022 18:19,14,Dave Wiegand,474,Stefan Kac,399
10/9/2022 18:20,14,Kolton Koehler,447,Alec Sjöholm,389
10/9/2022 18:21,14,Peter Armstrong,467,Sandy Nang,296
10/9/2022 18:22,14,Conrad Bassett-Bouchard,429,Evans Clinchy,404
10/9/2022 18:27,14,David Whitley,466,Gunther Jacobi,324
