Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45268.83154,1,Yukiko Loritz,552,Andrea Hatch,325
45268.83622,1,David Whitley,543,Robin Levin,372
45268.84156,1,Bruce Ward,452,Paula Catanese,353
45268.86833,2,Yukiko Loritz,526,Andrea Hatch,405
45268.8737,2,David Whitley,511,Robin Levin,416
45268.87935,2,Bruce Ward,409,Paula Catanese,315
45268.91563,3,Paula Catanese,390,Robin Levin,360
45268.9162,3,Yukiko Loritz,397,Bruce Ward,359
45268.91728,3,Andrea Hatch,459,David Whitley,407
45269.4137,4,Yukiko Loritz,441,Bruce Ward,326
45269.41579,4,Paula Catanese,399,Robin Levin,327
45269.42068,4,David Whitley,413,Andrea Hatch,385
45269.45244,5,Yukiko Loritz,468,Robin Levin,318
45269.45833,5,Bruce Ward,463,Andrea Hatch,331
45269.466,5,David Whitley,450,Paula Catanese,273
45269.49609,6,Robin Levin,413,Yukiko Loritz,377
45269.49747,6,Bruce Ward,425,Andrea Hatch,347
45269.50463,6,David Whitley,419,Paula Catanese,321
45269.61412,7,Bruce Ward,570,David Whitley,441
45269.61619,7,Yukiko Loritz,516,Paula Catanese,342
45269.62789,7,Andrea Hatch,373,Robin Levin,362
45269.6451,8,David Whitley,435,Bruce Ward,381
45269.65355,8,Paula Catanese,429,Yukiko Loritz,379
45269.66938,8,Robin Levin,491,Andrea Hatch,317
45269.68839,9,Yukiko Loritz,418,David Whitley,374
45269.71008,9,Andrea Hatch,373,Paula Catanese,363
45269.71716,9,Bruce Ward,438,Robin Levin,250
45269.72758,10,Yukiko Loritz,523,David Whitley,430
45269.74789,10,Robin Levin,458,Bruce Ward,371
45269.75013,10,Andrea Hatch,436,Paula Catanese,311
45270.41211,11,David Whitley,497,Robin Levin,417
45270.41507,11,Paula Catanese,423,Bruce Ward,400
45270.41605,11,Yukiko Loritz,391,Andrea Hatch,366
45270.44985,12,Paula Catanese,408,Robin Levin,384
45270.4563,12,Yukiko Loritz,400,Bruce Ward,380
45270.45882,12,David Whitley,432,Andrea Hatch,423
45270.49122,13,Robin Levin,490,Yukiko Loritz,326
45270.50081,13,Bruce Ward,362,Andrea Hatch,286
45270.50247,13,David Whitley,458,Paula Catanese,406
45270.50247,14,Bruce Ward,466,David Whitley,412
45270.50247,14,Yukiko Loritz,468,Paula Catanese,308
45270.50247,14,Robin Levin,463,Andrea Hatch,463
12/10/23 03:43 PM,15,David Whitley,464,Yukiko Loritz,421
12/10/23 03:48 PM,15,Bruce Ward,536,Robin Levin,328
12/10/23 03:49 PM,15,Paula Catanese,391,Andrea Hatch,348
12/10/23 04:36 PM,16,David Whitley,483,Robin Levin,380
12/10/23 04:44 PM,16,Bruce Ward,384,Andrea Hatch,349
12/10/23 04:50 PM,16,Yukiko Loritz,341,Paula Catanese,338
12/10/23 05:59 PM,17,Paula Catanese,441,Bruce Ward,392
12/10/23 06:04 PM,17,David Whitley,498,Yukiko Loritz,392
12/11/23 06:27 AM,17,Robin Levin,437,Andrea Hatch,410
