Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45535.41168,1,Dave Wiegand,541,Alec Sjöholm,419
45535.41369,1,Travis Chaney,449,Jeannie Wilson,326
45535.41841,1,Ruth Hamilton,371,Paula Catanese,239
45535.41865,1,Puneet Sharma,480,Betty Cornelison,361
45535.4214,1,Winter,378,Andrea Hatch,326
45535.42278,1,Conrad Bassett-Bouchard,579,Ather Sharif,430
45535.42318,1,Kolton Koehler,524,Caroline Polak Scowcroft,487
45535.42456,1,Joe Roberdeau,419,Eric Fox,324
45535.42595,1,Gunther Jacobi,399,Cheryl Melvin,380
45535.45266,2,Alec Sjöholm,529,Caroline Polak Scowcroft,293
45535.45601,2,Joe Roberdeau,467,Travis Chaney,382
45535.4583,2,Kolton Koehler,470,Andrea Hatch,313
45535.45925,2,Conrad Bassett-Bouchard,549,Cheryl Melvin,295
45535.46047,2,Eric Fox,448,Ruth Hamilton,366
45535.46065,2,Winter,499,Jeannie Wilson,368
45535.46145,2,Dave Wiegand,582,Ather Sharif,437
45535.46167,2,Gunther Jacobi,517,Betty Cornelison,399
45535.4658,2,Puneet Sharma,431,Paula Catanese,346
45535.49066,3,Conrad Bassett-Bouchard,519,Betty Cornelison,308
45535.49069,3,Alec Sjöholm,444,Andrea Hatch,309
45535.49072,3,Travis Chaney,534,Ruth Hamilton,291
45535.49432,3,Kolton Koehler,533,Jeannie Wilson,322
45535.4983,3,Dave Wiegand,510,Cheryl Melvin,405
45535.50316,3,Puneet Sharma,426,Eric Fox,349
45535.50563,3,Caroline Polak Scowcroft,460,Ather Sharif,414
45535.50718,3,Gunther Jacobi,500,Paula Catanese,453
45535.52613,4,Winter,514,Ruth Hamilton,318
45535.52884,4,Kolton Koehler,463,Joe Roberdeau,373
45535.5297,4,Dave Wiegand,603,Betty Cornelison,256
45535.53063,4,Travis Chaney,611,Puneet Sharma,327
45535.53495,4,Alec Sjöholm,417,Jeannie Wilson,350
45535.54552,4,Gunther Jacobi,470,Eric Fox,344
45535.54632,4,Conrad Bassett-Bouchard,452,Paula Catanese,376
45535.54832,4,Ather Sharif,373,Andrea Hatch,310
45535.54881,3,Winter,495,Joe Roberdeau,337
45535.56953,4,Caroline Polak Scowcroft,402,Cheryl Melvin,316
45535.61047,5,Kolton Koehler,480,Ruth Hamilton,401
45535.61373,5,Travis Chaney,475,Gunther Jacobi,405
45535.6141,5,Conrad Bassett-Bouchard,445,Eric Fox,347
45535.61461,5,Cheryl Melvin,586,Andrea Hatch,329
45535.61858,5,Dave Wiegand,414,Paula Catanese,357
45535.61964,5,Alec Sjöholm,506,Joe Roberdeau,338
45535.62159,5,Caroline Polak Scowcroft,461,Betty Cornelison,420
