"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
"08/30/25 09:48 AM",1,"Alec Sjöholm",597,"Mark Peltier",299
"08/30/25 09:53 AM",1,"Ruth Hamilton",453,"Greg Harper",437
"08/30/25 09:55 AM",1,"Dave Wiegand",574,"Cheryl Melvin",361
"08/30/25 09:57 AM",1,"Paula Catanese",427,"Travis Chaney",350
"08/30/25 10:00 AM",1,"Eric Fox",455,"Jane Geary",316
"08/30/25 10:01 AM",1,"Robert Linn",429,"Andrea Hatch",301
"08/30/25 10:07 AM",1,"Peter Armstrong",459,"Jeannie Wilson",370
"08/30/25 10:09 AM",1,"Chris Cheng",359,"Joe Roberdeau",339
"08/30/25 10:44 AM",2,"Travis Chaney",473,"Joe Roberdeau",366
"08/30/25 10:49 AM",2,"Dave Wiegand",566,"Andrea Hatch",301
"08/30/25 10:56 AM",2,"Alec Sjöholm",503,"Cheryl Melvin",357
"08/30/25 10:58 AM",2,"Paula Catanese",389,"Peter Armstrong",370
"08/30/25 11:00 AM",2,"Ruth Hamilton",427,"Eric Fox",426
"08/30/25 11:03 AM",2,"Robert Linn",433,"Jane Geary",316
"08/30/25 11:05 AM",2,"Mark Peltier",443,"Jeannie Wilson",334
"08/30/25 11:10 AM",2,"Greg Harper",458,"Chris Cheng",389
"08/30/25 11:49 AM",3,"Peter Armstrong",497,"Joe Roberdeau",468
"08/30/25 11:49 AM",3,"Travis Chaney",484,"Greg Harper",411
"08/30/25 11:53 AM",3,"Cheryl Melvin",374,"Andrea Hatch",367
"08/30/25 11:57 AM",3,"Alec Sjöholm",505,"Jeannie Wilson",371
"08/30/25 11:58 AM",3,"Dave Wiegand",468,"Jane Geary",336
"08/30/25 12:03 PM",3,"Paula Catanese",346,"Mark Peltier",294
"08/30/25 12:03 PM",3,"Robert Linn",463,"Ruth Hamilton",280
"08/30/25 12:04 PM",3,"Chris Cheng",395,"Eric Fox",301
"08/30/25 12:40 PM",4,"Dave Wiegand",489,"Ruth Hamilton",395
"08/30/25 12:43 PM",4,"Mark Peltier",492,"Joe Roberdeau",306
"08/30/25 12:47 PM",4,"Eric Fox",440,"Travis Chaney",432
"08/30/25 12:51 PM",4,"Robert Linn",448,"Chris Cheng",343
"08/30/25 12:52 PM",4,"Alec Sjöholm",501,"Andrea Hatch",286
"08/30/25 12:52 PM",4,"Peter Armstrong",517,"Greg Harper",422
"08/30/25 01:05 PM",4,"Cheryl Melvin",402,"Jane Geary",347
"08/30/25 01:09 PM",4,"Jeannie Wilson",330,"Paula Catanese",308
"08/30/25 02:39 PM",5,"Dave Wiegand",514,"Chris Cheng",398
"08/30/25 02:48 PM",5,"Travis Chaney",438,"Robert Linn",401
"08/30/25 02:55 PM",5,"Jeannie Wilson",476,"Joe Roberdeau",253
"08/30/25 02:55 PM",5,"Ruth Hamilton",439,"Cheryl Melvin",328
"08/30/25 02:57 PM",5,"Greg Harper",402,"Mark Peltier",361
"08/30/25 02:58 PM",5,"Eric Fox",488,"Peter Armstrong",428
"08/30/25 02:58 PM",5,"Paula Catanese",433,"Alec Sjöholm",350
"08/30/25 03:03 PM",5,"Jane Geary",409,"Andrea Hatch",337
"08/30/25 03:28 PM",6,"Dave Wiegand",549,"Travis Chaney",503
"08/30/25 03:47 PM",6,"Jeannie Wilson",485,"Greg Harper",376
"08/30/25 03:53 PM",6,"Chris Cheng",468,"Cheryl Melvin",408
"08/30/25 03:54 PM",6,"Ruth Hamilton",503,"Andrea Hatch",394
"08/30/25 03:54 PM",6,"Eric Fox",463,"Mark Peltier",427
"08/30/25 03:55 PM",6,"Alec Sjöholm",606,"Jane Geary",429
"08/30/25 03:58 PM",6,"Robert Linn",461,"Peter Armstrong",405
"08/30/25 04:00 PM",6,"Joe Roberdeau",454,"Paula Catanese",390
"08/30/25 04:38 PM",7,"Travis Chaney",465,"Cheryl Melvin",395
"08/30/25 04:42 PM",7,"Eric Fox",446,"Jeannie Wilson",402
"08/30/25 04:47 PM",7,"Jane Geary",459,"Ruth Hamilton",395
"08/30/25 04:48 PM",7,"Alec Sjöholm",553,"Joe Roberdeau",372
"08/30/25 04:53 PM",7,"Robert Linn",483,"Mark Peltier",421
"08/30/25 04:56 PM",7,"Dave Wiegand",491,"Peter Armstrong",487
"08/30/25 04:58 PM",7,"Chris Cheng",411,"Andrea Hatch",410
"08/30/25 04:58 PM",7,"Greg Harper",391,"Paula Catanese",365
"08/30/25 05:36 PM",8,"Dave Wiegand",502,"Mark Peltier",281
"08/30/25 05:40 PM",8,"Peter Armstrong",554,"Cheryl Melvin",322
"08/30/25 05:42 PM",8,"Travis Chaney",456,"Andrea Hatch",378
"08/30/25 05:43 PM",8,"Alec Sjöholm",447,"Ruth Hamilton",394
"08/30/25 05:46 PM",8,"Eric Fox",430,"Paula Catanese",313
"08/30/25 05:49 PM",8,"Greg Harper",390,"Joe Roberdeau",379
"08/30/25 05:51 PM",8,"Robert Linn",445,"Jeannie Wilson",309
"08/30/25 06:00 PM",8,"Jane Geary",395,"Chris Cheng",381
"08/31/25 09:45 AM",9,"Mark Peltier",546,"Cheryl Melvin",340
"08/31/25 09:45 AM",9,"Travis Chaney",435,"Jane Geary",355
"08/31/25 09:47 AM",9,"Dave Wiegand",496,"Jeannie Wilson",338
"08/31/25 09:52 AM",9,"Alec Sjöholm",488,"Greg Harper",396
"08/31/25 09:53 AM",9,"Ruth Hamilton",435,"Chris Cheng",357
"08/31/25 09:55 AM",9,"Robert Linn",460,"Paula Catanese",452
"08/31/25 10:00 AM",9,"Peter Armstrong",493,"Andrea Hatch",395
"08/31/25 10:38 AM",10,"Ruth Hamilton",406,"Travis Chaney",369
"08/31/25 10:49 AM",10,"Alec Sjöholm",465,"Chris Cheng",397
"08/31/25 10:50 AM",10,"Peter Armstrong",674,"Jane Geary",313
"08/31/25 10:51 AM",10,"Robert Linn",457,"Joe Roberdeau",305
"08/31/25 10:52 AM",10,"Dave Wiegand",433,"Paula Catanese",302
"08/31/25 10:55 AM",9,"Eric Fox",450,"Joe Roberdeau",399
"08/31/25 10:56 AM",10,"Greg Harper",410,"Eric Fox",358
"08/31/25 11:00 AM",10,"Cheryl Melvin",374,"Jeannie Wilson",321
"08/31/25 11:00 AM",10,"Mark Peltier",469,"Andrea Hatch",294
"08/31/25 11:35 AM",11,"Peter Armstrong",605,"Ruth Hamilton",410
"08/31/25 11:37 AM",11,"Greg Harper",522,"Robert Linn",401
"08/31/25 11:39 AM",11,"Travis Chaney",438,"Chris Cheng",408
"08/31/25 11:45 AM",11,"Dave Wiegand",468,"Joe Roberdeau",366
"08/31/25 11:46 AM",11,"Alec Sjöholm",489,"Eric Fox",412
"08/31/25 11:49 AM",11,"Paula Catanese",408,"Cheryl Melvin",294
"08/31/25 11:50 AM",11,"Jeannie Wilson",397,"Andrea Hatch",317
"08/31/25 12:04 PM",11,"Jane Geary",427,"Mark Peltier",369
"08/31/25 01:00 PM",12,"Robert Linn",567,"Eric Fox",355
"08/31/25 01:00 PM",12,"Travis Chaney",443,"Alec Sjöholm",424
"08/31/25 01:00 PM",12,"Peter Armstrong",411,"Chris Cheng",408
"08/31/25 01:00 PM",12,"Cheryl Melvin",515,"Joe Roberdeau",265
"08/31/25 01:00 PM",12,"Dave Wiegand",379,"Greg Harper",358
"08/31/25 01:00 PM",12,"Ruth Hamilton",395,"Mark Peltier",393
"08/31/25 01:00 PM",12,"Paula Catanese",371,"Andrea Hatch",333
"08/31/25 01:00 PM",12,"Jane Geary",452,"Jeannie Wilson",431
"08/31/25 02:46 PM",13,"Peter Armstrong",436,"Travis Chaney",347
"08/31/25 02:46 PM",13,"Eric Fox",514,"Dave Wiegand",455
"08/31/25 02:46 PM",13,"Alec Sjöholm",530,"Robert Linn",381
"08/31/25 02:46 PM",13,"Ruth Hamilton",369,"Jeannie Wilson",360
"08/31/25 02:46 PM",13,"Cheryl Melvin",446,"Greg Harper",371
"08/31/25 02:46 PM",13,"Joe Roberdeau",480,"Andrea Hatch",352
"08/31/25 02:46 PM",13,"Chris Cheng",491,"Mark Peltier",337
"08/31/25 02:46 PM",13,"Paula Catanese",429,"Jane Geary",415
