Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45234.526,1,Dave Wiegand,569,Conrad Bassett-Bouchard,425
45234.53152,1,Travis Chaney,530,Gunther Jacobi,387
45234.53668,1,Kolton Koehler,403,Keith Valentine,371
45234.53934,1,Peter Armstrong,463,Betty Cornelison,287
45234.56043,2,Kolton Koehler,517,Travis Chaney,272
45234.56439,2,Conrad Bassett-Bouchard,535,Keith Valentine,389
45234.56531,2,Dave Wiegand,455,Betty Cornelison,367
45234.57939,2,Gunther Jacobi,447,Peter Armstrong,335
45234.58892,3,Conrad Bassett-Bouchard,417,Travis Chaney,319
45234.6011,3,Keith Valentine,419,Betty Cornelison,406
45234.60738,3,Peter Armstrong,472,Kolton Koehler,378
45234.60786,3,Dave Wiegand,450,Gunther Jacobi,421
45234.63227,4,Travis Chaney,416,Betty Cornelison,392
45234.63913,4,Dave Wiegand,461,Kolton Koehler,455
45234.6466,4,Conrad Bassett-Bouchard,452,Peter Armstrong,443
45234.64977,4,Gunther Jacobi,491,Keith Valentine,380
45234.67845,5,Dave Wiegand,575,Peter Armstrong,518
45234.68296,5,Gunther Jacobi,473,Betty Cornelison,401
45234.6863,5,Keith Valentine,426,Travis Chaney,404
45234.68689,5,Kolton Koehler,480,Conrad Bassett-Bouchard,455
45234.71041,6,Conrad Bassett-Bouchard,487,Travis Chaney,437
45234.71296,6,Dave Wiegand,577,Peter Armstrong,386
45234.72043,6,Betty Cornelison,473,Keith Valentine,425
45234.72406,6,Gunther Jacobi,515,Kolton Koehler,483
