Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45760.52524,1,Evans Clinchy,491,Travis Chaney,424
45760.52896,1,Dave Wiegand,575,Betty Cornelison,339
45760.53443,1,Kolton Koehler,481,Mia Yamamoto,290
45760.53736,1,Conrad Bassett-Bouchard,447,Ruth Hamilton,381
45760.53813,1,Alec Sjöholm,451,Keith Valentine,404
45760.56066,2,Conrad Bassett-Bouchard,596,Betty Cornelison,380
45760.56256,2,Alec Sjöholm,487,Travis Chaney,400
45760.56546,2,Evans Clinchy,441,Kolton Koehler,371
45760.56811,2,Ruth Hamilton,442,Dave Wiegand,438
45760.57823,2,Keith Valentine,495,Mia Yamamoto,311
45760.59313,3,Dave Wiegand,507,Conrad Bassett-Bouchard,378
45760.59844,3,Betty Cornelison,405,Ruth Hamilton,396
45760.59997,3,Kolton Koehler,411,Alec Sjöholm,401
45760.60743,3,Evans Clinchy,623,Mia Yamamoto,208
45760.6085,3,Keith Valentine,505,Travis Chaney,380
45760.63248,4,Dave Wiegand,427,Alec Sjöholm,362
45760.63796,4,Travis Chaney,410,Betty Cornelison,387
45760.63902,4,Ruth Hamilton,50,Bye,0
45760.63926,5,Travis Chaney,50,Bye,0
45760.64007,4,Conrad Bassett-Bouchard,497,Evans Clinchy,458
45760.64617,4,Kolton Koehler,578,Keith Valentine,362
45760.66726,5,Alec Sjöholm,514,Ruth Hamilton,354
45760.67581,5,Kolton Koehler,490,Betty Cornelison,356
45760.67704,5,Dave Wiegand,511,Evans Clinchy,437
45760.67932,5,Conrad Bassett-Bouchard,623,Keith Valentine,349
45760.70784,6,Keith Valentine,532,Travis Chaney,444
45760.71132,6,Ruth Hamilton,439,Alec Sjöholm,377
45760.71431,6,Kolton Koehler,472,Dave Wiegand,352
45760.71947,6,Betty Cornelison,50,Bye,0
45760.72043,6,Conrad Bassett-Bouchard,477,Evans Clinchy,366
