Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
08/25/24 12:32 PM,1,Dave Wiegand,471,Ruth Hamilton,406
08/25/24 12:53 PM,1,Gunther Jacobi,471,Travis Chaney,386
08/25/24 01:06 PM,2,Dave Wiegand,589,Ruth Hamilton,388
08/25/24 01:34 PM,2,Travis Chaney,531,Gunther Jacobi,405
08/25/24 01:59 PM,3,Dave Wiegand,604,Travis Chaney,370
08/25/24 02:33 PM,3,Gunther Jacobi,423,Ruth Hamilton,390
08/25/24 02:36 PM,4,Dave Wiegand,465,Travis Chaney,452
08/25/24 03:21 PM,4,Gunther Jacobi,434,Ruth Hamilton,422
08/25/24 03:51 PM,5,Travis Chaney,560,Ruth Hamilton,311
08/25/24 04:08 PM,5,Gunther Jacobi,460,Dave Wiegand,408
08/25/24 04:26 PM,6,Travis Chaney,375,Ruth Hamilton,355
08/25/24 04:55 PM,6,Gunther Jacobi,575,Dave Wiegand,401
