Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
12/07/24 12:34 PM,1,Travis Chaney,462,Conrad Bassett-Bouchard,413
12/07/24 12:36 PM,1,Dave Wiegand,469,Betty Cornelison,364
12/07/24 12:42 PM,1,Kolton Koehler,477,Ruth Hamilton,381
12/07/24 01:17 PM,2,Dave Wiegand,473,Ruth Hamilton,455
12/07/24 01:22 PM,2,Travis Chaney,371,Betty Cornelison,336
12/07/24 01:39 PM,2,Conrad Bassett-Bouchard,437,Kolton Koehler,430
12/07/24 01:58 PM,3,Dave Wiegand,445,Travis Chaney,377
12/07/24 02:15 PM,3,Conrad Bassett-Bouchard,512,Ruth Hamilton,348
12/07/24 02:19 PM,3,Kolton Koehler,602,Betty Cornelison,290
12/07/24 02:38 PM,4,Dave Wiegand,601,Conrad Bassett-Bouchard,368
12/07/24 03:01 PM,4,Ruth Hamilton,437,Betty Cornelison,398
12/07/24 03:04 PM,4,Kolton Koehler,382,Travis Chaney,359
12/07/24 03:42 PM,5,Travis Chaney,493,Ruth Hamilton,379
12/07/24 03:43 PM,5,Conrad Bassett-Bouchard,552,Betty Cornelison,436
12/07/24 03:54 PM,5,Kolton Koehler,507,Dave Wiegand,435
12/07/24 04:23 PM,6,Conrad Bassett-Bouchard,529,Travis Chaney,410
12/07/24 04:29 PM,6,Dave Wiegand,565,Kolton Koehler,319
12/07/24 04:31 PM,6,Betty Cornelison,470,Ruth Hamilton,435
