Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45456.60284,1,Test Player,50,Bye,0
45458.51822,1,Dave Wiegand,50,Bye,0
45458.52877,1,Alec Sjöholm,567,Betty Cornelison,320
45458.53341,1,Travis Chaney,419,Kolton Koehler,396
45458.5355,1,Conrad Bassett-Bouchard,551,Keith Valentine,379
45458.54397,2,Kolton Koehler,50,Bye,0
45458.54626,1,Jesse Matthews,518,Gunther Jacobi,320
45458.55677,2,Dave Wiegand,491,Travis Chaney,319
45458.56676,2,Keith Valentine,413,Betty Cornelison,405
45458.57615,2,Conrad Bassett-Bouchard,609,Gunther Jacobi,377
45458.58189,2,Jesse Matthews,421,Alec Sjöholm,324
45458.58313,3,Dave Wiegand,528,Kolton Koehler,518
45458.59288,3,Travis Chaney,50,Bye,0
45458.61609,3,Jesse Matthews,478,Betty Cornelison,324
45458.61712,3,Alec Sjöholm,437,Conrad Bassett-Bouchard,336
45458.62481,3,Gunther Jacobi,465,Keith Valentine,383
45458.64244,4,Conrad Bassett-Bouchard,511,Travis Chaney,373
45458.64688,4,Alec Sjöholm,431,Kolton Koehler,402
45458.65731,4,Dave Wiegand,588,Jesse Matthews,416
45458.66068,4,Keith Valentine,50,Bye,0
45458.66309,4,Gunther Jacobi,416,Betty Cornelison,410
45458.69399,5,Alec Sjöholm,451,Dave Wiegand,438
45458.69525,5,Betty Cornelison,50,Bye,0
45458.69706,5,Jesse Matthews,424,Conrad Bassett-Bouchard,405
45458.69707,5,Travis Chaney,507,Keith Valentine,359
45458.69902,5,Gunther Jacobi,460,Kolton Koehler,453
45458.71634,6,Alec Sjöholm,524,Conrad Bassett-Bouchard,400
45458.72758,6,Kolton Koehler,473,Betty Cornelison,354
45458.73218,6,Dave Wiegand,566,Jesse Matthews,290
45458.7326,6,Gunther Jacobi,50,Bye,0
45458.73328,6,Travis Chaney,435,Keith Valentine,269
