Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45416.51844,1,Dave Wiegand,50,Bye,0
45416.53258,1,Gunther Jacobi,435,Travis Chaney,367
45416.53284,1,Conrad Bassett-Bouchard,557,Betty Cornelison,313
45416.53639,1,Kolton Koehler,451,Ruth Hamilton,438
45416.5539,2,Travis Chaney,501,Conrad Bassett-Bouchard,388
45416.55784,2,Dave Wiegand,497,Betty Cornelison,311
45416.57519,2,Kolton Koehler,453,Gunther Jacobi,409
45416.58285,3,Betty Cornelison,414,Travis Chaney,387
45416.58714,3,Dave Wiegand,619,Ruth Hamilton,368
45416.58855,2,Ruth Hamilton,50,Bye,0
45416.605,3,Kolton Koehler,487,Conrad Bassett-Bouchard,473
45416.61034,4,Dave Wiegand,640,Travis Chaney,335
45416.62093,4,Gunther Jacobi,483,Ruth Hamilton,360
45416.63331,4,Kolton Koehler,495,Betty Cornelison,279
45416.6513,5,Ruth Hamilton,407,Conrad Bassett-Bouchard,364
45416.65359,5,Kolton Koehler,647,Travis Chaney,336
45416.66025,5,Dave Wiegand,472,Gunther Jacobi,373
45416.66174,3,Gunther Jacobi,50,Bye,0
45416.66182,4,Conrad Bassett-Bouchard,50,Bye,0
45416.66214,5,Betty Cornelison,50,Bye,0
45416.6622,6,Travis Chaney,50,Bye,0
45416.67919,6,Betty Cornelison,515,Ruth Hamilton,352
45416.68948,6,Kolton Koehler,495,Dave Wiegand,410
45416.69145,6,Conrad Bassett-Bouchard,521,Gunther Jacobi,449
45416.70477,7,Travis Chaney,384,Ruth Hamilton,317
45416.71411,7,Conrad Bassett-Bouchard,569,Dave Wiegand,330
45416.71999,7,Gunther Jacobi,521,Betty Cornelison,359
45416.74249,7,Kolton Koehler,50,Bye,0
