Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45599.52897,1,Kolton Koehler,466,Ruth Hamilton,399
45599.53358,1,Conrad Bassett-Bouchard,390,Travis Chaney,367
45599.54564,1,Josh Sokol,441,Gunther Jacobi,336
45599.55662,2,Ruth Hamilton,466,Travis Chaney,409
45599.58034,2,Josh Sokol,406,Conrad Bassett-Bouchard,317
45599.58729,2,Gunther Jacobi,511,Kolton Koehler,507
45599.61309,3,Josh Sokol,513,Ruth Hamilton,351
45599.61809,3,Conrad Bassett-Bouchard,442,Gunther Jacobi,351
45599.61986,3,Travis Chaney,430,Kolton Koehler,430
45599.65565,4,Travis Chaney,468,Josh Sokol,410
45599.65663,4,Conrad Bassett-Bouchard,477,Kolton Koehler,354
45599.65684,4,Gunther Jacobi,468,Ruth Hamilton,399
45599.68153,5,Conrad Bassett-Bouchard,491,Ruth Hamilton,387
45599.6872,5,Gunther Jacobi,463,Travis Chaney,450
45599.68976,5,Josh Sokol,423,Kolton Koehler,418
45599.71676,6,Kolton Koehler,543,Ruth Hamilton,318
45599.72134,6,Gunther Jacobi,382,Travis Chaney,373
45599.72483,6,Conrad Bassett-Bouchard,435,Josh Sokol,392
