Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
10/05/24 12:38 PM,1,Conrad Bassett-Bouchard,502,Betty Cornelison,399
10/05/24 12:40 PM,1,Dave Wiegand,508,Alec Sjöholm,370
10/05/24 12:41 PM,1,Kolton Koehler,50,Bye,0
10/05/24 12:46 PM,1,Travis Chaney,440,Carson Ip,378
10/05/24 12:50 PM,1,Ruth Hamilton,477,Gunther Jacobi,330
10/05/24 12:59 PM,2,Dave Wiegand,50,Bye,0
10/05/24 01:29 PM,2,Conrad Bassett-Bouchard,424,Ruth Hamilton,336
10/05/24 01:34 PM,2,Alec Sjöholm,493,Betty Cornelison,352
10/05/24 01:34 PM,2,Kolton Koehler,470,Carson Ip,389
10/05/24 01:40 PM,2,Travis Chaney,396,Gunther Jacobi,353
10/05/24 02:14 PM,3,Alec Sjöholm,507,Ruth Hamilton,366
10/05/24 02:21 PM,3,Travis Chaney,491,Conrad Bassett-Bouchard,441
10/05/24 02:24 PM,3,Carson Ip,496,Dave Wiegand,434
10/05/24 02:30 PM,3,Kolton Koehler,553,Gunther Jacobi,422
10/05/24 02:54 PM,4,Dave Wiegand,498,Conrad Bassett-Bouchard,425
10/05/24 02:56 PM,3,Betty Cornelison,50,Bye,0
10/05/24 02:57 PM,4,Gunther Jacobi,50,Bye,0
10/05/24 03:07 PM,4,Ruth Hamilton,442,Travis Chaney,423
10/05/24 03:18 PM,4,Carson Ip,435,Betty Cornelison,274
10/05/24 03:20 PM,4,Kolton Koehler,504,Alec Sjöholm,463
10/05/24 03:23 PM,5,Ruth Hamilton,50,Bye,0
10/05/24 03:58 PM,5,Travis Chaney,566,Alec Sjöholm,330
10/05/24 04:05 PM,5,Conrad Bassett-Bouchard,513,Carson Ip,344
10/05/24 04:07 PM,5,Dave Wiegand,502,Kolton Koehler,364
10/05/24 04:12 PM,5,Gunther Jacobi,399,Betty Cornelison,319
10/05/24 04:43 PM,6,Dave Wiegand,514,Travis Chaney,377
10/05/24 04:48 PM,6,Kolton Koehler,583,Conrad Bassett-Bouchard,445
10/05/24 05:03 PM,6,Carson Ip,372,Ruth Hamilton,358
10/05/24 05:04 PM,6,Gunther Jacobi,540,Betty Cornelison,280
10/05/24 05:05 PM,6,Alec Sjöholm,50,Bye,0
