Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
03/02/25 09:57 AM,1,Matthew O'Connor,510,Justin Morris,347
03/02/25 10:07 AM,1,Matthew Zeleznik,413,Niel Gan,354
03/02/25 10:40 AM,2,Matthew O'Connor,455,Justin Morris,434
03/02/25 11:05 AM,2,Niel Gan,530,Matthew Zeleznik,431
03/02/25 11:52 AM,3,Niel Gan,458,Matthew O'Connor,446
03/02/25 11:59 AM,3,Justin Morris,457,Matthew Zeleznik,386
03/02/25 12:44 PM,4,Matthew O'Connor,500,Niel Gan,329
03/02/25 12:56 PM,4,Matthew Zeleznik,475,Justin Morris,333
03/02/25 01:36 PM,5,Matthew O'Connor,540,Matthew Zeleznik,288
03/02/25 01:52 PM,5,Niel Gan,442,Justin Morris,423
03/02/25 02:21 PM,6,Matthew O'Connor,561,Matthew Zeleznik,329
03/02/25 02:45 PM,6,Niel Gan,530,Justin Morris,367
