"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
03/15/26 08:52 AM,1,"Brad Whitmarsh",428,"Richard Buck",383
03/15/26 08:57 AM,1,"Matthew O'Connor",454,"Niel Gan",268
03/15/26 09:43 AM,2,"Brad Whitmarsh",486,"Richard Buck",392
03/15/26 09:49 AM,2,"Matthew O'Connor",483,"Niel Gan",428
03/15/26 11:20 AM,3,"Matthew O'Connor",395,"Richard Buck",388
03/15/26 11:25 AM,3,"Niel Gan",457,"Brad Whitmarsh",418
03/15/26 12:08 PM,4,"Brad Whitmarsh",521,"Niel Gan",307
03/15/26 12:13 PM,4,"Matthew O'Connor",384,"Richard Buck",383
03/15/26 01:04 PM,5,"Richard Buck",427,"Niel Gan",415
03/15/26 01:10 PM,5,"Matthew O'Connor",405,"Brad Whitmarsh",392
03/15/26 01:51 PM,6,"Niel Gan",407,"Richard Buck",360
03/15/26 01:56 PM,6,"Brad Whitmarsh",488,"Matthew O'Connor",477
