"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
09/20/26 02:27 PM,6,"Niel Gan","437","Jamie Ryan","353"
09/20/26 02:23 PM,6,"Matthew O'Connor","565","Adam Logan","426"
09/20/26 01:35 PM,5,"Jamie Ryan","460","Niel Gan","374"
09/20/26 01:34 PM,5,"Matthew O'Connor","438","Adam Logan","318"
09/20/26 12:39 PM,4,"Jamie Ryan","427","Adam Logan","358"
09/20/26 12:39 PM,4,"Niel Gan","499","Matthew O'Connor","418"
09/20/26 12:23 PM,3,"Niel Gan","446","Matthew O'Connor","423"
09/20/26 11:32 AM,3,"Adam Logan","615","Jamie Ryan","364"
09/20/26 10:06 AM,2,"Adam Logan","507","Niel Gan","329"
09/20/26 10:01 AM,2,"Jamie Ryan","418","Matthew O'Connor","378"
09/20/26 09:06 AM,1,"Matthew O'Connor","517","Jamie Ryan","384"
09/20/26 08:55 AM,1,"Adam Logan","419","Niel Gan","364"
