Submitted On	Round	Winner	Winners Score	Opponent	Opponents Score	Opponent Affirmation
03/12/2022 10:36:47	1	Dave Wiegand	499	Sandy Nang	384	Confirmed!
03/12/2022 10:43:11	1	Evans Clinchy	414	Stefan Kac	366	Confirmed!
03/12/2022 10:46:08	1	David Whitley	479	Christopher Grubb	429	Confirmed!
03/12/2022 10:47:41	1	Puneet Sharma	461	Conrad Bassett-Bouchard	419	Confirmed!
03/12/2022 10:48:01	1	Jesse Day	527	Yukiko Loritz	391	Confirmed!
03/12/2022 11:42:07	2	Puneet Sharma	489	Yukiko Loritz	259	Confirmed!
03/12/2022 11:43:18	2	Dave Wiegand	493	Stefan Kac	385	Confirmed!
03/12/2022 11:45:02	2	Conrad Bassett-Bouchard	543	Christopher Grubb	496	Confirmed!
03/12/2022 11:47:22	2	David Whitley	389	Evans Clinchy	354	Confirmed!
03/12/2022 11:51:53	2	Jesse Day	513	Sandy Nang	356	Confirmed!
03/12/2022 12:43:26	3	David Whitley	503	Dave Wiegand	331	Confirmed!
03/12/2022 12:45:59	3	Stefan Kac	506	Sandy Nang	417	Confirmed!
03/12/2022 12:49:37	3	Conrad Bassett-Bouchard	460	Evans Clinchy	434	Confirmed!
03/12/2022 12:53:47	3	Christopher Grubb	410	Yukiko Loritz	403	Confirmed!
03/12/2022 12:56:24	3	Jesse Day	519	Puneet Sharma	348	Confirmed!
03/12/2022 13:39:37	4	Evans Clinchy	419	Yukiko Loritz	400	Confirmed!
03/12/2022 13:45:11	4	Dave Wiegand	504	Conrad Bassett-Bouchard	428	Confirmed!
03/12/2022 13:45:18	4	David Whitley	341	Sandy Nang	295	Confirmed!
03/12/2022 13:54:10	4	Christopher Grubb	492	Puneet Sharma	391	Confirmed!
03/12/2022 13:56:20	4	Stefan Kac	515	Jesse Day	362	Confirmed!
03/12/2022 15:34:50	5	Conrad Bassett-Bouchard	486	Sandy Nang	310	Confirmed!
03/12/2022 15:49:32	5	Dave Wiegand	514	Yukiko Loritz	461	Confirmed!
03/12/2022 15:59:22	5	Evans Clinchy	467	Puneet Sharma	336	Confirmed!
03/12/2022 16:05:31	5	David Whitley	442	Stefan Kac	440	Confirmed!
03/12/2022 16:18:03	5	Christopher Grubb	442	Jesse Day	336	Confirmed!
03/12/2022 16:44:23	6	Sandy Nang	437	Yukiko Loritz	406	Confirmed!
03/12/2022 16:54:59	6	Conrad Bassett-Bouchard	442	Stefan Kac	420	Confirmed!
03/12/2022 16:56:51	6	Dave Wiegand	501	Puneet Sharma	375	Confirmed!
03/12/2022 17:01:12	6	Evans Clinchy	501	Christopher Grubb	354	Confirmed!
03/12/2022 17:12:41	6	Jesse Day	511	David Whitley	348	Confirmed!
03/12/2022 17:47:37	7	Stefan Kac	427	Yukiko Loritz	378	Confirmed!
03/12/2022 17:51:51	7	Puneet Sharma	432	Sandy Nang	422	Confirmed!
03/12/2022 17:52:54	7	Conrad Bassett-Bouchard	530	David Whitley	378	Confirmed!
03/12/2022 17:59:06	7	Christopher Grubb	516	Dave Wiegand	483	Confirmed!
03/12/2022 18:03:48	7	Jesse Day	490	Evans Clinchy	452	Confirmed!
03/12/2022 18:41:23	8	Evans Clinchy	479	Dave Wiegand	413	Confirmed!
03/12/2022 18:46:22	8	David Whitley	446	Yukiko Loritz	444	Confirmed!
03/12/2022 18:47:32	8	Christopher Grubb	461	Sandy Nang	397	Confirmed!
03/12/2022 19:00:57	8	Jesse Day	521	Conrad Bassett-Bouchard	387	Confirmed!
03/12/2022 19:04:33	8	Stefan Kac	418	Puneet Sharma	362	Confirmed!
03/13/2022 10:01:39	9	Evans Clinchy	459	Sandy Nang	425	Confirmed!
03/13/2022 10:22:10	9	Dave Wiegand	480	Jesse Day	403	Confirmed!
03/13/2022 10:23:19	9	Puneet Sharma	463	David Whitley	433	Confirmed!
03/13/2022 10:23:47	9	Conrad Bassett-Bouchard	404	Yukiko Loritz	392	Confirmed!
03/13/2022 10:25:30	9	Stefan Kac	509	Christopher Grubb	332	Confirmed!
03/13/2022 11:08:27	10	Dave Wiegand	570	Evans Clinchy	408	Confirmed!
03/13/2022 11:24:32	10	David Whitley	420	Stefan Kac	400	Confirmed!
03/13/2022 11:25:59	10	Yukiko Loritz	462	Sandy Nang	356	Confirmed!
03/13/2022 11:26:01	10	Christopher Grubb	572	Puneet Sharma	353	Confirmed!
03/13/2022 11:35:15	10	Conrad Bassett-Bouchard	532	Jesse Day	383	Confirmed!
