Name,Rating
Wellington Jighere,2033
Josh Sokol,1949
Jesse Day,1935
Kevin Fraley,1875
Chris Lipe,1873
Rasheed Balogun,1828
Rob Robinsky,1825
Brad Whitmarsh,1752
John O'Laughlin,1716
Mohammad Sulaiman,1710
Becky Dyer,1694
David Whitley,1690
Yukiko Loritz,1619
Bruce Ward,1548
Ethan Joseph,1518
Carson Ip,1513
Terry Kang,1467
Bharath Balakrishnan,1442
Randi Goldberg,1436
Martin DeMello,1436
Anuj Shetty,1400
Gary Smart,1399
Jennifer Clinchy,1354
Paula Catanese,1336
Joe Roberdeau,1306
KC Frodyma,1296
Peter Dolgenos,1267
Robin Levin,1239
Ather Sharif,1222
Cheryl Melvin,1172
Jeannie Wilson,1143
Sridhar Paidikondala,1108
Andrea Hatch,1091
