Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
12/06/24 10:42 AM,1,KC Frodyma,442,Bharath Balakrishnan,426
12/06/24 10:45 AM,1,Randi Goldberg,421,Anuj Shetty,380
12/06/24 10:45 AM,1,Ethan Joseph,488,Brad Whitmarsh,311
12/06/24 10:45 AM,1,Chris Lipe,484,Jeannie Wilson,256
12/06/24 10:45 AM,1,Peter Dolgenos,416,Jennifer Clinchy,401
12/06/24 10:45 AM,1,Ather Sharif,451,Paula Catanese,445
12/06/24 10:45 AM,1,Jesse Day,489,Andrea Hatch,311
12/06/24 10:47 AM,1,Gary Smart,522,Joe Roberdeau,375
12/06/24 10:50 AM,1,Kevin Fraley,367,John O'Laughlin,253
12/06/24 10:54 AM,1,Yukiko Loritz,465,Mohammad Sulaiman,461
12/06/24 11:08 AM,2,Wellington Jighere,561,Peter Dolgenos,262
12/06/24 11:14 AM,2,Rasheed Balogun,442,Robin Levin,375
12/06/24 11:21 AM,2,Bruce Ward,512,Cheryl Melvin,299
12/06/24 11:23 AM,2,Bharath Balakrishnan,513,Becky Dyer,364
12/06/24 11:32 AM,2,Ethan Joseph,410,Jeannie Wilson,338
12/06/24 11:33 AM,2,Gary Smart,539,Brad Whitmarsh,343
12/06/24 11:34 AM,2,Chris Lipe,545,Joe Roberdeau,318
12/06/24 11:39 AM,2,Martin DeMello,494,Rob Robinsky,468
12/06/24 11:42 AM,1,Martin DeMello,455,Robin Levin,333
12/06/24 11:43 AM,2,Josh Sokol,463,KC Frodyma,447
12/06/24 11:44 AM,3,Rob Robinsky,50,Bye,0
12/06/24 11:46 AM,2,Andrea Hatch,388,Randi Goldberg,353
12/06/24 11:46 AM,2,John O'Laughlin,471,Carson Ip,322
12/06/24 11:47 AM,2,Yukiko Loritz,505,Sridhar Paidikondala,360
12/06/24 11:47 AM,2,Anuj Shetty,427,Kevin Fraley,397
12/06/24 11:49 AM,2,Mohammad Sulaiman,439,Jennifer Clinchy,434
12/06/24 11:51 AM,2,David Whitley,453,Ather Sharif,414
12/06/24 11:52 AM,2,Jesse Day,480,Paula Catanese,459
12/06/24 12:06 PM,3,Terry Kang,420,Robin Levin,327
12/06/24 12:09 PM,3,Becky Dyer,506,Cheryl Melvin,295
12/06/24 12:20 PM,3,Chris Lipe,409,Gary Smart,310
12/06/24 12:22 PM,3,Rasheed Balogun,556,Martin DeMello,364
12/06/24 12:27 PM,3,KC Frodyma,506,Bruce Ward,438
12/06/24 12:28 PM,3,Brad Whitmarsh,485,Jeannie Wilson,351
12/06/24 12:30 PM,3,Ethan Joseph,475,Joe Roberdeau,466
12/06/24 12:32 PM,3,Bharath Balakrishnan,509,Josh Sokol,389
12/06/24 12:32 PM,3,Wellington Jighere,483,Jennifer Clinchy,288
12/06/24 12:35 PM,1,Bruce Ward,422,Becky Dyer,347
12/06/24 12:36 PM,1,Josh Sokol,542,Cheryl Melvin,319
12/06/24 12:39 PM,3,Peter Dolgenos,501,Yukiko Loritz,381
12/06/24 12:45 PM,3,Kevin Fraley,568,Andrea Hatch,246
12/06/24 12:46 PM,3,Carson Ip,472,Anuj Shetty,293
