"Name","Rating"
"Wellington Jighere",2061
"Conrad Bassett-Bouchard",1958
"Enoch Nwali",1945
"Ben Schoenbrun",1928
"Edgar Odongkara",1927
"Kevin Fraley",1896
"Evans Clinchy",1847
"Chris Lipe",1824
"Rasheed Balogun",1803
"John O'Laughlin",1788
"Joel Wapnick",1759
"Rob Robinsky",1701
"Tim Weiss",1679
"Mehul Arora",1677
"Yukiko Loritz",1601
"Carson Ip",1597
"Bharath Balakrishnan",1590
"Martin DeMello",1556
"Mary Stevens",1457
"Bruce Ward",1454
"Gary Smart",1449
"Anuj Shetty",1442
"Pamina Deutsch",1410
"Zachary Dang",1337
"Randi Goldberg",1333
"Sridhar Paidikondala",1326
"Jane Geary",1317
"Paula Catanese",1311
"Loreta Paelmo",1272
"Robin Levin",1289
"Bruce Baginski",1287
"Buffy Hogan",1175
"Andrea Hatch",1163
"Jeannie Wilson",1143
"Cheryl Melvin",1128
"Caroline Polak Scowcroft",1095
