Submitted On	Round	Winner	Winners Score	Opponent	Opponents Score	Opponent Affirmation
12/11/2021 9:49:58	1	Dave Wiegand	491	Alec Sjöholm	416	Confirmed!
12/11/2021 9:53:36	1	Rasheed Balogun	534	Betty Cornelison	319	Confirmed!
12/11/2021 9:58:05	1	Lola McKissen	399	Evans Clinchy	359	Confirmed!
12/11/2021 9:58:58	1	Puneet Sharma	443	Sandy Nang	329	Confirmed!
12/11/2021 10:00:42	1	Ruth Hamilton	391	Christopher Grubb	338	Confirmed!
12/11/2021 10:01:02	1	David Whitley	436	Ayotunde Adeyeri	417	Confirmed!
12/11/2021 10:05:05	1	Peter Armstrong	511	Jennifer Clinchy	404	Confirmed!
12/11/2021 10:41:56	2	Alec Sjöholm	572	Betty Cornelison	310	Confirmed!
12/11/2021 10:45:37	2	Dave Wiegand	540	Ayotunde Adeyeri	326	Confirmed!
12/11/2021 10:47:38	2	David Whitley	544	Lola McKissen	271	Confirmed!
12/11/2021 10:49:40	2	Rasheed Balogun	395	Ruth Hamilton	376	Confirmed!
12/11/2021 11:05:03	2	Peter Armstrong	484	Puneet Sharma	372	Confirmed!
12/11/2021 11:06:02	2	Christopher Grubb	426	Sandy Nang	308	Confirmed!
12/11/2021 11:07:24	2	Evans Clinchy	502	Jennifer Clinchy	330	Confirmed!
12/11/2021 11:33:09	3	Dave Wiegand	529	Betty Cornelison	349	Confirmed!
12/11/2021 11:36:14	3	Ayotunde Adeyeri	512	Lola McKissen	325	Confirmed!
12/11/2021 11:37:23	3	Alec Sjöholm	524	Ruth Hamilton	500	Confirmed!
12/11/2021 11:59:04	3	David Whitley	435	Jennifer Clinchy	365	Confirmed!
12/11/2021 11:59:49	3	Evans Clinchy	457	Puneet Sharma	359	Confirmed!
12/11/2021 12:00:35	3	Rasheed Balogun	433	Sandy Nang	264	Confirmed!
12/11/2021 12:05:42	3	Peter Armstrong	460	Christopher Grubb	448	Confirmed!
12/11/2021 12:22:39	4	Dave Wiegand	559	Lola McKissen	264	Confirmed!
12/11/2021 12:23:27	4	Ruth Hamilton	406	Betty Cornelison	333	Confirmed!
12/11/2021 12:39:18	4	Alec Sjöholm	565	Sandy Nang	400	Confirmed!
12/11/2021 12:55:03	4	Evans Clinchy	514	Christopher Grubb	339	Confirmed!
12/11/2021 12:58:20	4	Puneet Sharma	440	David Whitley	393	Confirmed!
12/11/2021 13:03:55	4	Jennifer Clinchy	411	Ayotunde Adeyeri	391	Confirmed!
12/11/2021 13:09:28	4	Peter Armstrong	492	Rasheed Balogun	331	Confirmed!
12/11/2021 14:05:58	5	Dave Wiegand	559	Ruth Hamilton	267	Confirmed!
12/11/2021 14:16:58	5	Alec Sjöholm	428	Peter Armstrong	283	Confirmed!
12/11/2021 14:19:23	5	Ayotunde Adeyeri	567	Puneet Sharma	284	Confirmed!
12/11/2021 14:23:59	5	Jennifer Clinchy	502	Lola McKissen	362	Confirmed!
12/11/2021 14:27:40	5	Sandy Nang	437	Betty Cornelison	366	Confirmed!
12/11/2021 14:30:49	5	Christopher Grubb	491	David Whitley	389	Confirmed!
12/11/2021 14:35:34	5	Evans Clinchy	372	Rasheed Balogun	356	Confirmed!
12/11/2021 15:08:53	6	David Whitley	575	Rasheed Balogun	379	Confirmed!
12/11/2021 15:13:08	6	Christopher Grubb	525	Ayotunde Adeyeri	349	Confirmed!
12/11/2021 15:13:51	6	Puneet Sharma	592	Lola McKissen	424	Confirmed!
12/11/2021 15:16:03	6	Ruth Hamilton	569	Sandy Nang	298	Confirmed!
12/11/2021 15:19:05	6	Peter Armstrong	556	Betty Cornelison	388	Confirmed!
12/11/2021 15:22:52	6	Alec Sjöholm	478	Evans Clinchy	373	Confirmed!
12/11/2021 15:36:16	6	Jennifer Clinchy	387	Dave Wiegand	355	Confirmed!
12/11/2021 16:06:01	7	Rasheed Balogun	413	Ayotunde Adeyeri	366	Confirmed!
12/11/2021 16:09:03	7	Alec Sjöholm	463	David Whitley	449	Confirmed!
12/11/2021 16:13:59	7	Christopher Grubb	527	Lola McKissen	357	Confirmed!
12/11/2021 16:17:07	7	Ruth Hamilton	443	Peter Armstrong	419	Confirmed!
12/11/2021 16:25:11	7	Sandy Nang	487	Dave Wiegand	449	Confirmed!
12/11/2021 16:29:19	7	Betty Cornelison	371	Evans Clinchy	339	Confirmed!
12/11/2021 16:31:09	7	Puneet Sharma	432	Jennifer Clinchy	340	Confirmed!
12/11/2021 16:56:48	8	Alec Sjöholm	508	Ayotunde Adeyeri	421	Confirmed!
12/11/2021 16:59:40	8	Lola McKissen	417	Rasheed Balogun	411	Confirmed!
12/11/2021 17:17:13	8	David Whitley	532	Betty Cornelison	364	Confirmed!
12/11/2021 17:24:02	8	Christopher Grubb	446	Jennifer Clinchy	408	Confirmed!
12/11/2021 17:25:54	8	Peter Armstrong	502	Sandy Nang	375	Confirmed!
12/11/2021 17:29:04	8	Puneet Sharma	430	Dave Wiegand	419	Confirmed!
12/11/2021 17:34:02	8	Ruth Hamilton	442	Evans Clinchy	371	Confirmed!
12/12/2021 9:42:58	9	Alec Sjöholm	592	Lola McKissen	362	Confirmed!
12/12/2021 9:51:04	9	Ayotunde Adeyeri	457	Betty Cornelison	375	Confirmed!
12/12/2021 9:51:53	9	Evans Clinchy	436	Sandy Nang	353	Confirmed!
12/12/2021 9:55:03	9	Rasheed Balogun	502	Jennifer Clinchy	329	Confirmed!
12/12/2021 9:58:21	9	Dave Wiegand	496	Peter Armstrong	446	Confirmed!
12/12/2021 9:59:30	9	Ruth Hamilton	364	David Whitley	363	Confirmed!
12/12/2021 10:06:54	9	Puneet Sharma	456	Christopher Grubb	410	Confirmed!
12/12/2021 10:44:20	10	Lola McKissen	465	Betty Cornelison	285	Confirmed!
12/12/2021 10:46:31	10	Alec Sjöholm	524	Jennifer Clinchy	450	Confirmed!
12/12/2021 10:47:02	10	David Whitley	505	Sandy Nang	339	Confirmed!
12/12/2021 10:51:22	10	Dave Wiegand	487	Christopher Grubb	338	Confirmed!
12/12/2021 10:51:46	10	Evans Clinchy	522	Peter Armstrong	377	Confirmed!
12/12/2021 10:54:24	10	Ayotunde Adeyeri	455	Ruth Hamilton	452	Confirmed!
12/12/2021 10:57:19	10	Rasheed Balogun	558	Puneet Sharma	414	Confirmed!
12/12/2021 11:41:39	11	Ayotunde Adeyeri	452	Sandy Nang	377	Confirmed!
12/12/2021 11:48:05	11	Dave Wiegand	475	Evans Clinchy	458	Confirmed!
12/12/2021 11:48:55	11	Jennifer Clinchy	531	Betty Cornelison	308	Confirmed!
12/12/2021 11:49:30	11	Alec Sjöholm	492	Puneet Sharma	382	Confirmed!
12/12/2021 11:49:36	11	Ruth Hamilton	379	Lola McKissen	353	Confirmed!
12/12/2021 11:55:43	11	David Whitley	473	Peter Armstrong	415	Confirmed!
12/12/2021 11:56:02	11	Christopher Grubb	489	Rasheed Balogun	409	Confirmed!
12/12/2021 12:42:21	12	Sandy Nang	498	Lola McKissen	309	Confirmed!
12/12/2021 12:44:22	12	Christopher Grubb	511	Alec Sjöholm	398	Confirmed!
