Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
44765.47213,1,David Whitley,532,Walker Willingham,396
44765.4902,1,Jesse Day,577,Bharath Balakrishnan,300
44765.49049,2,Jesse Day,531,Bharath Balakrishnan,449
44765.50299,1,Conrad Bassett-Bouchard,471,Jennifer Clinchy,441
44765.50326,2,Conrad Bassett-Bouchard,524,Jennifer Clinchy,362
44765.50815,2,David Whitley,465,Walker Willingham,387
44765.50955,1,Cecilia Le,504,Evans Clinchy,374
44765.51013,2,Cecilia Le,484,Evans Clinchy,410
44765.54098,3,Bharath Balakrishnan,443,Walker Willingham,379
44765.54913,3,Jesse Day,489,Jennifer Clinchy,290
44765.55008,3,Conrad Bassett-Bouchard,422,Cecilia Le,389
44765.55546,3,David Whitley,506,Evans Clinchy,409
44765.6055,4,Conrad Bassett-Bouchard,497,Cecilia Le,347
44765.60843,4,David Whitley,495,Evans Clinchy,442
44765.60883,4,Bharath Balakrishnan,545,Walker Willingham,283
44765.62291,4,Jesse Day,471,Jennifer Clinchy,346
44765.64006,5,Conrad Bassett-Bouchard,459,David Whitley,404
44765.66225,5,Cecilia Le,433,Jennifer Clinchy,393
44765.6624,5,Jesse Day,563,Walker Willingham,278
44765.66943,6,Conrad Bassett-Bouchard,473,David Whitley,373
44765.678,6,Bharath Balakrishnan,497,Evans Clinchy,459
44765.69444,6,Jesse Day,521,Walker Willingham,418
44765.70063,7,Bharath Balakrishnan,548,Conrad Bassett-Bouchard,454
44765.70279,6,Cecilia Le,488,Jennifer Clinchy,437
44765.70399,5,Evans Clinchy,519,Bharath Balakrishnan,430
44765.74259,7,Jennifer Clinchy,446,David Whitley,443
44765.74597,7,Evans Clinchy,518,Walker Willingham,371
44765.74899,7,Cecilia Le,425,Jesse Day,415
44766.45598,8,Conrad Bassett-Bouchard,530,Bharath Balakrishnan,378
44766.46531,8,Evans Clinchy,512,Walker Willingham,291
44766.47014,8,David Whitley,468,Jennifer Clinchy,333
44766.47188,8,Cecilia Le,477,Jesse Day,438
44766.49513,9,Conrad Bassett-Bouchard,574,Walker Willingham,311
44766.5066,9,Bharath Balakrishnan,500,Jennifer Clinchy,369
44766.51836,9,Cecilia Le,450,David Whitley,430
44766.53133,10,Conrad Bassett-Bouchard,545,Walker Willingham,313
44766.54795,10,Bharath Balakrishnan,443,Jennifer Clinchy,381
44766.54969,10,David Whitley,529,Cecilia Le,395
44766.56146,10,Jesse Day,467,Evans Clinchy,345
44766.56223,9,Evans Clinchy,489,Jesse Day,482
44766.62348,11,Evans Clinchy,491,Conrad Bassett-Bouchard,457
44766.62993,11,Cecilia Le,422,Bharath Balakrishnan,402
44766.63182,11,David Whitley,510,Jesse Day,453
44766.63226,11,Walker Willingham,481,Jennifer Clinchy,337
44766.66185,12,Conrad Bassett-Bouchard,486,Evans Clinchy,397
44766.66455,12,Bharath Balakrishnan,424,Cecilia Le,362
44766.6725,12,Jesse Day,487,David Whitley,289
44766.67657,12,Jennifer Clinchy,388,Walker Willingham,324
44766.70168,13,David Whitley,441,Bharath Balakrishnan,308
44766.71748,13,Jennifer Clinchy,435,Evans Clinchy,408
44766.71903,13,Cecilia Le,436,Walker Willingham,417
44766.73286,14,David Whitley,445,Bharath Balakrishnan,420
44766.74662,13,Conrad Bassett-Bouchard,478,Jesse Day,334
44766.74698,14,Conrad Bassett-Bouchard,470,Jesse Day,362
44766.75608,14,Jennifer Clinchy,550,Evans Clinchy,445
44766.7592,14,Walker Willingham,428,Cecilia Le,391
