"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
05/24/25 09:36 AM,1,"Dave Wiegand",666,"Betty Cornelison",295
05/24/25 09:42 AM,1,"John O'Laughlin",563,"Ruth Hamilton",368
05/24/25 09:52 AM,1,"Alec Sjöholm",418,"Eric Fox",337
05/24/25 09:57 AM,1,"Carson Ip",350,"Bharath Balakrishnan",350
05/24/25 09:59 AM,1,"Travis Chaney",371,"Jennifer Clinchy",353
05/24/25 10:06 AM,1,"Jane Geary",438,"Christopher Grubb",414
05/24/25 10:36 AM,2,"Ruth Hamilton",411,"Alec Sjöholm",386
05/24/25 10:39 AM,2,"Eric Fox",564,"Dave Wiegand",392
05/24/25 10:43 AM,2,"Carson Ip",391,"Travis Chaney",378
05/24/25 10:56 AM,2,"John O'Laughlin",414,"Bharath Balakrishnan",339
05/24/25 11:02 AM,2,"Christopher Grubb",545,"Jennifer Clinchy",461
05/24/25 11:07 AM,2,"Betty Cornelison",472,"Jane Geary",386
05/24/25 11:40 AM,3,"Alec Sjöholm",584,"Bharath Balakrishnan",323
05/24/25 11:41 AM,3,"John O'Laughlin",496,"Travis Chaney",387
05/24/25 11:43 AM,3,"Ruth Hamilton",391,"Eric Fox",357
05/24/25 11:51 AM,3,"Dave Wiegand",505,"Jane Geary",355
05/24/25 11:54 AM,3,"Christopher Grubb",473,"Carson Ip",364
05/24/25 11:55 AM,3,"Jennifer Clinchy",434,"Betty Cornelison",392
05/24/25 12:18 PM,4,"Alec Sjöholm",491,"Travis Chaney",362
05/24/25 12:34 PM,4,"Bharath Balakrishnan",453,"Eric Fox",327
05/24/25 12:37 PM,4,"Dave Wiegand",486,"Ruth Hamilton",332
05/24/25 12:45 PM,4,"Carson Ip",422,"Betty Cornelison",383
05/24/25 12:55 PM,4,"Christopher Grubb",409,"John O'Laughlin",407
05/24/25 12:56 PM,4,"Jennifer Clinchy",406,"Jane Geary",400
05/24/25 02:55 PM,5,"Eric Fox",390,"Travis Chaney",343
05/24/25 03:00 PM,5,"Dave Wiegand",444,"Jennifer Clinchy",375
05/24/25 03:01 PM,5,"Ruth Hamilton",480,"Bharath Balakrishnan",412
05/24/25 03:06 PM,5,"Carson Ip",407,"Jane Geary",358
05/24/25 03:06 PM,5,"Alec Sjöholm",421,"Christopher Grubb",391
