"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
10/25/25 11:04 AM,1,"Dave Wiegand",482,"Alec Sjöholm",399
10/25/25 11:10 AM,1,"Christopher Grubb",568,"Carson Ip",415
10/25/25 11:14 AM,1,"John O'Laughlin",468,"Norman Lemoine",324
10/25/25 11:17 AM,1,"David Whitley",457,"Rob Robinsky",438
10/25/25 11:18 AM,1,"Evans Clinchy",507,"Chris Wiegand",303
10/25/25 11:59 AM,2,"Dave Wiegand",573,"Chris Wiegand",259
10/25/25 12:02 PM,2,"Alec Sjöholm",559,"Norman Lemoine",299
10/25/25 12:13 PM,2,"Carson Ip",399,"Evans Clinchy",389
10/25/25 12:15 PM,2,"John O'Laughlin",534,"Rob Robinsky",334
10/25/25 12:17 PM,2,"David Whitley",447,"Christopher Grubb",332
10/25/25 01:05 PM,3,"Alec Sjöholm",529,"Rob Robinsky",457
10/25/25 01:07 PM,3,"Chris Wiegand",483,"Norman Lemoine",422
10/25/25 01:08 PM,3,"Christopher Grubb",492,"John O'Laughlin",397
10/25/25 01:15 PM,3,"Carson Ip",478,"Dave Wiegand",450
10/25/25 01:16 PM,3,"Evans Clinchy",541,"David Whitley",375
10/25/25 03:12 PM,4,"Dave Wiegand",519,"David Whitley",380
10/25/25 03:13 PM,4,"Christopher Grubb",502,"Alec Sjöholm",405
10/25/25 03:21 PM,4,"Carson Ip",604,"Norman Lemoine",289
10/25/25 03:28 PM,4,"Evans Clinchy",493,"John O'Laughlin",322
10/25/25 03:28 PM,4,"Chris Wiegand",469,"Rob Robinsky",403
10/25/25 04:13 PM,5,"Alec Sjöholm",652,"Evans Clinchy",279
10/25/25 04:15 PM,5,"Dave Wiegand",586,"John O'Laughlin",312
10/25/25 04:20 PM,5,"David Whitley",451,"Norman Lemoine",385
10/25/25 04:24 PM,5,"Rob Robinsky",454,"Carson Ip",375
10/25/25 04:29 PM,5,"Christopher Grubb",553,"Chris Wiegand",217
10/25/25 05:15 PM,6,"John O'Laughlin",538,"Chris Wiegand",302
10/25/25 05:16 PM,6,"Evans Clinchy",524,"Christopher Grubb",380
10/25/25 05:16 PM,6,"Alec Sjöholm",426,"Dave Wiegand",418
10/25/25 05:27 PM,6,"David Whitley",515,"Norman Lemoine",360
10/25/25 05:30 PM,6,"Carson Ip",421,"Rob Robinsky",336
10/25/25 06:14 PM,7,"Alec Sjöholm",440,"Dave Wiegand",350
10/25/25 06:23 PM,7,"David Whitley",476,"Carson Ip",466
10/25/25 06:26 PM,7,"Christopher Grubb",534,"Evans Clinchy",292
10/25/25 06:26 PM,7,"John O'Laughlin",452,"Rob Robinsky",413
10/25/25 06:29 PM,7,"Norman Lemoine",439,"Chris Wiegand",411
