Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
45199.50218,1,Rob Robinsky,526,Ruth Hamilton,338
45199.50318,1,Alec Sjöholm,386,Eric Fox,378
45199.50374,1,Evans Clinchy,522,Bharath Balakrishnan,431
45199.50973,1,Christopher Grubb,393,Gunther Jacobi,359
45199.51453,1,Peter Armstrong,469,Jennifer Clinchy,337
45199.53541,2,Alec Sjöholm,484,Bharath Balakrishnan,339
45199.54351,2,Ruth Hamilton,402,Eric Fox,335
45199.55704,2,Christopher Grubb,517,Peter Armstrong,380
45199.55816,2,Rob Robinsky,563,Jennifer Clinchy,311
45199.56023,2,Evans Clinchy,458,Gunther Jacobi,417
45199.62655,3,Bharath Balakrishnan,447,Ruth Hamilton,438
45199.63553,3,Alec Sjöholm,496,Gunther Jacobi,404
45199.65303,3,Rob Robinsky,446,Christopher Grubb,446
45199.66115,3,Peter Armstrong,502,Evans Clinchy,479
45199.66258,3,Jennifer Clinchy,381,Eric Fox,279
45199.69156,4,Ruth Hamilton,459,Gunther Jacobi,374
45199.69495,4,Alec Sjöholm,509,Peter Armstrong,453
45199.69771,4,Bharath Balakrishnan,454,Jennifer Clinchy,369
45199.69872,4,Evans Clinchy,417,Rob Robinsky,357
45199.70096,4,Christopher Grubb,437,Eric Fox,391
45199.72703,5,Bharath Balakrishnan,538,Christopher Grubb,384
45199.73441,5,Alec Sjöholm,442,Rob Robinsky,434
45199.73913,5,Evans Clinchy,514,Eric Fox,364
45199.73975,5,Gunther Jacobi,414,Jennifer Clinchy,400
45199.73975,5,Peter Armstrong,477,Ruth Hamilton,461
45199.77524,6,Alec Sjöholm,521,Evans Clinchy,372
45199.77747,6,Eric Fox,408,Jennifer Clinchy,360
45199.77757,6,Christopher Grubb,472,Bharath Balakrishnan,359
45199.78078,6,Gunther Jacobi,441,Ruth Hamilton,379
45199.78704,6,Rob Robinsky,460,Peter Armstrong,459
