"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
04/12/26 09:00 AM,1,"Matthew O'Connor",477,"Easton Singer",329
04/12/26 09:04 AM,1,"Brad Whitmarsh",484,"Jamie Ryan",416
04/12/26 09:53 AM,2,"Jamie Ryan",502,"Matthew O'Connor",367
04/12/26 10:06 AM,2,"Niel Gan",465,"Brad Whitmarsh",345
04/12/26 11:08 AM,3,"Niel Gan",466,"Jamie Ryan",461
04/12/26 11:12 AM,3,"Easton Singer",489,"Brad Whitmarsh",401
04/12/26 12:51 PM,4,"Jamie Ryan",439,"Easton Singer",318
04/12/26 12:52 PM,4,"Matthew O'Connor",442,"Niel Gan",437
04/12/26 12:55 PM,1,"Niel Gan",432,"Matt Zeleznik",306
04/12/26 12:57 PM,2,"Matt Zeleznik",507,"Easton Singer",327
04/12/26 12:59 PM,3,"Matthew O'Connor",461,"Matt Zeleznik",431
04/12/26 01:00 PM,4,"Brad Whitmarsh",504,"Matt Zeleznik",338
04/12/26 01:50 PM,5,"Brad Whitmarsh",498,"Matthew O'Connor",455
04/12/26 01:57 PM,5,"Niel Gan",422,"Easton Singer",246
04/12/26 01:58 PM,5,"Jamie Ryan",410,"Matt Zeleznik",330
04/12/26 02:41 PM,6,"Brad Whitmarsh",421,"Matthew O'Connor",328
04/12/26 02:54 PM,6,"Niel Gan",512,"Jamie Ryan",431
04/12/26 03:00 PM,6,"Matt Zeleznik",425,"Easton Singer",383
