"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
02/22/26 08:30 AM,1,"Matthew O'Connor",536,"Shannon Constantine",296
02/22/26 08:50 AM,1,"Niel Gan",438,"Richard Buck",344
02/22/26 08:54 AM,1,"Brad Whitmarsh",380,"Justin Morris",355
02/22/26 09:35 AM,2,"Richard Buck",550,"Shannon Constantine",248
02/22/26 09:46 AM,2,"Justin Morris",379,"Matthew O'Connor",364
02/22/26 09:54 AM,2,"Brad Whitmarsh",502,"Niel Gan",446
02/22/26 10:32 AM,3,"Richard Buck",495,"Matthew O'Connor",422
02/22/26 10:49 AM,3,"Niel Gan",364,"Justin Morris",358
02/22/26 10:51 AM,3,"Brad Whitmarsh",464,"Shannon Constantine",349
02/22/26 11:46 AM,4,"Matthew O'Connor",462,"Niel Gan",376
02/22/26 11:56 AM,4,"Justin Morris",459,"Shannon Constantine",355
02/22/26 12:06 PM,4,"Brad Whitmarsh",375,"Richard Buck",365
02/22/26 12:52 PM,5,"Niel Gan",557,"Shannon Constantine",373
02/22/26 12:55 PM,5,"Brad Whitmarsh",532,"Matthew O'Connor",485
02/22/26 12:57 PM,5,"Richard Buck",444,"Justin Morris",310
02/22/26 01:38 PM,6,"Matthew O'Connor",565,"Justin Morris",359
02/22/26 01:46 PM,6,"Brad Whitmarsh",584,"Shannon Constantine",295
02/22/26 01:57 PM,6,"Richard Buck",395,"Niel Gan",383
