Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
06/10/2023 8:24:24,1,Jason Keller,481,Chris Lipe,369
06/10/2023 8:25:01,1,Brian Bowman,505,Randi Goldberg,316
06/10/2023 9:20:52,2,Chris Lipe,501,Brian Bowman,416
06/10/2023 9:22:33,2,Jason Keller,481,Randi Goldberg,330
06/10/2023 10:19:41,3,Jason Keller,500,Brian Bowman,323
06/10/2023 10:24:27,3,Chris Lipe,450,Randi Goldberg,369
06/10/2023 11:17:52,4,Jason Keller,462,Chris Lipe,390
06/10/2023 11:20:12,4,Brian Bowman,426,Randi Goldberg,346
06/10/2023 13:42:33,5,Jason Keller,442,Randi Goldberg,393
06/10/2023 13:46:06,5,Brian Bowman,475,Chris Lipe,326
06/10/2023 14:32:45,6,Randi Goldberg,491,Chris Lipe,422
06/10/2023 14:38:58,6,Brian Bowman,538,Jason Keller,452
06/10/2023 15:21:34,7,Jason Keller,535,Chris Lipe,403
06/10/2023 15:45:20,7,Brian Bowman,456,Randi Goldberg,415
06/10/2023 16:34:21,8,Jason Keller,467,Randi Goldberg,425
06/10/2023 16:34:43,8,Chris Lipe,413,Brian Bowman,394
06/10/2023 17:25:08,9,Jason Keller,475,Brian Bowman,289
06/10/2023 17:34:22,9,Chris Lipe,482,Randi Goldberg,377
06/11/2023 8:04:34,10,Chris Lipe,411,Jason Keller,388
06/11/2023 8:05:58,10,Brian Bowman,554,Randi Goldberg,266
06/11/2023 8:59:20,11,Chris Lipe,478,Brian Bowman,446
06/11/2023 9:01:10,11,Jason Keller,401,Randi Goldberg,283
06/11/2023 9:53:28,12,Chris Lipe,499,Randi Goldberg,364
06/11/2023 10:00:26,12,Brian Bowman,470,Jason Keller,407
06/11/2023 10:51:26,13,Jason Keller,561,Brian Bowman,416
06/11/2023 10:55:24,13,Chris Lipe,509,Randi Goldberg,279
06/11/2023 11:48:25,14,Brian Bowman,390,Chris Lipe,352
06/11/2023 11:56:26,14,Jason Keller,429,Randi Goldberg,425
