Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
10/28/23 08:35 AM,1,Austin Shin,418,Becky Dyer,385
10/28/23 08:38 AM,1,Rasheed Balogun,451,David Whitley,422
10/28/23 08:39 AM,1,Emmanuel King,583,Jesse Day,313
10/28/23 09:10 AM,2,Austin Shin,562,Becky Dyer,431
10/28/23 09:26 AM,2,Jesse Day,476,Emmanuel King,384
10/28/23 09:37 AM,2,Rasheed Balogun,424,David Whitley,375
10/28/23 10:22 AM,3,Austin Shin,468,David Whitley,385
10/28/23 10:24 AM,3,Rasheed Balogun,416,Emmanuel King,402
10/28/23 10:26 AM,3,Jesse Day,475,Becky Dyer,385
10/28/23 11:16 AM,4,Austin Shin,431,David Whitley,380
10/28/23 11:16 AM,4,Rasheed Balogun,479,Emmanuel King,444
10/28/23 11:24 AM,4,Becky Dyer,417,Jesse Day,343
10/28/23 01:51 PM,5,Austin Shin,471,Emmanuel King,386
10/28/23 01:56 PM,5,Rasheed Balogun,491,Jesse Day,414
10/28/23 01:57 PM,5,Becky Dyer,464,David Whitley,415
10/28/23 02:35 PM,6,Austin Shin,409,Emmanuel King,397
10/28/23 02:46 PM,6,David Whitley,400,Becky Dyer,322
10/28/23 02:46 PM,6,Rasheed Balogun,475,Jesse Day,344
10/28/23 03:22 PM,7,Emmanuel King,437,Becky Dyer,396
10/28/23 03:36 PM,7,Rasheed Balogun,504,Austin Shin,476
10/28/23 03:52 PM,7,David Whitley,424,Jesse Day,412
10/28/23 04:06 PM,8,Emmanuel King,446,Becky Dyer,412
10/28/23 04:26 PM,8,Austin Shin,490,Rasheed Balogun,364
10/29/23 12:09 AM,8,David Whitley,434,Jesse Day,433
10/29/23 07:45 AM,9,Emmanuel King,535,David Whitley,403
10/29/23 07:54 AM,9,Rasheed Balogun,500,Becky Dyer,297
10/29/23 08:03 AM,9,Jesse Day,489,Austin Shin,414
10/29/23 08:25 AM,10,Emmanuel King,448,David Whitley,412
10/29/23 08:35 AM,10,Rasheed Balogun,472,Becky Dyer,375
10/29/23 09:08 AM,10,Austin Shin,455,Jesse Day,377
10/29/23 09:55 AM,11,David Whitley,492,Emmanuel King,417
10/29/23 09:57 AM,11,Austin Shin,505,Rasheed Balogun,347
10/29/23 10:01 AM,11,Jesse Day,462,Becky Dyer,363
10/29/23 10:57 AM,12,Jesse Day,502,Emmanuel King,411
10/29/23 11:00 AM,12,Becky Dyer,351,David Whitley,347
10/29/23 11:02 AM,12,Austin Shin,519,Rasheed Balogun,443
10/29/23 11:43 AM,13,Becky Dyer,413,Emmanuel King,365
10/29/23 11:44 AM,13,Austin Shin,558,Rasheed Balogun,361
10/29/23 12:01 PM,13,David Whitley,411,Jesse Day,379
