Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
12/14/24 10:44 AM,1,George MacAulay,439,Maureen Morris,427
12/14/24 10:50 AM,1,Alec Sjöholm,440,Cheryl Melvin,230
12/14/24 10:58 AM,1,Evans Clinchy,518,Eric Fox,331
12/14/24 10:59 AM,1,Rachel Grubb,497,Noella Ward,362
12/14/24 10:59 AM,1,Christopher Grubb,574,Tara Hurley,288
12/14/24 11:00 AM,1,Josh Sokol,384,Chris Cheng,375
12/14/24 11:06 AM,1,Dean Saldanha,508,Henry Gould,330
12/14/24 11:33 AM,1,Cam Lawrence,266,Olanma Cheche,191
12/14/24 11:40 AM,2,Maureen Morris,441,Cheryl Melvin,312
12/14/24 11:54 AM,2,Alec Sjöholm,498,Eric Fox,371
12/14/24 11:54 AM,2,Rachel Grubb,418,Chris Cheng,327
12/14/24 11:56 AM,2,Evans Clinchy,443,Noella Ward,398
12/14/24 12:00 PM,2,Dean Saldanha,480,Christopher Grubb,441
12/14/24 12:10 PM,2,Tara Hurley,393,Henry Gould,260
12/14/24 12:16 PM,2,Josh Sokol,494,Olanma Cheche,206
12/14/24 12:19 PM,2,George MacAulay,515,Cam Lawrence,367
12/14/24 12:47 PM,3,Christopher Grubb,455,Alec Sjöholm,427
12/14/24 12:54 PM,3,Cheryl Melvin,527,Tara Hurley,259
12/14/24 12:56 PM,3,Chris Cheng,466,Maureen Morris,282
12/14/24 12:59 PM,3,Evans Clinchy,443,Dean Saldanha,338
12/14/24 01:02 PM,3,Eric Fox,469,Henry Gould,205
12/14/24 01:04 PM,3,Noella Ward,453,Olanma Cheche,207
12/14/24 01:04 PM,3,Josh Sokol,494,George MacAulay,429
12/14/24 01:08 PM,3,Rachel Grubb,464,Cam Lawrence,228
12/14/24 01:51 PM,4,Evans Clinchy,510,Rachel Grubb,302
12/14/24 01:53 PM,4,Alec Sjöholm,467,Josh Sokol,332
12/14/24 01:57 PM,4,Noella Ward,486,Henry Gould,331
12/14/24 01:59 PM,4,Christopher Grubb,497,Maureen Morris,293
12/14/24 02:00 PM,4,Cheryl Melvin,513,Olanma Cheche,198
12/14/24 02:03 PM,4,George MacAulay,394,Dean Saldanha,386
12/14/24 02:08 PM,4,Tara Hurley,415,Cam Lawrence,278
12/14/24 02:12 PM,4,Chris Cheng,421,Eric Fox,280
12/14/24 04:01 PM,5,Evans Clinchy,526,Alec Sjöholm,438
12/14/24 04:11 PM,5,Cheryl Melvin,455,Cam Lawrence,315
12/14/24 04:11 PM,5,Josh Sokol,471,Rachel Grubb,350
12/14/24 04:12 PM,5,Christopher Grubb,466,George MacAulay,416
12/14/24 04:13 PM,5,Henry Gould,404,Olanma Cheche,281
12/14/24 04:14 PM,5,Tara Hurley,411,Maureen Morris,356
12/14/24 04:16 PM,5,Eric Fox,412,Noella Ward,336
12/14/24 04:18 PM,5,Dean Saldanha,444,Chris Cheng,288
12/14/24 04:54 PM,6,Alec Sjöholm,518,Rachel Grubb,410
12/14/24 04:58 PM,6,Josh Sokol,469,Cheryl Melvin,378
12/14/24 05:04 PM,6,Eric Fox,589,Tara Hurley,316
12/14/24 05:05 PM,6,Christopher Grubb,473,Evans Clinchy,440
12/14/24 05:05 PM,6,Maureen Morris,426,Olanma Cheche,233
12/14/24 05:11 PM,6,Dean Saldanha,478,Noella Ward,264
12/14/24 05:12 PM,6,Chris Cheng,406,George MacAulay,346
12/14/24 05:18 PM,6,Cam Lawrence,455,Henry Gould,366
12/14/24 05:51 PM,7,Evans Clinchy,505,Cheryl Melvin,250
12/14/24 05:59 PM,7,Christopher Grubb,481,Josh Sokol,405
12/14/24 06:00 PM,7,Alec Sjöholm,554,Dean Saldanha,347
12/14/24 06:04 PM,7,George MacAulay,450,Rachel Grubb,428
12/14/24 06:04 PM,7,Noella Ward,420,Tara Hurley,380
12/14/24 06:07 PM,7,Maureen Morris,402,Henry Gould,368
12/14/24 06:11 PM,7,Chris Cheng,463,Olanma Cheche,212
12/14/24 06:17 PM,7,Eric Fox,592,Cam Lawrence,178
12/14/24 06:39 PM,8,Christopher Grubb,537,Cheryl Melvin,355
12/14/24 06:56 PM,8,Josh Sokol,460,Evans Clinchy,434
12/14/24 07:00 PM,8,Tara Hurley,526,Olanma Cheche,238
12/14/24 07:00 PM,8,Alec Sjöholm,493,Chris Cheng,425
12/14/24 07:12 PM,8,George MacAulay,423,Noella Ward,407
12/14/24 07:13 PM,8,Rachel Grubb,472,Henry Gould,353
12/14/24 07:14 PM,8,Maureen Morris,446,Cam Lawrence,210
12/14/24 07:15 PM,8,Dean Saldanha,528,Eric Fox,307
12/15/24 09:48 AM,9,Noella Ward,456,Maureen Morris,358
12/15/24 09:53 AM,9,George MacAulay,386,Alec Sjöholm,377
12/15/24 09:56 AM,9,Tara Hurley,421,Rachel Grubb,417
12/15/24 09:59 AM,9,Evans Clinchy,526,Chris Cheng,430
12/15/24 10:00 AM,9,Christopher Grubb,501,Eric Fox,337
12/15/24 10:02 AM,9,Josh Sokol,426,Dean Saldanha,383
12/15/24 10:03 AM,9,Cheryl Melvin,451,Henry Gould,247
12/15/24 10:21 AM,9,Cam Lawrence,344,Olanma Cheche,252
12/15/24 10:30 AM,10,Alec Sjöholm,498,Maureen Morris,282
12/15/24 10:45 AM,10,Evans Clinchy,476,George MacAulay,356
12/15/24 10:56 AM,10,Dean Saldanha,545,Rachel Grubb,287
12/15/24 10:57 AM,10,Christopher Grubb,554,Chris Cheng,450
12/15/24 11:01 AM,10,Josh Sokol,524,Eric Fox,457
12/15/24 11:04 AM,10,Cheryl Melvin,352,Tara Hurley,351
12/15/24 11:07 AM,10,Noella Ward,423,Cam Lawrence,289
12/15/24 11:22 AM,10,Henry Gould,493,Olanma Cheche,281
12/15/24 11:49 AM,11,Evans Clinchy,492,Christopher Grubb,371
12/15/24 11:54 AM,11,Eric Fox,537,Rachel Grubb,260
12/15/24 11:56 AM,11,George MacAulay,364,Dean Saldanha,290
12/15/24 11:58 AM,11,Josh Sokol,444,Alec Sjöholm,299
12/15/24 12:02 PM,11,Cheryl Melvin,372,Noella Ward,323
12/15/24 12:07 PM,11,Chris Cheng,555,Tara Hurley,260
12/15/24 12:11 PM,11,Maureen Morris,440,Olanma Cheche,249
12/15/24 12:28 PM,11,Henry Gould,393,Cam Lawrence,364
12/15/24 12:49 PM,12,Alec Sjöholm,580,Noella Ward,374
12/15/24 12:51 PM,12,Tara Hurley,411,George MacAulay,380
12/15/24 12:57 PM,12,Christopher Grubb,472,Dean Saldanha,404
12/15/24 12:58 PM,12,Rachel Grubb,401,Olanma Cheche,275
12/15/24 01:01 PM,12,Evans Clinchy,510,Josh Sokol,450
12/15/24 01:02 PM,12,Eric Fox,474,Cheryl Melvin,363
12/15/24 01:33 PM,12,Chris Cheng,432,Henry Gould,268
12/15/24 01:34 PM,12,Maureen Morris,453,Cam Lawrence,138
12/15/24 03:13 PM,13,Noella Ward,429,Tara Hurley,316
12/15/24 03:14 PM,13,Evans Clinchy,494,Alec Sjöholm,402
12/15/24 03:18 PM,13,Chris Cheng,451,Cheryl Melvin,414
12/15/24 03:20 PM,13,Cam Lawrence,391,Olanma Cheche,307
12/15/24 03:25 PM,13,Dean Saldanha,421,Maureen Morris,306
12/15/24 03:28 PM,13,Christopher Grubb,422,Josh Sokol,349
12/15/24 03:29 PM,13,George MacAulay,415,Eric Fox,404
12/15/24 03:30 PM,13,Henry Gould,432,Rachel Grubb,372
12/15/24 04:19 PM,14,Dean Saldanha,435,George MacAulay,402
