"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
05/16/26 10:44 AM,1,"Alec Sjöholm",679,"Abayomi Brown",258
05/16/26 10:57 AM,1,"Chris Williams",421,"Evans Clinchy",415
05/16/26 10:59 AM,1,"Jesse Matthews",460,"Eric Fox",358
05/16/26 11:28 AM,2,"Alec Sjöholm",505,"Abayomi Brown",367
05/16/26 11:40 AM,2,"Chris Williams",496,"Evans Clinchy",428
05/16/26 11:48 AM,2,"Jesse Matthews",538,"Eric Fox",400
05/16/26 12:22 PM,3,"Evans Clinchy",552,"Abayomi Brown",274
05/16/26 12:37 PM,3,"Alec Sjöholm",527,"Eric Fox",350
05/16/26 12:41 PM,3,"Jesse Matthews",415,"Chris Williams",369
05/16/26 02:40 PM,4,"Evans Clinchy",554,"Abayomi Brown",437
05/16/26 02:49 PM,4,"Eric Fox",452,"Alec Sjöholm",452
05/16/26 02:57 PM,4,"Chris Williams",473,"Jesse Matthews",387
05/16/26 03:49 PM,5,"Evans Clinchy",388,"Alec Sjöholm",375
05/16/26 03:51 PM,5,"Chris Williams",406,"Eric Fox",376
05/16/26 03:56 PM,5,"Jesse Matthews",460,"Abayomi Brown",420
05/16/26 04:39 PM,6,"Alec Sjöholm",510,"Evans Clinchy",390
05/16/26 04:44 PM,6,"Eric Fox",363,"Chris Williams",331
05/16/26 04:51 PM,6,"Jesse Matthews",493,"Abayomi Brown",309
05/16/26 05:34 PM,7,"Alec Sjöholm",452,"Chris Williams",329
05/16/26 05:34 PM,7,"Eric Fox",509,"Abayomi Brown",356
05/16/26 05:50 PM,7,"Jesse Matthews",490,"Evans Clinchy",385
05/16/26 06:20 PM,8,"Alec Sjöholm",422,"Chris Williams",376
05/16/26 06:33 PM,8,"Eric Fox",401,"Abayomi Brown",393
05/16/26 06:56 PM,8,"Evans Clinchy",448,"Jesse Matthews",416
05/17/26 10:09 AM,9,"Alec Sjöholm",512,"Jesse Matthews",339
05/17/26 10:15 AM,9,"Abayomi Brown",405,"Chris Williams",397
05/17/26 10:21 AM,9,"Evans Clinchy",474,"Eric Fox",413
05/17/26 11:06 AM,10,"Alec Sjöholm",426,"Jesse Matthews",412
05/17/26 11:15 AM,10,"Abayomi Brown",460,"Chris Williams",449
05/17/26 11:20 AM,10,"Evans Clinchy",467,"Eric Fox",426
05/17/26 12:16 PM,11,"Alec Sjöholm",415,"Jesse Matthews",284
05/17/26 12:21 PM,11,"Abayomi Brown",429,"Eric Fox",367
05/17/26 12:26 PM,11,"Evans Clinchy",524,"Chris Williams",325
05/17/26 01:07 PM,12,"Chris Williams",519,"Abayomi Brown",345
05/17/26 01:12 PM,12,"Jesse Matthews",452,"Eric Fox",396
05/17/26 01:24 PM,12,"Alec Sjöholm",505,"Evans Clinchy",354
05/17/26 03:03 PM,13,"Chris Williams",456,"Alec Sjöholm",446
05/17/26 03:10 PM,13,"Abayomi Brown",426,"Eric Fox",393
05/17/26 03:16 PM,13,"Evans Clinchy",437,"Jesse Matthews",359
05/17/26 04:01 PM,14,"Alec Sjöholm",440,"Chris Williams",382
05/17/26 04:07 PM,14,"Eric Fox",477,"Abayomi Brown",328
05/17/26 04:13 PM,14,"Evans Clinchy",426,"Jesse Matthews",414
