Name,Rating
Wellington Jighere,2006
Dave Wiegand,2041
Jesse Day,1945
Eta Karo,1963
Austin Shin,2003
Nsikak Etim,1926
Kevin Fraley,1939
Geoff Thevenot,2006
Evans Clinchy,1823
Josh Sokol,1792
Sammy Okosagah,2040
Anand Bharadwaj,1883
Rasheed Balogun,1765
David Whitley,1714
Joel Wapnick,1695
Waseem Khatri,1833
Karl Higby,1781
Becky Dyer,1711
Robert Linn,1617
Puneet Sharma,1706
Winter,1594
Mohammad Sulaiman,1666
Travis Chaney,1513
Leslie Charles,1693
Mark Francillon,1664
Fidelis Olotu,1617
BJ Premore,1498
Bye,0
