Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
07/27/24 08:55 AM,1,Travis Chaney,564,Dave Wiegand,406
07/27/24 09:06 AM,1,Austin Shin,527,Fidelis Olotu,256
07/27/24 09:07 AM,1,Winter,488,David Whitley,450
07/27/24 09:08 AM,1,Wellington Jighere,508,Mohammad Sulaiman,446
07/27/24 09:10 AM,1,Robert Linn,405,Anand Bharadwaj,364
07/27/24 09:10 AM,1,Evans Clinchy,447,Waseem Khatri,404
07/27/24 09:11 AM,1,Becky Dyer,452,Sammy Okosagah,400
07/27/24 09:14 AM,1,Nsikak Etim,552,BJ Premore,375
07/27/24 09:15 AM,1,Puneet Sharma,467,Rasheed Balogun,467
07/27/24 09:18 AM,1,Geoff Thevenot,458,Joel Wapnick,423
07/27/24 09:20 AM,1,Josh Sokol,431,Karl Higby,426
07/27/24 09:22 AM,1,Eta Karo,571,Mark Francillon,367
07/27/24 09:23 AM,1,Jesse Day,576,Leslie Charles,419
07/27/24 09:23 AM,1,Kevin Fraley,50,Bye,0
07/27/24 09:38 AM,2,David Whitley,50,Bye,0
07/27/24 10:02 AM,2,Evans Clinchy,447,Travis Chaney,375
07/27/24 10:03 AM,2,Nsikak Etim,522,Puneet Sharma,392
07/27/24 10:03 AM,2,Dave Wiegand,557,Waseem Khatri,372
07/27/24 10:11 AM,2,BJ Premore,389,Rasheed Balogun,385
07/27/24 10:12 AM,2,Eta Karo,466,Becky Dyer,356
07/27/24 10:13 AM,2,Winter,453,Kevin Fraley,451
07/27/24 10:14 AM,2,Joel Wapnick,533,Wellington Jighere,388
07/27/24 10:14 AM,2,Fidelis Olotu,454,Anand Bharadwaj,402
07/27/24 10:14 AM,2,Robert Linn,427,Austin Shin,346
07/27/24 10:17 AM,2,Josh Sokol,377,Leslie Charles,341
07/27/24 10:17 AM,2,Mark Francillon,429,Sammy Okosagah,391
07/27/24 10:18 AM,2,Mohammad Sulaiman,415,Geoff Thevenot,350
07/27/24 10:29 AM,2,Karl Higby,475,Jesse Day,470
07/27/24 10:31 AM,3,Winter,50,Bye,0
07/27/24 10:55 AM,3,Waseem Khatri,519,Travis Chaney,364
07/27/24 11:02 AM,3,Evans Clinchy,465,Dave Wiegand,445
07/27/24 11:03 AM,3,Wellington Jighere,489,Geoff Thevenot,402
07/27/24 11:03 AM,3,Nsikak Etim,460,Rasheed Balogun,419
07/27/24 11:04 AM,3,Becky Dyer,390,Mark Francillon,374
07/27/24 11:05 AM,3,Eta Karo,487,Sammy Okosagah,324
07/27/24 11:06 AM,3,Anand Bharadwaj,468,Austin Shin,445
07/27/24 11:06 AM,3,David Whitley,521,Kevin Fraley,334
07/27/24 11:11 AM,3,Fidelis Olotu,458,Robert Linn,436
07/27/24 11:13 AM,3,Puneet Sharma,461,BJ Premore,411
