Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score
07/26/24 11:54 AM,1,Josh Sokol,578,Cheryl Melvin,296
07/26/24 12:02 PM,1,Ruth Hamilton,456,Becky Dyer,406
07/26/24 12:11 PM,1,Eta Karo,430,Betty Cornelison,388
07/26/24 12:12 PM,1,David Whitley,492,Maureen Morris,308
07/26/24 12:12 PM,1,Mike Johnson,553,Fidelis Olotu,393
07/26/24 12:19 PM,1,Paula Catanese,379,Robert Linn,306
07/26/24 12:20 PM,1,Karl Higby,438,Stefan Kac,402
07/26/24 12:21 PM,1,Peter Armstrong,552,Jeannie Wilson,254
07/26/24 12:46 PM,2,Becky Dyer,461,Cheryl Melvin,266
07/26/24 12:49 PM,2,Josh Sokol,448,Ruth Hamilton,392
07/26/24 01:11 PM,2,Stefan Kac,430,Eta Karo,376
07/26/24 01:12 PM,2,Robert Linn,403,Maureen Morris,363
07/26/24 01:14 PM,2,Karl Higby,406,Betty Cornelison,327
07/26/24 01:14 PM,2,David Whitley,491,Paula Catanese,454
07/26/24 01:17 PM,2,Peter Armstrong,476,Fidelis Olotu,430
07/26/24 01:18 PM,2,Mike Johnson,430,Jeannie Wilson,421
07/26/24 01:44 PM,3,Ruth Hamilton,409,Cheryl Melvin,374
07/26/24 01:50 PM,3,Josh Sokol,429,Becky Dyer,429
07/26/24 02:04 PM,3,Jeannie Wilson,376,Fidelis Olotu,365
07/26/24 02:09 PM,3,Betty Cornelison,434,Stefan Kac,365
07/26/24 02:12 PM,3,Eta Karo,466,Karl Higby,427
07/26/24 02:12 PM,3,David Whitley,429,Robert Linn,311
07/26/24 02:14 PM,3,Paula Catanese,438,Maureen Morris,397
07/26/24 02:16 PM,3,Peter Armstrong,556,Mike Johnson,268
07/26/24 03:02 PM,4,Fidelis Olotu,490,Betty Cornelison,334
07/26/24 03:06 PM,4,Cheryl Melvin,375,Maureen Morris,348
07/26/24 03:12 PM,4,Josh Sokol,460,Paula Catanese,436
07/26/24 03:14 PM,4,Eta Karo,534,Mike Johnson,377
07/26/24 03:14 PM,4,Stefan Kac,397,Becky Dyer,384
07/26/24 03:14 PM,4,Karl Higby,445,Ruth Hamilton,337
07/26/24 03:22 PM,4,David Whitley,464,Peter Armstrong,409
07/26/24 03:23 PM,4,Robert Linn,374,Jeannie Wilson,294
07/26/24 04:09 PM,5,Betty Cornelison,426,Cheryl Melvin,286
07/26/24 04:14 PM,5,Mike Johnson,469,Ruth Hamilton,419
07/26/24 04:15 PM,5,Jeannie Wilson,370,Maureen Morris,341
07/26/24 04:18 PM,5,Robert Linn,532,Stefan Kac,436
07/26/24 04:22 PM,5,Becky Dyer,415,Fidelis Olotu,412
07/26/24 04:22 PM,5,Eta Karo,513,Peter Armstrong,364
07/26/24 04:23 PM,5,David Whitley,450,Josh Sokol,369
07/26/24 04:25 PM,5,Paula Catanese,395,Karl Higby,375
