"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score"
08/01/25 10:56 AM,1,"Alec Sjöholm",481,"Paula Catanese",340
08/01/25 11:05 AM,1,"Robert Linn",386,"Cheryl Melvin",362
08/01/25 11:10 AM,1,"Jeannie Wilson",376,"Ruth Hamilton",362
08/01/25 11:45 AM,2,"Alec Sjöholm",530,"Cheryl Melvin",270
08/01/25 12:06 PM,2,"Robert Linn",438,"Ruth Hamilton",283
08/01/25 12:08 PM,2,"Paula Catanese",373,"Jeannie Wilson",317
08/01/25 12:53 PM,3,"Alec Sjöholm",514,"Jeannie Wilson",335
08/01/25 01:00 PM,3,"Ruth Hamilton",461,"Cheryl Melvin",301
08/01/25 01:02 PM,3,"Paula Catanese",454,"Robert Linn",350
08/01/25 01:45 PM,4,"Paula Catanese",443,"Cheryl Melvin",395
08/01/25 01:55 PM,4,"Robert Linn",443,"Jeannie Wilson",326
08/01/25 01:56 PM,4,"Alec Sjöholm",552,"Ruth Hamilton",216
08/01/25 02:42 PM,5,"Ruth Hamilton",490,"Paula Catanese",355
08/01/25 02:47 PM,5,"Alec Sjöholm",476,"Robert Linn",411
08/01/25 02:49 PM,5,"Cheryl Melvin",362,"Jeannie Wilson",316
